,IDH3B,DLST,PCK2,CS,PDHB,PCK1,PDHA1,PDHA2,FH,OGDH,SDHB,IDH3A,SDHC,IDH2,IDH1,ACO1,ACLY,MDH2,DLD,MDH1,DLAT,OGDHL,PC,SDHA,SUCLG1,SUCLA2,SUCLG2,IDH3G,ACO2
SIDM00098,1.6385427293138075,0.1557618049291246,0.005047584513524002,-0.5869028679195268,2.5651996609184824,-0.9120350397413162,1.7301715036677856,-0.6916150780779862,1.5950487459200857,0.0032439830161045493,2.054530299380256,1.0502559887718401,2.0277377990786,0.158026289518328,1.7583745804989077,1.928063380179035,2.0708604613701866,1.8088700731088752,2.4578125207698696,2.9273865890044903,0.8926060315296162,-0.5665047522514072,-0.7447263932822165,1.9300130327403875,1.4478572835413683,1.1910977414649295,-0.18477536684477988,1.3325956428312615,0.6462207478945475
SIDM00225,1.9650038812386474,0.21248751267910992,0.05810166916818179,-0.7047071438886391,2.3353299648397434,-0.8548197755446715,1.86918074063034,-0.760279814604968,1.8696739564765266,-0.326807706784948,1.9739753785513152,1.0676174933571332,2.405647394656523,1.278156187939986,1.951916834592392,1.1688329063037841,2.0135531491862864,1.6940159212856645,2.4797955166722203,2.6440834940199993,1.1262067589581568,-0.7401828806879028,-0.6583300836820678,2.0042980259163317,1.2206926992866776,0.8966023222711861,0.09225072467606658,1.6601910506750934,0.3261481890873284
SIDM00846,1.4604811911782518,0.6234250974180162,0.1543477036725654,-0.5685811231342801,2.739325893823253,-0.9384850075465706,2.2495899510618527,-0.7593565212321324,1.8020718679034609,-0.19165350448889917,2.0599996466178885,1.467455457269467,2.376240060382324,0.6623539091908714,1.6959938149438452,1.573607682283972,2.1137347415356347,1.6065533185064904,2.2924266305380008,2.6629645354383573,0.9814884453933636,-0.7889995254645755,0.0525780573264681,2.68685654504764,1.586729697418476,1.0275186344991327,-0.11256990288862012,1.9640730943773141,0.7589688523145776
SIDM00291,2.085351983992021,0.8154163118421013,1.39897569674471,-0.5962885480940837,2.591493950446444,-0.9377974238755916,2.354576422398842,-0.6515114734208389,1.504374514453284,0.1306525322898397,2.349168969364113,1.709755882124865,2.6908425516856753,1.2538407436079002,2.2526268209082763,0.9310882079546325,2.436153358074903,1.98414854836012,2.2867445987306088,2.9024251270764942,1.1530079534328586,0.04863204482793445,-0.4921825727139491,1.8241948452642391,1.87009598168485,0.6937033667410999,0.01586783386831429,2.2046235990026877,1.403808180212957
SIDM00520,1.4213098013160832,0.0007716937916704685,-0.3734592909280743,-0.7540050823818941,2.5530008848110004,-0.9543570496291374,1.8966922452304136,-0.7775169577970004,1.634558716536168,-0.4986204026984067,1.9907803220315659,1.2027860999598246,2.1177187208946533,0.6958986347676404,1.6250537069621147,1.3705725241249191,1.650995297791054,1.6730433358158876,2.2505513033944107,2.6173215593607475,0.883367944536607,-0.874536095993414,-0.7404344363478219,1.590687120950266,1.4985898734211403,0.5350008807577856,0.1040873822379026,1.6300281192971757,0.35404262673009684
SIDM00003,1.9821426886402365,0.3791471365774006,0.09678437316251338,-0.5042621358413457,2.449084141108025,-0.902282131132248,2.4651297674532233,-0.8095725342369892,1.9571403602660467,-0.3701722989816959,2.363572908207394,1.999894374495786,2.122927115766202,1.0995655299886073,1.7502177322467665,0.9239333730136459,1.8878843381348411,1.8982525508288997,2.6454712686843385,2.873372633832633,1.1956071027308177,-0.5257124926937073,-0.6906061849974018,2.1048147236916566,1.6169660680627669,0.986655578606632,0.05603155504709497,2.01868312670448,1.0776046752827002
SIDM00136,1.65338333634266,0.09872518720625013,1.0353398940105414,-0.8429503471229274,1.9891401527527344,-0.8741079471619572,1.9093560354130792,-0.7701284294722286,1.46430672224656,-0.4026989268656598,1.7992588503041556,1.0127410499998897,2.155461774671643,1.6046836029634253,2.1389175916116976,0.9365555810278012,1.854486380711594,1.8245760371670963,2.2086957548399853,2.328572327792155,1.001311592317593,-0.8534726036751837,-0.4930344586022539,2.5482835264186616,1.463660456852932,1.0478181459802356,-0.36363394674948096,2.0419578075944966,0.3572664559472214
SIDM01155,1.9019083616728123,0.2579850268429574,-0.09862463983121175,-0.6329083708804897,2.4875788593980754,-0.9125253958645503,2.113403402656482,-0.8023352951111715,1.7097471862426588,-0.1440927464001453,2.0295937351088393,1.295483877878537,2.1557813557663024,0.7010953966458432,2.014639533539567,1.7086385355620106,2.101851680576148,1.9608454855245143,2.508795940751043,2.703634521110839,0.9490835983423841,-0.8130840667005426,-0.6854663373277786,2.2311879110394863,1.6040908724588692,1.1589225693229739,-0.3240707459166812,1.709907258688391,0.6447373969727798
SIDM00224,1.8588482345958148,0.5485239514888265,0.12887588170225686,-0.4387799968450213,2.525525964480362,-0.9385133955739174,2.2338151384946165,-0.8693503539283928,1.366614706368718,-0.10315480893824786,1.724145516637557,1.2282817421817778,1.9529522457051691,0.3678994074668511,1.9336301541366379,0.9428884051999832,2.108526700065693,1.785777853550092,2.485762009434216,2.939660348516019,0.8769971428661105,-0.6620475619328462,-0.7913571785483497,1.9953912833688794,1.6166180793356313,0.8789557125687112,-0.32939917460613727,1.6451419360689472,0.502413909862779
SIDM00783,1.580377319553083,0.2094794358662641,1.0810194605640744,-0.8143289487249812,2.2623827491916333,-0.9513169427467703,1.7395417618888815,-0.7651059591011408,1.0671473660626654,-0.5638991511401412,2.0274130493395583,1.6126878436174215,2.080227417587793,0.17636350433781475,1.9245290133018331,1.127404562057914,1.6076130850605879,1.6883007463387691,2.3644851789111083,2.6309067932024517,1.0142998892302086,0.1309925777887665,-0.6781318823565369,1.8173401384805008,1.237494174489656,0.8341547453268896,-0.2751004936069595,1.5134127329040794,0.5766362834212936
SIDM00490,1.3403820499017884,0.1215007022552487,1.3512185633864233,-0.770200269322026,1.9971603585079414,-0.9117602353661233,1.94877064739742,-0.8183151404460114,1.5994742697039532,-0.30259852913161794,1.8628127104558523,1.4783381328770244,1.8595933295514968,0.5056892567864476,2.216048346397952,1.3586495615552383,0.9514587964526724,1.781853767497254,2.2830362686554317,2.3734387337266343,0.44546045499326686,-0.6897636941650499,-0.5637916329069287,2.135590874871434,1.4006642233912656,0.9808296739874283,-0.3596193756608253,1.9762031850031052,0.6006041052929273
SIDM01090,1.6936408249543102,0.5029454683793817,0.7851298617873482,-0.4929551091091625,2.264213120255254,-0.8939162444264994,1.8946661381907222,-0.755177827399559,1.5746332376978034,-0.647155629717897,1.9048297909274619,1.3219725714099573,2.1078087547818303,0.26991427271982504,1.0249033211320477,1.4420088513496814,1.8545370401298746,1.6700513744735932,2.466135729363684,2.4567354476463428,0.598347733415449,-0.8107780281381456,-0.7643134426861359,1.9152334931480226,1.172690046436654,0.49733950728790516,-0.18768140221796936,1.5834991075926086,0.6254121141505763
SIDM00394,1.2211920509094194,0.6387640631075715,1.2347888058825478,-0.5611228539223483,2.106046902083647,-0.7543471131094401,2.5009829189498096,-0.8237111890503996,1.5330430406880415,-0.09590789467894743,1.9813496038237046,2.041699545032318,2.120260890257479,1.1405617880163648,1.9726241310802328,1.9173238670708679,1.601487207990722,1.6147393860044088,2.2452102559388964,2.454763186119858,1.3816867845110323,-0.7550779004792616,-0.4262320256921889,2.6009783869472067,1.154741594527998,1.1608074143974279,-0.3098630086427385,1.7091224701884242,0.8929914685171141
SIDM00538,1.601396741394706,0.7072622255560447,0.38341054480666326,-0.6127135398545185,1.9599964804639238,1.0372413080839824,1.8232615343247593,-0.7046897203963605,1.4252548424505254,-0.18093815305202493,1.9837493639940582,1.3319009589882302,2.2099340492915087,0.8370752261111123,1.1123003136859742,0.4839987148115717,1.8507768726731435,1.2316578227095623,1.8964182035978776,2.7228366468003897,0.4807355410554673,-0.6730734529751917,-0.4392676360376578,2.1916848465545047,1.5017542103243111,1.0965189649022535,-0.6028642624249118,2.1402650040496796,0.7190118826434025
SIDM01140,1.8224790021212471,0.4889066479744254,0.6337846481153634,-0.690385104723047,2.909129154178533,-0.9236468918831042,1.925438083689328,-0.8257452964640914,1.6693711391805166,-0.4965893943002016,1.9309262572818993,0.9235332325974247,2.5156757844678945,0.6452626567856834,1.9354768395692628,1.5622056588303979,2.1001918365159287,1.7762335211713787,2.4434590619449907,2.874040499686644,1.2812146657091044,-0.137935737391896,-0.4511978029812805,2.011452604592339,1.3725852939868557,1.4859394369695211,-0.20022778287843665,1.760101596111731,0.7403114142534754
SIDM00101,1.7032807971924995,-0.027824112350776024,0.32993587286227777,-0.6277909224213123,2.404420081405644,-0.9171304925644145,1.9436469264356102,-0.7564368181135028,2.116605078819874,-0.41256327660040537,1.5030545767707173,1.337262494758723,2.253820509085633,0.9596299021149666,1.7412533266444772,1.542269992978318,1.7173182397342786,1.5798976838579069,2.4470643922473196,2.6679597616802324,0.88616171392065,-0.16845752075295256,-0.8580232421601909,2.1056024277805716,1.2983434251599015,0.5771615513907989,-0.2371610379229836,1.815396144913388,0.2759029572192398
SIDM00114,1.9320473613095204,0.2836189263422783,0.6821575731020936,-0.7732510473145692,2.13601063441847,-0.9316374323983094,1.9251258326395448,-0.6258715875528085,1.8675822880990125,-0.3528606059427871,1.6965037505548168,1.0549819713826032,2.3094142662463693,0.6076294256657827,2.5504118620194984,1.184673383626015,1.1228431900194789,1.7167043170752883,2.233482967660547,2.4262266014390335,1.3697795010787865,-0.5814408916381818,-0.3462240063576479,2.115945394249916,1.2080403315274524,1.7372420465844491,-0.5357147848862683,1.3513340700153809,0.7354684848243338
SIDM00102,2.285386596645597,0.10909012010948595,0.2046227377040187,-0.6191936069749706,2.1537667258672206,-0.9181684955706482,1.749499268391748,-0.8702325380036218,1.7842303028672473,-0.10504717879537964,1.7444336741239401,0.960063800867235,2.5011370218367257,-0.06672767439611961,1.942524184049304,1.360720635561124,1.9251745238944797,1.6367243500169033,2.4463478411959776,2.6971319419728617,0.7603495611068543,-0.766573175925859,-0.839004765622841,2.2240663514459436,1.4489141510451868,0.8146274697626199,-0.06436940429904703,1.5660660084436824,0.7132211975405242
SIDM01122,1.5134308275877266,0.28439944384858973,1.1183462275671714,-0.568664392617393,2.2860743812041644,-0.9520476170646168,2.308814019046299,-0.8104824071582624,1.7745718731083413,-0.5223246741058823,2.1585455281294896,1.0006069787007974,1.875157631112375,0.7457846536079169,1.8833667822793512,1.0174889311618096,1.8310570593983755,1.6511342515564342,2.462250753264839,2.58625834555989,1.2326671634612267,0.25901312538148186,-0.7106732163032713,2.5467022047736685,1.4151551088471168,1.1621927378555041,-0.6649635039191637,1.6797162478114602,0.8251525620549683
SIDM00261,1.5628605640279096,0.3094313175107142,-0.4645389895306805,-0.6200008787723252,2.061541571069152,-0.9374411672495876,1.838179589986313,-0.797305380414471,1.501536921725383,-0.18295673924161357,1.7540211036610547,1.1932092387952171,2.2209196373471247,-0.06410854313605503,1.303348496536323,0.40386023252774994,1.7653484008503304,1.8270242316405865,2.3449847443969856,2.3905226509690363,1.002533895432518,-0.29158513221908416,-0.8908591593467091,1.4531621513762019,1.29217681413855,0.8051282083727138,-0.9737998210150375,1.1617087912626045,0.7485405724512866
SIDM00154,1.732798027176884,0.5931800706208166,0.10096480534989791,-0.7213914268872311,2.533386512120057,0.9702900381435985,1.9940817555955728,-0.7507880630197767,1.2664034941239775,-0.08923463046729309,1.452765989912641,0.9644292449961608,2.136215712867254,0.13425711879500385,1.945790095044133,-0.3521929272103196,1.9743636413361056,1.7530590735612024,2.3234569539413896,2.8837669375776636,0.8717846318711914,0.08384577884121805,-0.6929674305207756,2.1736286851293656,1.4576123285702214,1.6159139763086718,-0.21761858815089716,1.4070720549362044,0.9545230185971697
SIDM00104,1.339535065047376,0.4057656888020007,0.8141734800982938,-0.6384992671365561,1.7838297634416116,-0.961579037142461,2.0756697855231256,-0.7634306888989861,1.82303571157417,-0.34580154920644907,2.023606081999795,1.2854143228156252,2.032735569541698,0.292384826419873,2.0626317180121516,1.4640456336597019,1.5462062123142997,1.5343594503365157,2.1943620675414826,2.506646515737559,0.9417079678238849,-0.7578619070403795,-0.8687436831358176,2.1666892681408565,1.0126611458789458,0.7127162889077505,-0.15879532014998482,1.4970416250063747,0.5217885716455289
SIDM00267,1.65283783776713,0.1986013878238681,0.6975820766201795,-0.63622318218411,2.124132134202203,-0.9079459761630183,1.7233372491966479,-0.6879336044816726,1.8148236227415027,-0.4695545780509061,2.0459107409917427,1.214239395904406,1.977996531740392,0.2613421780702343,2.451700086880424,-0.09745775986691466,1.846527150153268,1.6639682376233635,2.509823341926854,2.6717574695202617,0.7809720215133078,-0.7314937574427053,-0.6974537341973751,1.9731673407660335,1.4373506392656068,1.191584512319593,-0.09891702354475966,1.4728382224382175,0.7053258259412981
SIDM00100,1.8763566261259943,0.3848695806064547,-0.42236370364498443,-0.550464898659909,1.7384316972951754,-0.9484705628922756,2.1643091779495447,-0.8728109231148843,1.7561447893570494,-0.1526149487107735,2.1577250543850868,1.328756879068431,2.025110691932216,0.15443100840883955,1.9796056975251648,1.2889467591872756,2.1854659756880155,1.8582932759552389,2.4979435165861696,2.6892087195082524,0.9362631104331646,-0.8223189125540311,-0.5927296764253379,2.0585682227440296,1.457312639093503,1.40717675929367,-0.8597480656418397,1.5442967508076777,0.8433682961374751
SIDM00826,2.031165448789256,0.4060208810431888,1.236653658704486,-0.5195203898109578,1.9059647795610697,-0.7388343733814603,2.21861291133165,-0.792025252932591,1.7472102731969836,-0.26131540185793867,1.9179978905784503,1.5919372896031267,2.5403467842676957,1.2077529204884503,2.6094670747314326,0.8756556977223138,1.5215203728201363,1.6485214270400006,2.470190185519868,2.711961848783215,0.9136664475097028,-0.7522683126887553,-0.7539274605352264,2.3665625739697824,1.3454214444961579,1.8449519726434256,-0.6527375033178611,1.6231339174460642,0.9165177094353982
SIDM00310,1.8875096445571868,-0.10855782751553615,-0.10574508389118921,-0.5770859664665958,1.8377715905301242,-0.9472240348699865,2.168020650704462,-0.8090173269853176,2.1452144809195834,-0.1443279426167926,2.175985839447893,1.292000255736664,2.253323774258892,0.052593328144631496,2.2249803364875866,1.0122582556954394,2.1042937173179834,1.8253743093694426,2.324444153542108,2.575515224854231,1.0430240834372755,-0.5986126721626903,-0.8714062673162742,2.5279642056545186,1.6714603352669664,0.9366667674169451,-0.1680736229923538,1.79376960159455,0.9333908272427761
SIDM00482,1.7908968603293154,0.5950861314281436,1.6150039709172987,-0.6495186929056823,2.7566285375300725,-0.8654032967553911,2.3995947363453074,-0.6861240353997905,1.5429208980256994,-0.363054193647578,2.2234849252157742,2.3810891068911806,1.8027780792457413,1.0880019905355562,0.8049720269726771,0.2688432634772237,1.9471185741119477,1.5972000560592838,2.7057912028131597,2.772273877616382,1.3440339117048377,-0.7191307257330702,-0.6749145350437318,2.250928806540994,1.638272879582708,1.577058937539631,-0.03793938645519863,1.7379190020351738,1.0925562402972173
SIDM01247,2.163162109273522,0.4313918718866595,0.3565206595222071,-0.6498702667742142,1.5618473565578683,-0.8617203153738385,2.0300523108107145,-0.6456226159613537,1.6903298000432652,-0.430000595541106,2.215002255733767,1.2738428302923417,2.2348699376341647,-0.2665067931244597,1.2186575142382212,0.488790483552319,1.7940756877905117,1.9411949504999413,2.3130644965673404,2.4866149373481314,1.1435416007244197,-0.75287175799335,-0.8708614490575901,2.6536756302123234,1.3157247130785377,1.772553652189126,-0.9279309910271716,1.1685015005060675,0.4724038873262359
SIDM00817,1.8357329428953564,0.18166695386722917,-0.07012198772201235,-0.8137860562077633,2.0895536156848618,-0.9224114899103254,2.29441177295796,-0.8497296933161768,2.338539656778449,-0.6112383333267631,1.949656678223398,0.7830671030017533,2.3861149086099807,1.067605590787035,1.2354224988877476,0.7836323151563724,1.8041295439074725,1.7227535124419453,2.521714735631654,2.737730040982664,1.1322537434806665,-0.6861030123361745,-0.7791652363299103,2.4571160323283294,1.4669434319394712,1.3859173255796478,0.06296929288840922,1.7820128372083561,0.5467929656670334
SIDM00448,1.8642739572175495,1.0784057363468234,1.0619288139358158,-0.7764073829274436,2.5539393979895424,-0.8396857177937398,2.766255425773359,-0.8024165494158213,2.359636114623028,-0.36495519556708317,1.976978178171822,1.7620298032193407,2.1923854059243584,1.7460412423514582,0.07224547526442374,-0.051032764617453555,1.9545296332212514,1.976731516491824,2.8793060422594663,2.9154504900616964,1.217876186093515,-0.720057757772448,-0.6837723376404804,2.2068854807071556,1.6225279724643222,1.415928415609414,-0.6085295944741769,1.9211139414250429,0.9354783145023656
SIDM00086,1.562646413935732,0.5780022743958209,0.38654657742434373,-0.7356533825599759,1.9205377716418879,-0.9533415517403006,2.215686840357994,-0.8509176328366915,1.6258413129311269,-0.5191173050698177,2.1639585957235608,1.0232534052490587,2.1125964980076732,0.7966276796014988,1.6652690883002836,0.9340535027951458,1.8765883697029004,1.7130024188376671,2.2821941305923095,2.638200176283657,0.7722844085652336,-0.7753881280796184,-0.7287458370100501,1.552086230366481,1.219321304070323,0.9110123084083249,-0.6793713274236521,1.685957027610183,0.6202219471139605
SIDM00466,1.7021341508612562,0.26272686591286765,0.24814877604445787,-0.9106985153608125,1.798000325106376,-0.9514865925792887,2.163816492288577,-0.8225716626852718,1.7700190545319308,-0.6988622203387403,2.0375424953197943,0.9101166959980468,2.5084200414675717,0.8700129417610116,2.1262003420541533,0.2047406653179578,0.975695515336415,1.4741321553647244,2.014208604965595,2.757018180364273,0.7840356525567088,-0.5486993812822856,-0.5693906076402034,2.4255726448533013,1.465771445213907,1.5186265883535228,-0.519328314773163,1.4367430261880976,0.615605583124441
SIDM01132,2.01361495765744,0.30088075062852987,-0.5685537878119811,-0.6951774224212837,2.7802968118330758,-0.7239517307168861,2.3160701879290135,-0.7132859940298885,2.132683482440884,-0.4879255179081285,2.214031638869061,1.4093945791681586,2.2885112762549125,0.6455610545363931,1.8912248154195628,0.8900685346465236,2.069302428954249,2.037294763980699,2.6592779266718996,2.82755067156583,1.4545516694306686,-0.1130432981249003,-0.49081764990066834,2.2717260684691025,1.7518655079937775,0.9836406230434428,-0.40575045557601835,2.1795661176435086,0.8180879327586557
SIDM00465,1.678850254058279,0.34665746680993514,0.7695308877032341,-0.7595208618283616,2.3196302980530144,-0.8817600234768862,1.926447346948515,-0.8067267781659487,1.8176093177926065,-0.48249691670634914,2.4122599098373074,0.9660724192942052,2.4117056371528913,0.8762183786973546,2.601426255145539,1.0672822112841005,2.1140209784298065,1.6049171050207627,2.557931266635603,2.4132398156364543,1.2602526535749068,1.125129806576784,-0.7905796270689496,1.9358944865563186,1.2304369021333825,2.1375004220154663,-0.2113901257291456,1.6654156646253597,0.9383262656852024
SIDM00565,1.8419461077322525,0.29731134791338065,0.06499403868800727,-0.7052773897744422,2.1409877275562565,-0.9173526233230682,2.204073014107221,-0.8503765737745483,2.4359619261526526,-0.43410194433383015,2.0771701960063997,1.4996493071668229,2.2833557104777658,0.4806146309821706,1.8838124956379663,0.6304631291246408,1.6494827885663388,1.3416077559511124,2.1071908816461176,2.740246752262693,0.7103133751807941,-0.6768288048152021,-0.7366770228728518,2.425791399748494,1.6210585972672689,1.0280753675541674,-0.5540700267834652,1.897865174074372,0.5209242087462079
SIDM01092,1.9321973426091446,0.44087776929035905,0.8234449231922392,-0.5889774063774735,2.5830380904392642,-0.918393917070127,2.260699801302848,-0.8593633426118505,2.0012865092061984,-0.55522377852485,1.9298459420968874,1.6348808801335013,2.3172306481261105,1.6322706426964184,1.3532299712912705,-0.0858710311126536,2.0108360085075954,1.7787866554424585,2.448017961803441,2.9013542243359076,0.9904799158049447,-0.49683136709124565,-0.764548807146381,2.2131608034574586,1.532354571038392,1.1371546409698523,-0.25885435249387406,1.8528904479929453,1.0045162947738582
SIDM00218,1.9039805736434514,0.4673163181421506,0.45756400752268556,-0.6602781193360703,2.5304419282997297,-0.8446424105080405,2.265481935603017,-0.7773349448250209,1.888491855423712,-0.4641159801254436,1.9256699070442835,1.40079230767837,1.4972199917971232,0.8718101114261004,1.2955192908855147,1.0396001895581983,1.5857938323935525,1.6951287978877507,1.315206240527572,2.5111967007276634,0.5569625147955268,-0.789514287419388,-0.6389465944994308,2.529017815123598,1.5925325694580392,0.7051072797494763,0.3327324515202895,2.2432772453062397,0.7899138808323035
SIDM00044,1.9069913506409542,0.46963647535558817,-0.20134076609055987,-0.712714076984355,2.513236202988937,-0.8575029015434041,1.9686512054038927,-0.7857228323515059,2.169119475146797,-0.6867705998873986,1.8377409185093816,1.059844949910847,2.4978961173357344,0.7340940498692776,1.7339352131384087,1.1473855040950345,1.8128044629518103,1.3571757397037212,2.337125096711963,2.4903172570733125,0.4662216814186599,-0.6820565076481089,-0.7276167035512153,2.286057316234044,1.3204617049812797,1.3629716221208485,-0.4836539823527747,2.1320178313356677,0.11998708874697694
SIDM00362,1.743035898571412,0.21879109757958431,-0.35199054174130473,-0.6971191643784931,2.367489670797401,-0.5592438793910856,2.0997709589751663,-0.7627869186487416,1.8592339257672066,-0.5452145737660742,1.9049913060429553,1.456306680671522,2.206750381392023,1.107115865432731,1.0641173529902797,0.20454354525455834,2.0214682182154275,1.636658764599601,2.2810817326189103,2.8290167001080837,1.3300109430141913,-0.6766259033928325,-0.8189685644761973,2.1143968773921125,1.3633374941380008,1.2465520252969196,-0.5002103437852146,1.6304360126871944,0.6639883289793554
SIDM00813,1.5823918669877703,0.39861360686016345,1.4618763554836587,-0.7726315152040233,1.922321286148837,-0.8311552138151888,2.095862552457732,-0.8663267498003214,1.9754394516683162,-0.6294643939244544,2.053595609513378,1.6244024340910648,2.2382396878502817,1.129679111132023,1.540708965825299,0.27735482268623746,1.679965274014929,1.648013344173151,2.3612736648186545,2.874870024771452,0.9534718830134625,-0.8200774699582384,-0.8396855112759066,2.1954678569672565,1.4519202909010782,1.0697064305465371,-0.7304581234112478,1.7868892826931375,1.0035256947095916
