,ALDH1A3,ALDH3B1,ALDH3B2,MAOB,MAOA,HPD,GOT2,AOC2,ALDH3A1,AOC3,PAH,GOT1,PRDX6,TAT,MIF,IL4I1,DDC
SIDM00098,-0.24760524086892097,0.6318223876869464,-0.8152838037574568,-0.89719835226221,-0.5588230806820473,-0.8919479150120113,1.5836978906052457,-0.7489258586637118,-0.39998890706257234,-0.6471935071225929,-0.9108048369201553,1.6967717699555753,2.9107858192453766,-0.9017474024571992,3.3867407741739437,-0.7582227124672409,-0.885043909145236
SIDM00225,2.35701308068053,-0.48810512518375315,-0.7923210558197771,-0.7889720906924979,-0.5829163420541229,-0.9159323032783925,1.1916174219043325,-0.7860607828238685,-0.7135335530844548,-0.7778626038964874,-0.8403592651991105,1.5811187958502855,2.6500879805518154,-0.9572115091476102,3.6336461608113635,-0.9970559342614058,-0.8635500001359707
SIDM00846,-0.42722660984685695,1.2956893475116567,-0.8215123685011081,-0.6150841357923788,-0.152941732656193,0.113478149706897,1.7371093572686203,-0.8568162169361713,1.790838808285932,-0.727276756385405,-0.9107825146199507,1.5992330007333577,2.948965395468413,-0.8981657843136345,3.523525025607016,-0.6169641859982609,-0.8073218667935735
SIDM00291,1.5524334368719932,-0.4860698271123353,-0.8030274597924373,-0.9518222892270383,-0.4662230772020471,-0.7872375678853194,2.0123958869717606,-0.5665678998269503,-0.7121876062243206,-0.7325926254494937,-0.9009505569939685,2.1631443016953993,2.3894812342986276,-0.9310238779528078,3.7293180298627884,-0.8129742702693622,-0.8517258890557133
SIDM00520,0.3151352164893899,0.5791124536929227,-0.8568880928712052,-0.8921040789053951,-0.2718674544791947,-0.9258630467609259,1.4786771900573876,-0.7495554425653194,-0.45621619118048756,-0.6739286819027142,-0.9437432271759524,1.4517554239753616,2.71692190482115,-0.9129479367876867,3.0111442418540317,-0.5319170715189134,-0.8457755815960827
SIDM00003,1.288039822649684,-0.3505980184446444,-0.8248975388699362,-0.9181756939056945,0.06790909340341394,-0.7972287872338568,1.7771972877728646,-0.6358609584303772,-0.6047392845411431,-0.7782556816577889,-0.9090095636907338,1.422833155283033,2.5476750956965466,-0.9514293597574026,3.5718709549727348,-0.7736523846554046,-0.8132682221694851
SIDM00136,-0.7747526530607057,0.9029850694860607,-0.7515268736901303,-0.39770566847029915,1.0845380599441785,-0.9190363244803379,1.4277825373572275,-0.6735563407342663,-0.6625343577942999,-0.7010872518487627,-0.9298692437725233,1.5326804569551324,2.4155287852304554,-0.8789792545395086,3.4890706751545433,-0.7092187649028102,0.02491948461695209
SIDM01155,-0.7994587597226256,0.10557062379158404,-0.8863279440683011,-0.7573349550568075,-0.09415870218885693,-0.9456607236191708,1.6275520125994398,-0.759539670996558,-0.679268883209698,-0.8330460737671745,-0.960118523867681,1.4371055573518488,2.578768643160457,-0.8884504198318139,3.543833517863789,-0.5216575666786075,-0.7430769001076742
SIDM00224,2.661345653494394,1.0024043901959276,-0.8859351481915635,-0.9062600352460665,-0.6018239965456791,-0.9322123733189482,1.577437229519173,-0.6065120901223306,-0.6962845242220864,-0.7166915821194446,-0.9719982896103982,1.3036744272430076,2.350511932579894,-0.9489844498181473,3.5960916600610786,-0.800608305265882,-0.7917901894911028
SIDM00783,0.1966593446315858,-0.13741848412864593,-0.7982258770514004,0.5411556044282961,0.03686545719017337,-1.0010797347509843,1.5137646323020995,-0.5061579188211525,-0.6570605254357321,-0.6343635140299478,-0.8692956237036767,2.693393088254453,2.6997824370062493,-0.8881004069559095,3.4965701191358685,-0.7732678759209539,-0.9329599402035421
SIDM00490,-0.45737349130910054,0.32537104661235505,-0.8278314462710139,-0.45476920488045003,-0.561750088831354,-0.8794333859496634,1.3395966461506992,-0.7911046031371257,2.2993041803860192,-0.7380258611563876,-0.9417353810984896,1.5536144285002065,2.629449024712946,-0.9572220854054202,3.590765546419735,-0.7839045968736625,-0.8225805921807915
SIDM01090,-0.7462787366101343,-0.33880941342764553,-0.8140923584197854,-0.9385276944743672,-0.6364931999615877,-0.8853831381234498,1.8107412477639329,-0.6376045696524448,-0.7268965975308058,-0.7649413651133081,-0.8507051804145839,1.6081549375207727,2.786303924451076,-0.8724085859541035,3.374788982101195,-0.7274353655700623,-0.7327650064248982
SIDM00394,-0.7289275027983214,1.0579593172252444,-0.8344720960402026,0.39466000085235475,-0.5817715489422385,-0.9283526787828308,1.307678316611256,-0.5920619803424475,-0.047203767708575345,-0.8110641942269522,-0.9514036599914586,2.210001073215174,3.0238641183331927,-0.8539100203199175,3.183743946891898,-0.6250917539076675,-0.7749495520107454
SIDM00538,-0.08589903075853694,0.4698529761651872,-0.8661828232733929,-0.04791966526682513,0.31618932558265067,-0.9244718408367744,1.1913277039737455,-0.031084026266488724,1.2711797685042179,-0.04285858148054898,-0.857516302136322,1.5897430234173755,2.8553544551137175,-0.8591093733023569,3.590807375732615,-0.6195753315770527,-0.3801953510495085
SIDM01140,-0.8015241511909713,-0.3732228760023845,-0.7918969034484589,-0.1762215432204957,-0.6233570611124357,0.5018684546226908,1.825581581279777,-0.7922299854467073,-0.6369209463162154,-0.7180693878637014,-0.872717355744022,1.7218439990954806,2.8296316493555542,-0.9292927851534936,3.475017541809692,-0.6602422529942868,-0.8688739791724526
SIDM00101,0.08877985457714531,0.5822043037148145,-0.8135667511941894,-0.9334226528167618,-0.5422655091105094,-1.0002700795062098,1.5828045860665527,-0.6669783692128629,-0.5737314353572043,-0.7252336589443573,-0.9050512757547167,1.6918937143278616,3.150810311066351,-0.964407397834685,3.169542068143651,-0.5891862630506792,-0.7165759102244942
SIDM00114,0.38527084304010467,0.8247346263938494,-0.509491447236452,-0.9641491965985919,-0.6046940889432947,-0.9260898724768081,1.5745753291210693,-0.7099002177437761,-0.5519858578846026,-0.7858410338196381,-0.8947605151653011,1.144799217844152,2.539713931557571,-0.9143130666132078,3.308809054660805,-0.7102267076452142,-0.8584772852955203
SIDM00102,0.6478801577467505,1.308641107846294,-0.8595471605310977,-0.9557318550582137,-0.4522672755796066,-0.897944737113018,1.6542102576558682,-0.6499328278064016,-0.7259888769298887,-0.7893043398408948,-0.9459606932401405,1.5348570286541707,3.2392805201622674,-0.8974983068301026,3.352567432634292,-0.4646516798728862,-0.8234604749605264
SIDM01122,-0.887406568556736,-0.3426970482589201,-0.8706119440607767,-0.9589525083570887,-0.7195144942781414,-1.0014448206800002,-0.1684721418111874,-0.7777158505799779,-0.6624867456640144,-0.7599640930509741,-0.9390656171281222,2.116306831977429,2.8036688893552433,-0.9100251326396827,3.1434544599394356,-0.602928565321128,-0.818447138728524
SIDM00261,-0.7861960391162287,-0.4471243960450898,-0.9056070962831636,-0.9275543244847685,-0.2094913949660893,-0.9823171582605824,1.4545614597401049,-0.7478654718737519,-0.8605925464392681,-0.7489920636831675,-0.9581095926434545,1.7449666017493337,2.4811015376364187,-0.9226114591518356,3.404091249478883,-0.8588484738087704,-0.9301483520265065
SIDM00154,1.9802919828827037,1.4605448610252403,-0.8545928264707323,-0.8605991322455726,-0.6592249876967933,-0.9252045721253519,1.7367296864435107,-0.5607958838347611,-0.09099428593914352,-0.7899895329229466,-0.9663677022517608,1.1318089739495707,2.5092099699590653,-0.8810687250140844,3.590453552732456,-0.747126872496702,-0.8443999982234826
SIDM00104,-0.2667139656359142,1.2566200509002723,-0.8344515781596881,-0.9089655543828378,0.24438283998058363,-0.974783761947011,1.5555664391865651,0.029024019773812602,-0.6504113969362946,-0.6247473730467044,-0.9083625454130277,1.7313047975838527,2.952662167146641,-0.9383513468312296,3.372485677846748,-0.6349269722142508,-0.8634165373232447
SIDM00267,-0.7407466307374915,1.5406871924917638,-0.8085946871217616,-0.8909469913852149,-0.0376125270858552,-0.636244588083253,1.7548276286849056,-0.3573559584049703,2.396857355830303,-0.7540850748097417,-0.8902465418138521,1.6617279767707387,2.666671207217277,-0.9173578144249342,3.4240516131377148,-0.6003742440590071,1.1401740470576374
SIDM00100,1.7387520194098747,0.5717120995126893,-0.7901778609757367,-0.7528754516787661,-0.4107896017530727,-0.7669237022530042,1.7067229972563003,-0.06514156610640343,-0.63974384428908,-0.7715336781047105,-0.9430496050281933,1.1877023041543437,2.711890441743642,-0.9578260195300241,3.430459756869777,-0.6698685207336141,-0.8596749482531529
SIDM00826,-0.799720265634792,0.25400595350220984,-0.7664972766759106,-0.8164599504673068,-0.0879255512586666,-0.977229297255347,1.555578271753992,-0.18288389564971602,1.88398021762431,-0.7547754112595066,-0.8974660099218184,2.4090339224678883,2.2459618278867723,-0.7747917599700184,3.0205508200561977,-0.6995799859059386,-0.07521008280545449
SIDM00310,-0.5910889232327573,0.7654527988078219,-0.8347893960505517,-0.8053150524643892,-0.19374091442612307,-0.7942239195377706,1.9258781035599717,-0.5311452133474236,-0.2642618235886884,-0.7810917958529614,-0.9457050234112891,1.1808498309381006,3.2159780896699206,-0.8998251564723047,3.3128480691226088,-0.8150607398556169,-0.8254004540645047
SIDM00482,-0.7740643357522492,-0.30448179130385605,-0.7533572637974482,-0.8250500377445278,-0.5428923699768067,-0.9340511370217212,1.5758904842232921,-0.25066330068954434,-0.641015332934755,-0.6937166126537871,-0.8968771396548048,2.1250670612096276,1.9919977440385361,-0.8631389015849579,3.484145941245281,1.632830902534074,-0.7737774843117335
SIDM01247,-0.7274679333705687,-0.37061595550831455,-0.7643898012225063,-0.819033049719327,-0.5787467936623109,-0.965256706597613,1.4821330045798367,0.5952355114258092,-0.7658244385022623,0.4091268970908324,-0.9136595645532111,1.8816310868751138,2.282950722464855,-0.8388777090188606,3.4047695925257107,-0.5027690679575466,-0.7679010182004905
SIDM00817,-0.47069739618651774,0.47398835230210185,-0.7596601556515229,-0.7928899693471578,-0.5652962521368858,-0.920771380231752,1.4925411062314151,-0.7806329237234483,-0.6928421742915656,-0.7413519425350634,-0.9262757682333739,1.8915752242581814,2.792558498518561,-0.797774825337754,3.5456875152878164,-0.01790686552626232,-0.7895972269367619
SIDM00448,-0.6048291022592708,-0.16560406967806773,-0.725976659410014,-0.7070069088086917,-0.5127138396453789,-0.890779147092003,2.4074386268832244,-0.6103779239501262,-0.6316448681270529,-0.48221010656125585,-0.8772936330753969,1.8694429612525827,2.480686476696411,-0.7424591746912798,3.4925207521885393,1.1932663844323104,-0.7495763039978126
SIDM00086,-0.5653810466254217,-0.17307678078264677,-0.8319976774991713,-0.6260116032102978,-0.602795914270499,-1.0176568965969583,1.0541461634285874,-0.827857589932687,-0.8610200461892443,-0.7636096433329365,-0.8950430844136803,1.2413049154658584,2.7819359869050455,-0.9168826248113134,3.6130004551468957,1.2219285221967093,-0.8711541208643858
SIDM00466,0.40269390377440123,1.656467174248372,-0.5550461436889963,-0.9200067478838309,-0.5814376190072956,-1.067197376152488,1.249010464085762,-0.8134936278921417,-0.6030229211694315,-0.7773652286911019,-0.9719431017745893,0.765219617671239,2.743801977533253,-0.9165924093854243,3.28280134951303,0.4186777547775848,-0.8821507237140525
SIDM01132,0.11811188802273277,-0.3010650714847667,-0.825326600992931,-0.8119300378239381,-0.6527478633911141,-0.9085203312875246,1.3398784647863675,-0.7873433791420833,-0.7564356986830316,-0.641200952549411,-0.9206482443386819,1.7001188100659064,2.9621774199390654,-0.9026631299889396,3.526431048097193,-0.6586539187028837,-0.7687985897261992
SIDM00465,2.055051878734694,0.1336934144706786,-0.714399341543817,-0.8192018910940834,-0.5209524467475171,-0.9049433918883274,0.8659287946235424,-0.5658155168729014,-0.6979139231430904,-0.7483489844852286,-0.8519672748649014,1.63110272379976,3.080978224630011,-0.8491809286972736,3.4675640205159652,-0.3503512264559998,-0.7208503516076283
SIDM00565,0.8131720891634675,-0.27424457933306284,-0.6748155127200393,-0.8909891527679752,-0.19532801295297297,-0.9992998298275695,1.2433078236952808,-0.7389327601627157,-0.7324303802442387,-0.7366460798822894,-0.9107848326219493,1.5172083926649897,3.0919130075640777,-0.878956440638485,3.8683182309385566,-0.7142530231523325,-0.8761118021373844
SIDM01092,-0.7172174589339614,-0.2665381915661436,-0.7672631322076658,-0.8551383092392838,-0.5046418707009901,-0.9694119229158771,1.7116043236808862,-0.6698822456020532,-0.6585284339888695,-0.749624206514261,-0.9734014634948006,1.5011535679596604,2.316954942113432,-0.8718353501978386,3.6623095162203025,1.4449859905049516,-0.7491813924987633
SIDM00218,-0.7033671590053726,-0.03912580305866341,-0.837416287663944,-0.9223076807841925,-0.5061589868408317,-0.9183797452353839,1.5005588134914205,-0.4632662403988235,-0.6981702917164065,-0.5266240547973565,-0.8668677791747931,1.4647777241266742,3.036814785624761,-0.8294637998277998,3.745211961104662,-0.36586270769542073,-0.7053764040727509
SIDM00044,-0.6781406354394545,0.7604603433064244,-0.8192333686049457,-0.8751278447653008,-0.5327420801576487,-1.0377272277627743,1.263107763982978,-0.6252231079641707,-0.7557104476543997,-0.7627192285994306,-0.8750821206706595,0.969010928943378,2.8437988954351545,-0.8278377847916286,3.6711839639897144,-0.6161078149759041,-0.8365888801118578
SIDM00362,-0.722096977316341,-0.39401926973001,-0.7445689688577017,-0.8835501637472524,-0.6166854463423265,-0.8832121744179662,1.845798389325056,-0.4254028700771063,-0.6328868137926382,-0.45507256815644875,-0.8680593025133637,1.260120538225484,2.716319930273978,-0.9032346796272726,3.546230328424661,-0.5029021505086022,-0.8564422484268063
SIDM00813,-0.7417854334477638,-0.5639748506309217,-0.7806672458149864,-0.9262832942939792,-0.588707698247199,-0.9788793237178474,1.7473168660519758,-0.3075084424584844,-0.7533124111233217,-0.4913184555347498,-0.905360019178395,2.528743794632539,2.0282919382491587,-0.8619146277103679,3.179368390131334,2.15622927782198,-0.8077752464499288
SIDM00364,-0.7420766717032296,-0.3932597249562386,-0.7515221965815663,-0.8587727378787524,-0.421580755674037,-1.0574904764040065,1.409789517861188,-0.5413981295527561,-0.5819648071413479,-0.7002880621786148,-0.8812454069154769,2.9247510825289984,2.4408232686573017,-0.9110121260297653,3.4269224896555643,-0.3367203806235301,-0.7369231838571714
SIDM00792,-0.7740775631292695,-0.284326921456326,-0.8404663929130467,-0.8913303425963407,-0.2505338878181043,-1.064761655801212,1.4590283918463407,-0.5399901785183175,-0.8214282826453981,-0.48812862703531856,-0.7635909671563487,1.7240067191802841,2.277167643292724,-0.8269369701778484,3.8225357683559396,-0.46304974356574874,0.5747216386039329
SIDM00241,-0.5690643557918824,-0.4350866568758823,-0.2415353610918752,-0.8641250818386532,-0.6564378707624494,-0.9780162330859706,1.20470170810287,-0.6582510427916145,-0.8020843360775267,-0.7367943757356656,-0.9074900929406894,1.4879013859925367,2.633518829898437,-0.8888666011121571,3.6225217438190476,-0.6411509282811026,-0.851617997684028
SIDM00091,1.9820732562236902,1.186848528916777,-0.7549066566719081,-0.5988454092531668,-0.24521133664472755,-1.0341522271921817,1.1300282410326585,-0.741859996425407,0.43247189127168706,-0.7033893548253093,-0.9026572555899015,1.576456975386255,2.6055038748344668,-0.9137509855400368,3.5703758121832454,-0.6086652033296076,-0.8390813299171649
SIDM00427,-0.7499318453272297,-0.5192523484651654,-0.864024092467998,-0.8920481408339959,0.0186312234250972,-1.0021756919151863,1.4434838717836758,-0.7878139561554911,-0.78597511712951,-0.7650361760191783,-0.9528779735188189,2.3888567922412216,2.6486994306674014,-0.90649455414691,3.3234151969622636,-0.6689521369900122,-0.8310930097399771
SIDM00758,0.11235883008360856,1.6456300217551263,-0.745022562053805,-0.8704199374730729,0.5230489981333896,-0.9986822248833505,1.641107682807779,-0.44284294451108003,-0.7501261441383862,-0.6708716376782328,-0.9096628556754222,1.972072232811995,2.8145426065249195,-0.8914350219008002,3.4593498823553634,-0.6114087457914745,-0.7949950627374446
SIDM00612,-0.692363521565239,-0.1803396248550541,-0.8881504826697529,-0.49313491167363505,-0.46304680291202593,-0.9686043289773395,1.4690809854852622,-0.8115966289348657,-0.790675649381766,-0.8323265111819893,-0.9389745998210869,1.0020354340079858,2.6743590902066146,-0.9323105007539008,3.6796431611034337,-0.6450263244040306,-0.8483793529269876
SIDM00553,-0.7460797408699145,0.8001652059178103,-0.7731964490751683,-0.8568592392586148,-0.5415139098113207,-0.9202532533731719,1.569499479050361,-0.803737374804742,-0.7361420192765249,-0.69895955319231,-0.874616904856925,1.0747570218032196,2.632995881929713,-0.830470611058289,3.550635093380016,-0.6068249533729796,-0.7987985509822878
SIDM00343,1.5935675848805175,-0.03807771828821225,-0.8531088416297178,-0.8862063580016682,-0.6115848115352785,-0.9729293430327542,1.5137879985833178,-0.7085370270941957,-0.39406798260559567,-0.8754064934930829,-0.9766938952752927,1.2185898844294616,2.6560550965657805,-0.9678548377376723,3.461616842100065,0.07951718965289939,-0.8364357847259924
SIDM00543,-0.8509949416239244,-0.015375409665704533,-0.792698581135037,-0.7227639392293617,-0.5295892611383092,-1.0774107333384964,2.126921200063215,-0.6690811528098547,-0.6902099467928449,-0.6197611754964955,-0.965398347309261,2.2808645721456036,2.6611733074469974,-0.8825273136349614,3.5577250033061265,-0.7043329446886705,-0.7482791532899502
SIDM00537,-0.5560116635513291,-0.2919701967027014,-0.8219408043871254,-0.8710374004622747,0.6032302792433665,-0.9482478374924175,1.6740841815688368,-0.7845934254475716,-0.7193004865179013,-0.7395429553025693,-0.8808156986383048,1.6523938242801224,2.5534044418111077,-0.9282242344092401,3.3672392638511437,-0.7512412827103392,0.9891959793510974
SIDM00332,-0.7468082235304333,-0.36186005255938986,0.9270759960850735,-0.5421644792168688,-0.5323323897028169,-0.958801526113897,1.5097331047942677,-0.6827495347824093,-0.6702024685938227,-0.666756719650254,-0.9086144636892916,1.607578267778964,3.0942193948766956,-0.8645238543806568,3.5244290511360954,-0.8019190501008293,-0.8605520277180915
SIDM00299,-0.3929451831574844,0.5882011354964108,-0.7854263110030987,-0.7885711533118961,-0.6046793734953284,-0.9048742760598227,1.557712014283591,-0.8470734716149313,-0.7768812331015823,-0.7270569162347923,-0.958493084329642,1.2447289880131818,2.7641998243842383,-0.9317435957353328,3.2405820374425627,-0.6963595399828272,-0.8350843619442164
SIDM00308,-0.7882035385576254,0.834792776675997,-0.7297068601578105,0.2734362755869436,-0.08230188191403602,-0.9292595706121336,1.1416972620122203,-0.8293002045192989,-0.7587424087429492,-0.723318002296226,-0.9071944547521381,1.0981097839979677,2.7139724072501665,-0.8804797221055526,3.1715846989442684,-0.7712384029578531,-0.7750200562965059
SIDM00227,-0.8692318369109736,0.5867274825648489,-0.7844907941942563,-0.9190919396915714,0.5600982323790745,-0.9472921956245023,1.5562911340242043,-0.3283829617686136,-0.7391941003290314,-0.6425949859683466,-0.9148065752750444,0.8749677766641842,3.0908074999212256,-0.9020211954085205,3.681408173921112,-0.8067515817605035,-0.8200912417736349
SIDM00294,-0.7090033405935592,-0.32185757525652214,-0.8255246647314572,-0.8842555869893779,-0.5444752580433676,-0.9818414944273706,1.7036810943973049,-0.6293920756279753,-0.7926958208867741,-0.7083397306413853,-0.9388788119633553,1.6733015778075553,2.085827470468617,-0.9144478508130357,3.7495557926505536,-0.7840856816757543,-0.7137155608034479
SIDM00677,-0.5967472042148319,0.316089246410901,-0.8000896421613997,-0.8213951364229376,1.051017278895517,-0.9847098558543463,1.8095544064750677,-0.8461860584761564,1.6907913071282767,-0.7347150525695529,-0.9612889534107322,1.6142240248651212,2.6143846670775255,-0.8505876565215491,3.5182635405971343,-0.7393780575486157,0.6952359019757791
SIDM01220,0.9263265790719177,0.09131971669137824,-0.8855096514456348,-0.8572754465045173,-0.6323887763565982,-0.9464884932439042,1.4554830340426184,-0.42578254859718256,-0.6975934299642509,-0.7080595400613788,-0.9530335722127382,2.019296786095711,2.5274581172354065,-0.8790283200132994,3.6857414898070604,-0.6901513416903681,-0.8397347611258654
SIDM01259,-0.7149430638601513,-0.3415008484517452,-0.8352030074059283,-0.8893577817256012,-0.5540628615514205,-0.8866129354919223,1.5384745339696557,-0.19957587981645694,-0.7306126314835641,-0.5445558118466081,-0.9061622151435829,1.836577704010519,2.280200610718836,-0.9125060406684699,3.1282170257701223,-0.6869634603506607,-0.7791680384986222
SIDM00680,-0.6907853121425331,-0.026655992278471523,-0.7852987450671158,-0.8730267047894955,0.46679532517170885,-1.0462242809193747,1.523142867759006,-0.7342805150639535,-0.6218921436466317,-0.7154185275740814,-0.7962900734002415,2.078069138425816,2.374132781007345,-0.9345225288196136,3.3288853475115596,-0.6433345259106218,-0.5381659644943485
SIDM00346,-0.7252119242566222,0.01587724162929269,-0.8742925169730349,-0.43724060178978025,0.10224765982875215,-0.9515071779466403,1.4265804437671545,-0.7379589372963069,-0.5505962883392419,-0.7734154834040206,-0.9028758226696425,1.332209733540076,2.7156234843802145,-0.9059619278107993,3.298374539014706,-0.7376780641939332,-0.7900915297060075
SIDM00129,0.8921753987649618,0.19192086489765997,-0.3774619642248595,-0.7235663629160214,-0.4921538656503222,-0.836829112558317,1.9139587726238234,-0.9533639044403318,-0.6072591917550257,-0.7268333584591571,-0.9136555797379631,2.2615920435205425,2.728932924590081,-0.886315480560266,3.762068450590406,-0.7848042347859882,-0.8959215271367343
SIDM00627,0.9977019091187911,-0.516280234805762,-0.6978206570176672,-0.9884727963987555,1.058828522054188,-0.963450486435802,2.0017110412190076,-0.5805579908832804,1.50447385624253,-0.6915051363960948,-0.9286163584663008,1.6228831340012333,2.533558189922942,-0.8864399180584284,3.1903595659052297,-0.8455082042069942,-0.8699441192751844
SIDM00293,-0.6624178539966822,-0.30895978786685596,-0.8360088390831888,-0.8313354461878573,-0.5643446657011514,-0.9157817559737175,2.0480797894495337,-0.6180331927505259,-0.8263210091087939,-0.6190573114743859,-0.9401656684659244,1.0166802197290485,2.259542049004357,-0.8439835802747865,3.6538330398603533,-0.37700231775142906,-0.3841499760290479
SIDM00274,2.0733063940219263,0.34988001513322836,-0.8431560025350633,-0.8901434314064156,-0.02506482789613764,-0.962653552690309,1.7137407989943683,-0.5969527656003802,-0.7312264685627335,-0.7493463130289246,0.165585656740152,1.8042248880587655,3.0069507088952863,-0.9081020437200856,3.492071642160127,-0.4105923452747447,-0.6494127305934491
SIDM00544,-0.8490994465162932,-0.3855086810535926,-0.7974035183103698,-0.8458210972841956,-0.39516492096945277,-1.014137066639835,1.66499483706237,-0.45389008522630214,-0.770239947702453,-0.672828618266398,-0.9149438251644151,1.4794630785491336,2.859613987281177,-0.8954294754113514,3.5726833828030986,-0.6488771159526798,-0.8039867818873897
SIDM01006,-0.8014584840965001,-0.0806742921604397,-0.8341126877020099,-0.8278861766020401,-0.5441327267003772,-0.9483403863087532,1.4846052133128054,-0.8599438554422169,-0.6974442130376861,-0.8728938599446631,-0.8485652736694627,1.4442365029040134,2.56531984507113,-0.8393927077528386,3.5647944602486166,-0.06881535015857022,-0.7477760881086003
SIDM00302,0.5428228546799633,0.40838148658926066,-0.8984984811180946,-0.8266214585504834,-0.2590564743379998,-0.9468571995558778,1.6379076805190336,-0.7920672285913729,-0.7869434742495648,-0.8433086620802043,-0.9366624420731398,1.6502332725394042,2.626733167406674,-0.867259893860992,3.127279153299923,-0.5185876108220119,-0.8755377954516036
SIDM00549,-0.6940238088126376,-0.36084670733092195,-0.8470933364649144,-0.7243868536598207,-0.5448467003907547,-0.9819496252681053,1.7186220853548528,-0.5763721854152779,-0.7852400255815071,-0.7490541690640141,-0.8469117968699964,1.6561014141586192,2.6777935590053015,-0.9033766545719905,3.6488875125983804,-0.4811524753270456,-0.8338428362338253
SIDM00292,-0.8554145460571978,-0.11215399455104824,-0.9674389826838219,-0.9399175061401244,-0.3222191189249399,-1.0149147366911777,1.8409408756205348,-0.7804018233896748,-0.8776882355292288,-0.79836342478798,-0.9468497668564451,1.7898122418123805,2.1276109242199377,-0.926358424593999,3.567352492605874,-0.553096550465336,-0.610846365466447
SIDM00623,-0.5326997450143566,-0.30653934000740735,-0.8286218214828305,-0.5419741769310682,-0.48919477222743485,-0.8888466014727425,1.6728644063442586,-0.12573416847433597,-0.690171563735915,-0.4219636484767534,-0.8967435160423026,1.6443676052435443,2.649518750179283,-0.8472817069879047,3.315955992481945,2.4929886882291536,-0.8276559115336193
