"","drug","cell_line","IC50","prediction","fold"
"67","CZC24832","SIDM00540",5.488764,4.448808,1
"68","VX-11e","SIDM00096",2.2575585,2.0657332,1
"69","Wnt-C59","SIDM00612",4.5870045,4.195904,1
"70","BMS-754807","SIDM00216",-1.291566,1.0935359,1
"71","Sabutoclax","SIDM00308",-1.98858,-1.6972085,1
"72","Wee1 Inhibitor","SIDM00489",0.980307,1.6636033,1
"73","Ruxolitinib","SIDM00599",4.3168945,3.6830587,1
"74","Rapamycin","SIDM00542",-1.799362,-2.3611438,1
"75","GSK2578215A","SIDM00218",7.581259,7.095157,1
"76","ML323","SIDM00951",2.854192,2.827523,1
"77","PLX-4720","SIDM00958",2.60725733333333,2.4594939,1
"78","AGI-6780","SIDM00579",2.1536795,1.907743,1
"79","VX-11e","SIDM00197",3.5317465,2.8331895,1
"80","Uprosertib","SIDM00417",4.6382995,3.4973893,1
"81","Ipatasertib","SIDM00596",5.244861,4.5829716,1
"82","Foretinib","SIDM00410",0.6407845,0.1440116,1
"83","Wee1 Inhibitor","SIDM00003",1.012738,1.786042,1
"84","BMS-345541","SIDM00332",4.2296025,3.8566422,1
"85","IWP-2","SIDM00422",2.032252,1.6913583,1
"86","Leflunomide","SIDM00427",4.257889,3.8284066,1
"87","Gefitinib","SIDM01228",0.2812125,2.0549214,1
"88","Entospletinib","SIDM00375",4.530611,4.093517,1
"89","Dactolisib","SIDM00504",-3.410548,-3.0231285,1
"90","Nilotinib","SIDM01160",3.765993,3.9569883,1
"91","Alpelisib","SIDM00962",4.46513,2.416936,1
"92","Dabrafenib","SIDM00826",-0.075091,3.2014127,1
"93","Cisplatin","SIDM01197",5.91721833333333,4.345916,1
"94","Cisplatin","SIDM00842",2.67653266666667,2.7727582,1
"95","PD173074","SIDM00259",3.424969,3.4333806,1
"96","Niraparib","SIDM01161",4.115739,4.0138607,1
"97","WZ4003","SIDM00632",2.238154,3.3132906,1
"98","Daporinad","SIDM01245",-6.725857,-4.785399,1
"99","Afuresertib","SIDM00127",1.532706,2.8114367,1
"100","Trametinib","SIDM00234",-0.684452,-0.3912584,1
"101","Navitoclax","SIDM00197",-2.674453,1.1590167,1
"102","Trametinib","SIDM00600",-3.9769335,-2.8251662,1
"103","BMS-536924","SIDM01095",-0.1175565,1.3766587,1
"104","PD0325901","SIDM00638",0.9421035,0.23284595,1
"105","AZD7762","SIDM01183",0.205513666666667,2.2678914,1
"106","Dasatinib","SIDM00488",-0.674317,1.2145841,1
"107","Cyclophosphamide","SIDM00561",4.404114,4.2128024,1
"108","Navitoclax","SIDM00362",1.79578,0.017360464,1
"109","PD173074","SIDM00935",2.8530415,2.7373583,1
"110","Osimertinib","SIDM00549",0.792496,1.6929231,1
"111","Luminespib","SIDM00699",-0.6123465,0.61349034,1
"112","Cediranib","SIDM00491",3.399394,3.0270798,1
"113","Dinaciclib","SIDM00343",-2.027895,0.085345566,1
"114","BMS-536924","SIDM00202",0.331521333333333,1.0830798,1
"115","Gefitinib","SIDM00266",2.5749515,0.9440681,1
"116","Buparlisib","SIDM00638",0.366617,1.1172568,1
"117","Afuresertib","SIDM00968",2.512336,3.1265218,1
"118","PRT062607","SIDM00393",2.385608,3.6312888,1
"119","Cediranib","SIDM00350",2.2844,2.451092,1
"120","PFI3","SIDM00362",3.486362,3.676169,1
"121","CZC24832","SIDM01007",3.507873,2.952781,1
"122","ABT737","SIDM00202",-2.39304,0.5341191,1
"123","Ibrutinib","SIDM01120",5.42526,3.9690447,1
"124","Talazoparib","SIDM00260",5.934196,3.9936285,1
"125","AMG-319","SIDM00448",4.236596,4.1037884,1
"126","CZC24832","SIDM00211",2.866025,3.0867655,1
"127","MK-2206","SIDM00243",-0.0307494999999999,2.6194603,1
"128","Linsitinib","SIDM00410",3.46691,2.601229,1
"129","BMS-345541","SIDM00201",2.1755675,2.0237477,1
"130","Ruxolitinib","SIDM00781",5.242806,5.0822897,1
"131","Venetoclax","SIDM00808",1.713215,1.5812361,1
"132","GSK591","SIDM00427",4.140573,2.8475761,1
"133","VX-11e","SIDM00424",2.413135,2.538065,1
"134","Ulixertinib","SIDM00274",1.6454695,3.5521398,1
"135","GSK2578215A","SIDM00114",6.25368,5.8117123,1
"136","Erlotinib","SIDM01133",4.309572,2.8044415,1
"137","Olaparib","SIDM00875",2.91205033333333,3.7435818,1
"138","GDC0810","SIDM00540",5.695754,5.0209804,1
"139","Ipatasertib","SIDM01149",2.057895,2.221694,1
"140","Vorinostat","SIDM00444",1.80079,1.0290401,1
"141","Talazoparib","SIDM00418",2.9362455,4.347879,1
"142","Dabrafenib","SIDM00680",5.525158,4.2715564,1
"143","Entinostat","SIDM01140",0.385456,0.84519005,1
"144","Luminespib","SIDM00951",-3.966141,-2.5113392,1
"145","Obatoclax Mesylate","SIDM00094",1.1680755,0.7969917,1
"146","Cyclophosphamide","SIDM01259",5.129478,4.2825127,1
"147","Palbociclib","SIDM00599",3.0441155,1.4089587,1
"148","AZD6738","SIDM00420",2.4414755,2.7700052,1
"149","Nutlin-3a (-)","SIDM00527",2.238203,2.2903497,1
"150","Linsitinib","SIDM00832",3.7264865,3.655016,1
"151","Pictilisib","SIDM00227",1.03166633333333,1.2786663,1
"152","Ulixertinib","SIDM00835",3.2002795,3.9720817,1
"153","Entinostat","SIDM00501",2.45602,2.82312,1
"154","MN-64","SIDM00814",5.15109,4.577039,1
"155","Uprosertib","SIDM00176",3.2102975,2.616056,1
"156","Savolitinib","SIDM00422",1.949934,1.8927166,1
"157","Dabrafenib","SIDM00389",3.288884,2.093923,1
"158","AZD4547","SIDM00817",3.81219666666667,1.9312651,1
"159","NVP-ADW742","SIDM00550",1.679199,3.0517626,1
"160","Wnt-C59","SIDM00047",4.068933,3.3143897,1
"161","Palbociclib","SIDM00638",4.2234255,2.7996478,1
"162","XAV939","SIDM00316",4.2158325,4.1861444,1
"163","Cytarabine","SIDM00974",-0.0426374999999999,-0.16829714,1
"164","IWP-2","SIDM00864",2.35505,2.621171,1
"165","Taselisib","SIDM00627",-0.696875,1.0031272,1
"166","Dasatinib","SIDM00251",4.14583,2.3407269,1
"167","Sabutoclax","SIDM00577",-2.165106,-0.5445579,1
"168","WIKI4","SIDM00377",4.253178,4.4634786,1
"169","Sepantronium bromide","SIDM00047",-5.463869,-4.3655996,1
"170","PFI3","SIDM00846",5.050288,5.040583,1
"171","AGI-6780","SIDM01042",2.189475,2.0007544,1
"172","WEHI-539","SIDM00528",4.668635,3.3758137,1
"173","Daporinad","SIDM01155",-1.381173,-1.9812353,1
"174","Gefitinib","SIDM00205",1.0962685,1.4438081,1
"175","MIRA-1","SIDM00896",3.206583,3.2117412,1
"176","VE-822","SIDM01095",1.836412,2.2897918,1
"177","LGK974","SIDM00230",3.247925,3.4555323,1
"178","Luminespib","SIDM00465",-2.04523,0.037927978,1
"179","Gemcitabine","SIDM00535",-1.66712733333333,-1.600793,1
"180","AZD3759","SIDM00384",1.73871,2.333187,1
"181","Luminespib","SIDM00129",-1.9222365,-1.6563377,1
"182","Dasatinib","SIDM01174",3.357426,3.3420978,1
"183","AT13148","SIDM00241",2.059037,2.7998624,1
"184","RVX-208","SIDM00214",5.345416,4.326432,1
"185","I-BRD9","SIDM00261",3.161915,2.740497,1
"186","Venetoclax","SIDM00951",2.499558,0.21948509,1
"187","AZD7762","SIDM00527",-1.591596,0.9487647,1
"188","Tamoxifen","SIDM01259",2.3264295,2.8516295,1
"189","Lapatinib","SIDM00045",2.0251475,1.319958,1
"190","XAV939","SIDM00227",3.9083025,4.5529494,1
"191","Gemcitabine","SIDM00659",-3.50887133333333,-2.459076,1
"192","Daporinad","SIDM00680",-4.55978,-2.381572,1
"193","EPZ004777","SIDM00783",5.083257,4.3889446,1
"194","EPZ5676","SIDM00896",4.458965,3.789896,1
"195","Dabrafenib","SIDM00632",1.724149,1.8986783,1
"196","Entospletinib","SIDM00407",0.132074,2.281973,1
"197","GDC0810","SIDM00091",6.973783,6.2808414,1
"198","AT13148","SIDM00758",3.034989,3.9426289,1
"199","Vorinostat","SIDM00427",0.38209,0.19363575,1
"200","Ibrutinib","SIDM00103",6.349576,4.737761,1
"201","I-BRD9","SIDM00917",3.280439,2.3122025,1
"202","PCI-34051","SIDM00244",2.471069,3.819645,1
"203","IWP-2","SIDM00056",2.97579,2.682888,1
"204","Dactinomycin","SIDM00218",0.3218265,-0.4974397,1
"205","VX-11e","SIDM01132",3.3916905,2.531357,1
"206","Osimertinib","SIDM00214",1.115264,1.9088955,1
"207","NVP-ADW742","SIDM00592",2.270735,2.44234,1
"208","Venetoclax","SIDM01168",3.390214,3.3700912,1
"209","Nilotinib","SIDM00154",3.3176005,2.9571054,1
"210","Fulvestrant","SIDM00196",3.37484533333333,2.6116943,1
"211","GSK1904529A","SIDM01160",3.757111,3.762636,1
"212","Foretinib","SIDM00216",-0.894025,0.30081692,1
"213","KU-55933","SIDM00954",4.5482245,2.7673006,1
"214","PLX-4720","SIDM00532",3.96653133333333,4.1468897,1
"215","EPZ004777","SIDM00114",6.607752,5.6462893,1
"216","Erlotinib","SIDM00367",3.712832,2.3073025,1
"217","Epirubicin","SIDM00299",-0.624894,-1.7861797,1
"218","Sorafenib","SIDM00377",3.169837,3.5710373,1
"219","Entospletinib","SIDM01161",3.186478,3.5428925,1
"220","Crizotinib","SIDM00606",3.93993,2.5271747,1
"221","Sapitinib","SIDM00930",5.364807,2.8855138,1
"222","PD0325901","SIDM00302",-0.49516,-0.49804583,1
"223","AZD8186","SIDM00540",1.186744,0.2330322,1
"224","BMS-345541","SIDM00905",3.097411,3.044882,1
"225","AZD5582","SIDM00218",5.3412885,3.4143317,1
"226","PRT062607","SIDM00420",4.218709,3.7209702,1
"227","EPZ004777","SIDM00256",4.339178,3.273369,1
"228","Pictilisib","SIDM00826",0.0008939999999999,1.7486848,1
"229","BIBR-1532","SIDM00374",5.214057,4.190018,1
"230","Crizotinib","SIDM01247",1.223581,1.9201725,1
"231","AZD4547","SIDM00308",2.083488,1.1642176,1
"232","Gefitinib","SIDM00969",1.7519695,1.4897811,1
"233","Dasatinib","SIDM00375",0.144782,2.3887074,1
"234","UMI-77","SIDM00917",2.442734,1.6628197,1
"235","Linsitinib","SIDM00242",0.6660615,2.119884,1
"236","I-BET-762","SIDM00198",3.416004,3.6159625,1
"237","Cediranib","SIDM00047",1.290583,2.080272,1
"238","Camptothecin","SIDM00917",-5.095388,-4.0052495,1
"239","MK-1775","SIDM00792",0.563692,1.1015296,1
"240","5-Fluorouracil","SIDM00472",5.961737,5.2291512,1
"241","Vinblastine","SIDM00176",-2.9221235,-4.06539,1
"242","Ruxolitinib","SIDM00216",4.587106,3.996656,1
"243","Oxaliplatin","SIDM00550",5.7256415,5.267364,1
"244","Cytarabine","SIDM00262",0.970566,1.1280202,1
"245","Ulixertinib","SIDM00549",2.396136,2.0100594,1
"246","Epirubicin","SIDM00411",0.987132,0.41840938,1
"247","Cyclophosphamide","SIDM00410",4.300019,4.5883203,1
"248","UMI-77","SIDM00562",1.823414,2.5055385,1
"249","Dasatinib","SIDM01161",-3.3886935,0.77636015,1
"250","PLX-4720","SIDM00218",4.76618333333333,5.7674212,1
"251","Oxaliplatin","SIDM00287",1.0486,2.1145053,1
"252","Cytarabine","SIDM00427",-1.211762,-1.484889,1
"253","MK-1775","SIDM01140",-0.266866,-0.4050102,1
"254","LY2109761","SIDM00317",7.386086,6.709334,1
"255","Fulvestrant","SIDM00565",4.18899233333333,3.6568193,1
"256","Camptothecin","SIDM00101",-1.391849,-0.7737144,1
"257","OF-1","SIDM00257",4.206854,2.476749,1
"258","Gemcitabine","SIDM01047",-2.903431,-3.9758105,1
"259","Luminespib","SIDM00833",-0.625787,0.7948097,1
"260","OTX015","SIDM00834",4.277906,3.6955109,1
"261","Savolitinib","SIDM00375",2.619515,3.0951753,1
"262","GSK1904529A","SIDM00114",3.10321,4.263081,1
"263","BMS-536924","SIDM01146",2.648853,1.9209294,1
"264","Sapitinib","SIDM00256",4.146909,2.1478496,1
"265","ML323","SIDM00833",4.499807,4.8617687,1
"266","PLX-4720","SIDM00261",4.321038,3.1783772,1
"267","Palbociclib","SIDM00842",2.157672,1.8420079,1
"268","Ulixertinib","SIDM00320",4.453036,3.875307,1
"269","Uprosertib","SIDM00482",2.3220785,1.2343433,1
"270","Docetaxel","SIDM00082",-1.45787466666667,-2.3390548,1
"271","AZD7762","SIDM01175",2.46670966666667,3.854342,1
"272","Pevonedistat","SIDM00541",0.725677,2.4605165,1
"273","Paclitaxel","SIDM00328",-3.3222995,-1.9895258,1
"274","Cisplatin","SIDM00003",3.28203,2.6828027,1
"275","WIKI4","SIDM00842",3.679508,3.3416998,1
"276","Irinotecan","SIDM00539",3.010363,3.4695458,1
"277","5-Fluorouracil","SIDM00958",2.850447,1.5490906,1
"278","Temozolomide","SIDM00576",2.8046,4.223288,1
"279","Dabrafenib","SIDM00082",3.222405,3.2887971,1
"280","Fulvestrant","SIDM01197",4.60808466666667,4.215326,1
"281","MK-8776","SIDM00732",4.019024,3.820726,1
"282","EPZ5676","SIDM00406",3.338488,2.3308573,1
"283","Epirubicin","SIDM00214",-0.753007,-0.23528656,1
"284","PD0325901","SIDM00541",-1.9881325,-1.9058465,1
"285","Talazoparib","SIDM00407",3.2505315,0.7555281,1
"286","CZC24832","SIDM01114",3.823074,4.518554,1
"287","RVX-208","SIDM01122",5.908953,4.4418144,1
"288","CZC24832","SIDM00324",5.00421,3.6926317,1
"289","MK-8776","SIDM00699",4.530687,3.671932,1
"290","AZD8186","SIDM00837",1.471513,1.1538844,1
"291","LY2109761","SIDM00835",6.28493,6.314649,1
"292","I-BET-762","SIDM00501",4.056707,4.1111193,1
"293","PD0325901","SIDM00583",1.641708,0.21767107,1
"294","LY2109761","SIDM00688",3.231947,4.564181,1
"295","BIBR-1532","SIDM01114",4.037107,4.7383733,1
"296","MN-64","SIDM00417",4.507898,4.6257105,1
"297","Ulixertinib","SIDM00056",1.1917325,1.6495059,1
"298","Dinaciclib","SIDM00182",-3.043977,-1.5483041,1
"299","GSK591","SIDM00875",3.624048,3.9696708,1
"300","AGI-6780","SIDM00082",3.278746,3.3786197,1
"301","Fulvestrant","SIDM00154",3.34695333333333,2.9079237,1
"302","EPZ5676","SIDM00102",6.758178,6.67792,1
"303","Ulixertinib","SIDM00958",1.1968715,0.9228196,1
"304","Vinblastine","SIDM00699",-2.907739,-2.044217,1
"305","OF-1","SIDM00537",4.217272,3.554363,1
"306","PCI-34051","SIDM01233",4.978184,5.537584,1
"307","PD0325901","SIDM00350",-1.249941,-1.0801561,1
"308","LCL161","SIDM00841",4.6634945,5.148564,1
"309","Wee1 Inhibitor","SIDM01097",0.779505,0.4425958,1
"310","Uprosertib","SIDM00958",2.929456,1.1280028,1
"311","I-BRD9","SIDM00623",5.803791,3.7470143,1
"312","AZ6102","SIDM00394",3.281192,3.5924082,1
"313","Oxaliplatin","SIDM00953",3.4108355,4.041261,1
"314","Dabrafenib","SIDM00817",4.4795785,4.109283,1
"315","VE821","SIDM00929",3.922259,4.333367,1
"316","BIBR-1532","SIDM00498",5.408865,5.2396584,1
"317","Daporinad","SIDM01197",-2.927609,-0.69043434,1
"318","Navitoclax","SIDM00482",-0.1014015,0.7401937,1
"319","Lapatinib","SIDM00302",3.3607455,3.7580738,1
"320","OF-1","SIDM00565",4.979893,3.976678,1
"321","Leflunomide","SIDM00953",4.160465,4.1400476,1
"322","AZD7762","SIDM00227",-0.628864,1.2281654,1
"323","ML323","SIDM01042",4.020805,2.8167453,1
"324","Navitoclax","SIDM00242",1.0465555,0.790449,1
"325","SB216763","SIDM01042",4.554536,2.4426239,1
"326","MN-64","SIDM00023",6.273855,5.489207,1
"327","Taselisib","SIDM01160",3.722257,3.064913,1
"328","MIRA-1","SIDM00793",4.095742,4.5636907,1
"329","NVP-ADW742","SIDM00638",2.710726,2.9770632,1
"330","Ruxolitinib","SIDM00527",4.600614,4.192848,1
"331","Sorafenib","SIDM00974",1.369742,2.882152,1
"332","Crizotinib","SIDM00489",2.473663,2.255766,1
"333","Obatoclax Mesylate","SIDM00023",0.0557665,0.45210937,1
"334","PCI-34051","SIDM00490",5.441132,4.9513774,1
"335","AGI-6780","SIDM00632",2.1963825,1.7786477,1
"336","Talazoparib","SIDM00328",5.67477,3.5417461,1
"337","Obatoclax Mesylate","SIDM00202",0.9829345,-1.1200571,1
"338","Lapatinib","SIDM00885",4.0919035,3.042069,1
"339","Luminespib","SIDM00351",-3.2401515,-1.8707454,1
"340","CZC24832","SIDM00174",3.977655,4.0452404,1
"341","Sapitinib","SIDM00688",4.505622,2.402646,1
"342","LGK974","SIDM00346",2.4880465,2.3294854,1
"343","Leflunomide","SIDM00406",2.858465,2.3468692,1
"344","Ulixertinib","SIDM01228",1.711931,2.8250914,1
"345","GSK343","SIDM00411",4.8941025,5.500755,1
"346","Lapatinib","SIDM00896",2.105698,1.9694932,1
"347","AZD5582","SIDM00056",1.379435,1.733495,1
"348","WZ4003","SIDM00551",2.017036,3.031252,1
"349","AZD4547","SIDM00970",2.49494233333333,2.033455,1
"350","Cisplatin","SIDM00216",2.102376,2.6500463,1
"351","Sorafenib","SIDM01175",5.0521495,5.23194,1
"352","ML323","SIDM00285",3.972294,3.7792726,1
"353","Olaparib","SIDM01259",2.33164366666667,2.066673,1
"354","Olaparib","SIDM00261",1.01197933333333,1.4001702,1
"355","Sorafenib","SIDM00324",1.6373965,2.2884169,1
"356","Docetaxel","SIDM00375",-3.45469566666667,-3.0362656,1
"357","AZD4547","SIDM00583",3.26058366666667,3.7718077,1
"358","MN-64","SIDM00203",5.444619,4.716405,1
"359","MIRA-1","SIDM01205",4.267002,4.0961204,1
"360","Alisertib","SIDM00393",3.508407,0.27703166,1
"361","VE-822","SIDM01090",3.316805,2.558235,1
"362","PLX-4720","SIDM00929",3.77960166666667,3.9268281,1
"363","Taselisib","SIDM00789",0.7921,0.6021458,1
"364","Lapatinib","SIDM01251",2.2817,0.8120328,1
"365","Buparlisib","SIDM00527",0.371307,0.5024982,1
"366","I-BRD9","SIDM01149",3.388598,2.7087824,1
"367","ABT737","SIDM00975",0.613451,3.4157083,1
"368","Dinaciclib","SIDM01073",-3.314845,-3.0308032,1
"369","AGI-5198","SIDM00308",4.280853,2.9154959,1
"370","GDC0810","SIDM00834",4.574205,5.774431,1
"371","Vinblastine","SIDM00389",-6.368668,-5.7144413,1
"372","AZD5363","SIDM00863",1.885114,1.6629112,1
"373","Ruxolitinib","SIDM00969",4.452237,3.798925,1
"374","Savolitinib","SIDM00299",4.577383,3.408677,1
"375","AZD5582","SIDM00577",4.642208,2.4964733,1
"376","Osimertinib","SIDM00420",3.108283,2.379046,1
"377","PRT062607","SIDM01095",3.05884,2.5633347,1
"378","Cediranib","SIDM00958",0.429045,0.62880015,1
"379","Uprosertib","SIDM01160",5.2569125,4.412436,1
"380","Dabrafenib","SIDM00291",1.8860145,2.579975,1
"381","Trametinib","SIDM01248",-1.231516,-1.0359036,1
"382","WZ4003","SIDM00917",2.478805,2.9190283,1
"383","Bortezomib","SIDM00411",-3.866131,-3.651639,1
"384","MK-8776","SIDM00577",2.163877,3.419447,1
"385","Camptothecin","SIDM00835",0.012046,0.9418001,1
"386","AZD4547","SIDM01197",3.57917333333333,3.7220984,1
"387","Ipatasertib","SIDM00553",4.693632,2.6089516,1
"388","VE-822","SIDM01174",6.23469,5.033276,1
"389","PLX-4720","SIDM00781",5.55198966666667,4.9664855,1
"390","Camptothecin","SIDM00482",-4.387523,-4.2415967,1
"391","Dactolisib","SIDM00202",-2.1166195,-2.2409382,1
"392","I-BET-762","SIDM00064",3.430299,4.0540786,1
"393","Entospletinib","SIDM00182",3.681224,3.7039351,1
"394","WEHI-539","SIDM00905",4.292709,3.3807602,1
"395","WZ4003","SIDM00841",5.644172,5.239782,1
"396","OF-1","SIDM00826",4.406393,3.7389216,1
"397","Nilotinib","SIDM00424",2.126984,2.334207,1
"398","WZ4003","SIDM00180",3.911978,2.4269,1
"399","AZD5582","SIDM00668",1.92563,1.0129124,1
"400","Sepantronium bromide","SIDM01248",-4.8301425,-4.0583572,1
"401","Cyclophosphamide","SIDM00233",4.507502,4.2697344,1
"402","5-Fluorouracil","SIDM00198",3.907721,3.6577644,1
"403","PLX-4720","SIDM00277",1.06392633333333,1.5204167,1
"404","Bortezomib","SIDM00328",-3.679071,-4.3101172,1
"405","Sapitinib","SIDM00266",5.005037,1.4311851,1
"406","BIBR-1532","SIDM00044",6.046545,5.3348727,1
"407","WZ4003","SIDM00389",1.463999,2.0162985,1
"408","ML323","SIDM00974",4.595288,4.0945687,1
"409","Dasatinib","SIDM00688",2.121135,1.2032056,1
"410","XAV939","SIDM00935",3.7960095,3.9872088,1
"411","AMG-319","SIDM00389",3.173974,3.020751,1
"412","AGI-5198","SIDM00250",4.209991,4.2119637,1
"413","Pictilisib","SIDM00577",0.947414333333333,1.4370226,1
"414","Palbociclib","SIDM00832",4.153731,2.9054375,1
"415","Irinotecan","SIDM00269",-2.022891,0.45676282,1
"416","Camptothecin","SIDM00537",-3.133379,-2.2839603,1
"417","GSK591","SIDM00444",5.896787,3.9749444,1
"418","Lapatinib","SIDM00103",5.417033,5.0040293,1
"419","AZD3759","SIDM01179",4.416146,4.0457745,1
"420","Alpelisib","SIDM00699",4.345543,4.271125,1
"421","Lapatinib","SIDM00326",2.4395995,3.257014,1
"422","AZD5363","SIDM01245",2.748978,1.5502453,1
"423","Uprosertib","SIDM00659",2.658066,3.2950845,1
"424","OSI-027","SIDM01073",0.840315,0.9222002,1
"425","GSK591","SIDM00680",4.151777,4.3579016,1
"426","MK-2206","SIDM00541",1.7603355,3.403411,1
"427","LY2109761","SIDM01064",5.144615,5.167383,1
"428","Axitinib","SIDM00332",-0.0051045,4.3223224,1
"429","Osimertinib","SIDM00389",1.297342,0.36956093,1
"430","Ibrutinib","SIDM00198",5.396274,3.921711,1
"431","Gemcitabine","SIDM00416",-2.56370433333333,-4.2540584,1
"432","Sapitinib","SIDM01042",3.471816,1.938616,1
"433","Camptothecin","SIDM00971",2.836993,2.6210535,1
"434","Oxaliplatin","SIDM00252",5.741103,6.1594048,1
"435","EPZ5676","SIDM00814",5.400431,5.676039,1
"436","5-Fluorouracil","SIDM00441",1.35804,1.6935008,1
"437","Savolitinib","SIDM01006",2.49315,2.5290196,1
"438","Sabutoclax","SIDM00195",-1.271226,-0.6904613,1
"439","Foretinib","SIDM01205",0.5696835,0.23523001,1
"440","GSK2606414","SIDM01093",3.633744,4.6010528,1
"441","MK-1775","SIDM00719",2.743954,2.8763366,1
"442","BIBR-1532","SIDM01122",4.0479,5.2933507,1
"443","CZC24832","SIDM00842",4.643635,4.01976,1
"444","VE821","SIDM01233",5.84664,5.2350736,1
"445","AGI-6780","SIDM00250",2.6466775,2.8309445,1
"446","Vinblastine","SIDM00969",-4.0910875,-4.704228,1
"447","Obatoclax Mesylate","SIDM00539",1.778222,1.4906447,1
"448","Lapatinib","SIDM00539",0.913972,3.2617369,1
"449","Taselisib","SIDM00964",-0.824779,0.27229628,1
"450","GSK1904529A","SIDM00316",3.366958,3.2980525,1
"451","VX-11e","SIDM01229",2.402507,2.576845,1
"452","Alisertib","SIDM01019",0.4932335,0.029243432,1
"453","Lapatinib","SIDM00923",2.094829,2.8012218,1
"454","RVX-208","SIDM00310",5.92736,4.0089726,1
"455","Venetoclax","SIDM01179",4.376981,3.9354672,1
"456","AT13148","SIDM00251",4.590344,4.057639,1
"457","AT13148","SIDM00261",1.914519,2.967115,1
"458","BIBR-1532","SIDM01197",6.279662,6.131688,1
"459","Vinorelbine","SIDM00841",-4.128959,-3.354156,1
"460","Dactolisib","SIDM00199",-2.658095,-2.397446,1
