,CA5A,CA5B,CA6,CA12,CA7,GLUD2,CA2,CPS1,CA3,CA4,GLS2,GLUL,CA8,CA14,GLUD1,CA9,CA1,GLS,AMT,HAL,ASNS,CA13,CTH
SIDM01155,-0.7795754957356614,-0.47150261482731837,-0.8103333511824367,0.9614532419220001,-0.7896445543325611,-0.7495694559572339,-0.850453120648057,-0.5499674746047363,-0.8717951906326963,-0.8182859529774075,-0.8317358684580857,-0.04655882322050029,-0.8910959061536525,-0.853800781092951,2.086798012894611,-0.119031212555344,-0.97889890182253,0.49570590840898027,-0.6735919782277573,-0.8964271300860795,1.9223997146605944,-0.9183325966087293,-0.39608948340578404
SIDM00224,-0.6058133764811082,-0.6699457123673395,-0.8049999077193112,-0.6470402805587194,-0.7374035081080554,-0.6269506590146146,-0.37063283816323495,-0.9309313714956026,-0.845231549663109,-0.7573556373535528,-0.8085856564738801,-0.34840918003005994,0.32320752383092893,-0.8312953190906621,2.2571230873055206,0.7578275558346355,-0.8874318271197885,1.3145344493433517,-0.6572298768824584,-0.8516712704155077,2.510414132158332,-0.9543577199872592,-0.38028270642188405
SIDM00783,-0.5758314964799028,-0.6295483434409906,-0.7634926945804078,-0.44324672763875556,-0.6491560952204931,-0.8551005730053017,1.2768918687920028,-0.126243162716017,-0.839500120657372,-0.8663856706383593,-0.825807285264009,-0.3008135886488845,-0.8289086738824222,-0.8511453726667685,2.1690815180392926,-0.855366597726288,-0.8094099866658814,0.4182342897063891,-0.5169858272544964,-0.7350454579576661,3.2975037397379356,-0.498904184038129,0.5958352666527934
SIDM00490,-0.67425008636122,-0.35255662900716217,-0.8278120576211468,2.6087748553406542,-0.7766509987768457,-0.7542924146249183,-0.7481984376138152,-0.6327241272960004,-0.8270506610367706,-0.7045691629111216,-0.7852826931862773,-0.3063455649064781,-0.9409666378888758,-0.9079761377227771,2.018959363699914,-0.27832425836038904,-0.9275852708978531,0.44698195706049665,-0.49454590670966636,-0.8200635846470775,3.393908463688022,-0.6714217692654445,1.7175190763711874
SIDM01090,-0.7023933182149003,-0.6788321103886165,-0.7519233431483344,-0.16931322299623164,-0.7280050505703466,-0.8618190593244964,0.5355769218226709,-0.6505234622538633,-0.7276388694316657,-0.8012847238079315,-0.6219439807856075,-0.21629501672012932,-0.8625507504259842,-0.7650249058264396,1.8912613880839162,-0.5559186241526699,-0.9592282486808507,0.3947690799271415,-0.5814672841115168,-0.7109966271959635,3.1256127801696936,0.039086600097618274,0.5995567765559465
SIDM00394,-0.5648814940804073,-0.7400846784009046,-0.7290665118868853,-0.7481286387947856,-0.8313015026871097,-0.80006991769993,0.8541795493450043,2.1490185075326536,-0.8990177646049062,-0.6097763906544861,-0.649146530962924,-0.5605096325772198,-0.9868782084474587,-0.7108822417837244,2.446509747758312,-0.7474188520971417,-0.8529250592607316,0.13321899724631095,-0.5562849939917871,-0.6235691627075306,3.013991172825559,-0.870826198125042,1.5094101521627026
SIDM00538,-0.44951812569287136,-0.3158351285935735,-0.710466276032941,2.727852022403808,-0.5743727678881347,-0.7425363280984044,1.6486359385623155,-0.9091832816880292,-0.6418725278387706,-0.6197892470237035,-0.6539294663000081,-0.5111434414800277,-0.8846015693452554,-0.636683500352952,2.6862738808406403,1.4075085272423937,-0.8269304095203887,1.0109944093360765,-0.6911982502164333,-0.7364666653836208,2.44638252416971,-0.648333834630488,0.717807794748437
SIDM01140,-0.79165109280398,-0.5708494845082562,-0.8312799931877785,-0.7367822995845675,-0.8460006353094902,-0.7325819419563938,-0.774854438641505,0.050936594199034624,-0.922743459650864,-0.791287438913271,-0.6024607504977568,-0.31551734455368247,-0.8430812025747164,0.8321882603418768,2.338843876391805,-0.7859998130195348,-0.9106464479652057,0.18914988462992843,0.2385425029182981,-0.7023974717917385,2.6597003558517827,-0.5712510966701099,0.7747045468131152
SIDM00101,-0.7322033528211588,-0.7391245202257426,-0.8359704468812366,-0.7601740039193413,-0.8120649387847959,-0.6141543987164299,-0.7151647644527562,-0.4899804842076708,-0.8454030457490422,-0.7699194727197897,-0.6122699460747711,-0.48072257332177226,-0.9739933246991992,-0.8576716708870191,1.9910502658551492,-0.8526912622354141,-0.9177496836606422,0.4576871506700321,-0.6231403250717817,-0.8718708287539515,2.383912752917087,-0.6739877780367993,0.7650950484431295
SIDM00114,-0.6838842904588508,-0.8576823826226058,-0.8532311802194412,-0.7867462656811895,-0.8036955410263705,-0.7574018298949124,-0.7454330656410239,-1.013516076306111,-0.9096495096411087,-0.7847941548402804,-0.7659040766929305,-0.555376439688019,-0.8911892944065115,-0.8601728855422058,1.7268501777817313,-0.8531915341926148,-0.9789440038073306,-0.02018562098375147,-0.6963111917050306,-0.8034624669674383,3.044138283334501,-0.8655461565534663,-0.7457262496834072
SIDM00102,-0.5174503926687476,-0.7178529571137555,-0.8226831081837161,-0.4925105867406781,-0.7630346450372308,-0.6852250462814348,-0.5430535853352407,-0.4823509798275934,-0.8622168319340088,-0.7924206940836661,-0.7402888951863922,-0.445828207896749,-0.9119824234189949,-0.8277161869090325,1.8723520049632902,-0.9116764047311876,-0.8772982293417666,0.668433236321006,-0.6775406021971166,-0.8219203057627912,2.5658980639538025,-0.584181510043286,-0.2844512230749617
SIDM01122,-0.7175785292319232,-0.6842192705436129,-0.8390888776908221,-0.43692619965746876,-0.500596817984887,-0.7743960243043677,-0.7384746358748668,0.21617392888549553,-0.8713825436775612,-0.7795813387082352,-0.6970728664061522,-0.6322450780323116,-0.6901044374273665,-0.844503102833625,2.08432587781647,-0.8364772632765206,-0.9737178247304767,0.5780800929136354,-0.5432767472914952,-0.8683821635605464,3.2603884642994156,-0.8943645243702747,1.0614144867092583
SIDM00261,-0.7831408253455556,-0.8166913617582051,-0.8990648833505329,-0.5821103083816366,-0.5606997477411007,-0.8722160852035505,-0.8818787682368209,-0.7713920862908832,-0.8193881054401639,-0.7951160365448462,-0.8136046838094927,-0.1660975837698245,-0.941540639676391,0.602227807642541,1.934500268418662,-0.9102778379307999,-0.9427904951460294,0.07745653389447832,-0.5929114868882481,-0.8309713601368668,3.174535064743075,-0.6823976045457875,-0.7585238967698065
SIDM00154,-0.6917620489367658,-0.7311282033102714,-0.862535913691928,-0.7540144766318845,-0.7560918014153015,-0.5522097499267924,0.13028998625647634,-0.8399893642583605,-0.8693065124276778,-0.778349365275363,-0.8516005515615536,-0.2822289529393824,-0.7612090196927558,-0.8361273432141558,1.7112681045978277,0.42378593491884864,-0.8995347585488226,0.7736347562008294,-0.7030492796089344,-0.8019281699559456,1.6535148273897518,-0.8348364953996062,0.6535002238185832
SIDM00104,-0.519004024997782,-0.18079768659979664,-0.8626275042648144,0.9000972835626941,-0.8351447597223026,-0.7818415171758659,-0.69668533224724,-0.7179719380126011,-0.807418678769941,-0.974783761947011,-0.6961147653034104,-0.3448803433938293,-0.9069353425770452,-0.86675737564166,2.0173611833082585,-0.9313376438409182,-0.8609593749977852,0.6377092094516891,-0.6482649758488905,-0.7729739803481979,3.0343792701326446,-0.7277757090270228,1.556592484043573
SIDM00267,-0.48011405027601783,-0.7831908426270207,-0.7612544290447641,0.7917129566429616,-0.7879898881346329,-0.7424001770777968,1.3446191605324926,-0.9087021488179101,-0.8263252899121625,-0.6898102416293561,-0.7345339498763492,-0.4591812660216332,-0.9216667723111261,-0.8702480834684495,2.0420325629349105,-0.8451874881568864,-0.8325881540145879,0.07736838541178091,-0.5653573919089154,-0.7666667802378382,3.1620372954292852,-0.7704476378184788,1.043411501372499
SIDM00100,-0.8437067783250869,-0.7666770384044632,-0.7601628724073333,-0.7992542120515297,-0.6500728833713886,-0.8012535027250951,-0.21484135343624206,-0.9021737581653588,-0.9122235600180677,-0.8729586044287528,-0.7998651864329562,-0.3864290091356,-0.8454134901930757,-0.808417771741832,1.5939809412622743,0.2149436013367447,-0.8458200952525394,1.2385279934120004,-0.7203313990619207,-0.8289485050362779,1.3584833816469433,-0.8900773128331828,0.847902402061225
SIDM00826,-0.7516192283957677,-0.6597253868177855,-0.8228489327167938,-0.6362985313410421,-0.79566080189374,-0.8251237351936352,-0.05267868594757732,-0.8863872426637753,-0.785077026401183,-0.616060473034302,-0.7063285239751131,-0.7799478781568684,-0.6350353598542235,-0.7583792351549542,1.7085934371663842,-0.5321147107918996,-0.8180328800285902,0.23207482133307603,-0.5669559400329295,-0.8340062885215468,2.7603540637331525,-0.5469149226265989,-0.014721435894423414
SIDM00310,-0.7310523296164859,-0.6300895560189547,-0.7945475391992894,-0.6617531351068161,-0.6145417613428867,-0.6311013353034216,0.8762042782212623,-0.9266159902693286,-0.7963151427396506,-0.8127516643766659,-0.7840670515502157,-0.05055226611108231,-0.8344781040850043,-0.8685938863739213,2.037446805000505,-0.8923874548085822,-0.8768318914249148,1.518707001757303,-0.6654006484156015,-0.7950216274811381,2.1018116346474405,-0.8170357179638047,-0.3595530280000229
SIDM00482,-0.590366706408342,-0.7597799285033908,-0.7521269738124554,-0.7153025187342139,-0.7673561450577195,-0.7104685144457021,-0.7587271527647774,-0.5283542721138005,-0.7777617183055109,-0.6046931629937651,-0.7226867264169143,-0.45950127731760876,-0.8785029257531695,-0.8709032078436874,2.311522090023218,-0.8058804101519219,-0.8403823969333587,0.6604791077509847,-0.5335686218455781,-0.7916614329562459,2.932177127512553,-0.7975141190722584,2.3955820155480305
SIDM01247,-0.45197800590363835,-0.7540833649613639,-0.717163175580429,-0.736332299143642,-0.8616216303378389,-0.7326600917974377,-0.826742095365696,-0.8728468489388326,-0.8184814628364055,-0.7431608477712577,-0.6557993298485737,-0.52301237025363,-0.8297057797291353,-0.8378072029565519,1.6538515961006863,-0.7832684335635226,-0.6874495248555337,1.1347625033936375,-0.524904913779257,-0.6510480398382454,3.2462866395889263,-0.6596797071385251,1.455188553470843
SIDM00817,-0.5336667530913937,-0.5058768997945552,-0.7670034389288807,1.6928902062828382,-0.8170979736381667,-0.7360645557208997,1.4945795322265891,-0.84836909882272,-0.819341001532504,-0.8069044208876861,-0.7793534063878788,-0.46417063501413497,-0.9450321264211017,-0.8078055424583748,2.5602296495432677,-0.7353784585521991,-0.7276249017254155,1.3313476794796677,-0.7046176864851778,-0.8775053940592986,2.5148772909591344,-0.8091024402143531,-0.25002094183624946
SIDM00448,-0.40178990971230627,-0.7795597894580351,-0.7971980787108758,-0.656098447020893,-0.8711275729286962,-0.689285097431634,0.6195767611803689,-0.8186762995353546,-0.848362965690915,-0.6608130948934171,-0.7721210598484892,0.012988039054895734,-0.8924448237027218,-0.8689326253485583,1.8559907360400019,-0.8239118061706322,-0.8923251572864696,0.7843473716625613,-0.5907650435132796,-0.7270950736470884,3.3615884771101654,-0.7212368030083028,1.9758475955396404
SIDM00086,-0.4729402093173003,-0.7247178372826023,-0.8518065619585283,2.048431302689761,-0.7863855422683746,-0.7327621863440079,0.6769691426002291,-0.6418934252785841,-0.871022286724439,-0.8169291697687624,-0.7939114473194924,-0.5849117090910524,-0.9234332982531577,-0.8301212575130431,2.2067269240191036,0.2661359888172769,-0.856650806775103,1.6841648354762018,-0.6866626763146111,-0.8559556152478759,2.521443934899004,-0.5905989951092266,0.5112136078517403
SIDM00466,-0.5880071403196998,-0.8106313815093812,-0.8530991948576023,-0.7003786297544078,-0.9546968326598796,-0.6547886063722742,1.5850833962310453,-0.8882153454820525,-0.7378951288570393,-0.8721627522723105,-0.7273996991740089,0.11854970447923277,-0.9006785169445408,-0.8307810906603386,1.5701501955047952,-0.8718261689835474,-0.8893355704574821,0.36810869023180687,-0.6345416123749673,-0.8220916143403592,1.9368004747018788,-0.12107887756291504,0.48157554462641283
SIDM01132,-0.4816344562313404,-0.7426923256150166,-0.8078080088198705,0.9116315833052309,-0.8335752516092635,-0.7867349800138774,-0.05513964283846213,-0.8835966011047792,-0.8912054182602902,-0.7206108893750921,-0.7726767307410478,-0.4593895925816366,-0.8876146823269657,-0.8321131865807259,1.956551401885576,-0.8138235343378324,-0.8292036650177655,-0.1039353374542018,-0.6168386369984428,-0.8239618178945645,3.20521046745525,-0.6264843487932272,1.5361674969495553
SIDM00465,-0.5317856646026754,-0.5513281481254347,-0.7936399252216795,-0.22332528556264605,-0.8887203837627986,-0.6087980400634803,0.9674958459084725,-0.8209481952701642,-0.8001554993258666,-0.8333112871315771,-0.7889421976137414,-0.4106379188997047,-0.8958405651931596,-0.8049535678118348,2.3246474162266395,-0.7660525129171329,-0.7578623439700322,0.965021555180527,-0.5565019577118249,-0.769618675695843,3.106710752059315,-0.7284548099048219,2.1835589382582037
SIDM00565,-0.6598855202169407,-0.7428105459779629,-0.8251858709360803,-0.74987761422621,-0.950854262818128,-0.6576649246913251,1.6217608691070315,-0.9025160635196565,-0.8427954474523833,-0.8789599263057392,-0.7660681695847908,-0.08151216611417943,-0.9449058154613387,-0.8862713087445638,2.0527032756458223,-0.8862453232869395,-0.8660022925244817,0.2691562678386255,-0.6345877320902896,-0.8411826331750973,1.925839745130372,-0.680801281952754,0.6452847868265298
SIDM01092,-0.2576021091512205,-0.7375385374328429,-0.7726200108727129,-0.7523979627966781,-0.8500536117963015,-0.643172277365157,-0.8206654636256928,-0.7395520872830381,-0.8338765932401793,-0.6284807181101388,-0.783312924188896,-0.3164567555992466,-1.0219968654525997,-0.8673282399096494,2.1021155757085404,-0.7530385642811669,-0.8353623471733849,0.6663255721826153,-0.6002515278000609,-0.8392263669542458,2.396438024614322,-0.8139255277481066,0.9976733515676222
SIDM00218,-0.5680093580166073,-0.758898910203003,-0.7336199342374141,0.3489895453608897,-0.582740482261036,-0.6791686172176287,-0.6926810947970657,-0.777041372076448,-0.8500529672243212,-0.9370933139523554,-0.7870718882697827,-0.3807735199791667,-0.8781941708979417,-0.8069032397086995,2.1522621000934703,1.0750690984056088,-0.8720918056800406,0.7404313720774325,-0.5506381128979247,-0.8095251219883892,2.4680842419218565,-0.7279856412516605,1.0095169465584022
SIDM00044,-0.6332355964665707,-0.8260627842810634,-0.7454825310867469,1.2106455062410575,-0.8322722699549493,-0.7719851167639709,-0.7520601322300501,-0.5741858538402543,-0.7989299550640675,-0.8977986570904748,-0.8033910488458197,-0.49759184345020646,-1.014158651811163,-0.8242941933678886,2.0476778166090677,0.8420736887264177,-0.8998600686144943,0.5866538942145522,-0.5404330966805888,-0.8130831821433533,1.7054760721309024,-0.6850240152287711,-0.002173920434129387
SIDM00362,-0.3671637958541606,-0.7913205651152655,-0.8141547482066966,-0.7210624359215443,-0.8063314979977285,-0.7005576752355215,-0.6843722103795576,-0.8540746458136264,-0.7857381899804112,-0.6644567625801295,-0.8055091320431721,-0.4572500026402047,-0.7587361944385564,-0.896270277328438,1.781337603413572,-0.8440327834925121,-0.7754609808358417,0.8225568422995224,-0.5907143610914865,-0.7348470556363755,2.7076962893465697,-0.631028596028781,-0.18448559512774781
SIDM00813,-0.5738237190123151,-0.8425228425583966,-0.823601040243043,-0.7818073430252555,-0.8975779456635706,-0.7554646793262166,0.5843515033334845,-0.8323485974561052,-0.8690769143148409,-0.5452424840867245,-0.6671034136140078,-0.4803853729378172,-0.8002156873165985,-0.9002860246883236,1.671469192384161,-0.7345582521492018,-0.8973296632343467,1.1468625884124137,-0.5005218106164669,-0.7914614813976362,3.127805355044316,-0.7312800753842856,1.8835355820568636
SIDM00364,-0.1952647090384062,-0.6920264249434347,-0.7610421097445148,-0.677953633939797,-0.8177851696171801,-0.6484763052550944,-0.7401162568516386,-0.7588865311577361,-0.911466476702622,-0.4652380781760033,-0.826632179404175,-0.1302615226357121,0.3312755326052876,-0.7890391250485159,2.1907235376700607,-0.7636392065566644,-0.8285081025255078,0.4154944175611925,-0.5644164009498517,-0.8163272492691748,2.5736460028830215,-0.7409961885191069,0.29069669817040245
SIDM00792,0.24352811031740917,-0.8142463503740196,-0.4355387863680555,-0.37905563941693105,-0.8326054570646793,-0.5997696545085329,-0.8241839081807064,-0.9191086527733483,-0.811666092218511,-0.6750692697452999,-0.3937238841060271,0.04558233634603784,1.7631267912245658,-0.8940868224988685,1.0831659016401771,-0.7526539140215549,-0.9155168824678308,0.03019825276465315,-0.5783440210772902,-0.5487858529986017,2.9022599663423567,-0.35734166605353823,0.47426648449115694
SIDM00241,-0.6947949467043179,-0.7811984237245164,-0.8200422391309838,0.4584764298899666,-0.7733078523652311,-0.3138899884422434,0.7587601648044133,-0.6120264485188237,-0.8320612508325584,-0.8265708601197624,-0.688016217262766,-0.35273760911640706,-0.3929046349422544,-0.8915770416749845,1.5576230788661223,-0.7771432561323554,-0.8865291093387613,-0.26298112779582106,-0.6552832611859662,-0.7930556301269122,2.6741269506947263,-0.6266381938444431,0.33579318803841696
SIDM00091,-0.6159776040042585,-0.8074744515403419,-0.813431340397992,2.2435289129038893,-0.8057208271869799,-0.7030268224308714,0.13102223061921262,-0.8508095633196024,-0.827587296494363,-0.8969192981744853,-0.853477732814757,0.030142624257188125,-0.7350487346825778,-0.8079818135128618,1.5606858960923666,-0.32067936703773314,-0.8959914703905519,0.7974934588671366,-0.4196789474919413,-0.755923150503072,2.1011121711486345,-0.5304511855571773,-0.05801582300961581
SIDM00427,-0.5791981190360096,-0.7530431212402479,-0.8491077463252962,-0.7655573970518934,-0.7098228884175214,-0.6813815759698439,-0.7830862936223991,-0.9017747764199396,-0.7867417341512428,-0.7155601182449611,-0.8145150449756124,-0.36838413548865,-0.9351531882856319,-0.831348096273065,2.1364705134347193,-0.6984908377564583,-0.895299966293451,0.5030612880371075,-0.565795978029308,-0.8165256202876008,3.2686137687631676,-0.4734916039063933,1.7596341685667498
SIDM00758,-0.610762965381495,-0.8111288293727094,-0.7964766499618237,-0.31286722069499184,-0.7977458820532529,-0.682676355409844,1.3163944831711736,1.5482037981653163,-0.7984134553455302,-0.8246556393028457,-0.7003179103483854,-0.005459922719780127,-0.9383535227776564,-0.7807726352079188,2.53452549271662,-0.8465169809795243,-0.8438301679028923,0.3900048811581237,-0.6209908869924666,-0.18135649425894979,3.5543668701044533,-0.6046952699146978,0.9164588533487267
SIDM00612,-0.8565537879571252,-0.7946312454202021,-0.8119950277838218,1.7061582345294952,-0.8440231312111028,-0.744674761026833,-0.7409553373460015,-0.6144303092550616,-0.8829748046023376,-0.8217393804243693,-0.7925032003874946,-0.1524790446158009,-0.9879446962909358,-0.9224801973479333,1.7526738462504607,-0.04332276150725523,-0.8967245394936035,0.8472272088529592,-0.5841294185041965,-0.8083940040272118,0.8362493982093524,-0.7691125007669933,-0.5686524773060493
SIDM00553,-0.5671383167713403,-0.7347866555491586,-0.8103916512191582,-0.6978519430828243,-0.8229667034138656,-0.7373995562288549,1.357388461670078,-0.6665209780652107,-0.8959819107936796,-0.6280255564427626,-0.7520415604396836,0.21872305670347142,0.24305465256934478,-0.8179497397066092,2.2404593377619113,-0.8167057556018105,-0.7921803948228765,0.6072548720678379,-0.5651286869866079,-0.4510366987605962,2.0490994919052485,-0.7755799211505334,-0.29066290327924077
SIDM00343,-0.7106563503665088,-0.4108857710730818,-0.8271132184222519,0.1390302526257304,-0.8598988729378013,-0.7830124090088165,-0.8220744060795705,-0.7620568645921937,-0.8432928213564104,-0.8232301397918953,-0.8609379678911273,-0.3922959219316646,-0.296027784124208,-0.899646888927903,2.066585182855335,0.39349480670614434,-0.9158055031202215,0.6107155117171378,-0.6436184801662093,-0.8488030672981643,2.1387445437564394,-0.8148168839647763,0.3228478673636842
SIDM00543,-0.5627583167773749,-0.5771266516076764,-0.8059463015729826,-0.7676049873628613,-0.47470830045511164,-0.5101267774098971,-0.7822677574531318,-0.6684350767782826,-0.7901456197474204,-0.8058517528659046,-0.8390517250881111,-0.6772889221752076,1.1027482170211045,2.144934391382933,2.2730409039927824,-0.793133998291401,-0.7936864022064688,0.4503919951079657,-0.4062616920232989,-0.8851106879678141,2.6923767918078374,-0.849686903704403,0.6798762942752139
