,HLA-DOA,HLA-DOB,CD80,CD86,CD28,IFNA5,IFNA4,IFNA2,TSHR,TSHB,HLA-C,HLA-B,HLA-DMB,HLA-A,HLA-G,TG,CGA,IFNA21,IFNA6,IFNA7,PRF1,IFNA8,IFNA10,IFNA14,GZMB,IFNA16,TPO,IL10,CTLA4,HLA-DRB5,HLA-F,HLA-E,IL2,CD40LG,HLA-DPA1,CD40,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,FAS,FASLG,IL4,IL5,HLA-DRB1,HLA-DRA
SIDM00098,-0.827024979593289,-0.8905966486861764,-0.8947731165172591,-0.8399995183972528,-0.8799639392746245,-0.884685515349246,-0.8245711665358659,-0.8942936289127853,-0.8128497211594817,-0.5626323721138362,-0.0035290898125284725,3.0715548086275395,-0.5865601925332562,0.5482084368787595,-0.7400177897951135,-0.9577738556629505,-0.6087369241895325,-0.8438585478718699,-0.9341239729996413,-0.8054058148156887,-0.834443631207582,-0.7143201744437794,-0.9570439206862753,-0.7334205565196956,-0.914027498289561,-0.8165301679139949,-0.737819228916319,-0.7903674943226788,-0.8346821020993417,-0.9467289163968523,-0.6072772798453436,1.9024966490062833,-0.9819518124774925,-0.7799837041284752,-0.6630284236791765,-0.6963768319261092,-0.7731565727264909,-0.6996106600512483,-0.7867141125858624,-0.7659517783804939,-0.41672124723452836,-0.864700137121215,-0.8836438598625841,-0.7941992238171479,-0.3787225790915622,-0.7401867983396774
SIDM00225,-0.8573120958481689,-0.896975281051048,-0.8772945300085386,-0.851323558771163,-0.9184179609058011,-0.8276328291773467,-0.8620489137024312,-1.0142914176836204,-0.9080779713371582,-0.807382587095869,-0.2347904215478472,1.2145539992937366,-0.5133053817272143,0.039611274974710446,-0.796926495475292,-0.9025472399408762,-0.6695061442344917,-0.7998790538831058,-0.9015255845286981,-0.8372391720411018,-0.8704983225755293,-0.8222469894970167,-0.9789200934044687,-0.7827975209005772,-0.8156644946917911,-1.0117346618124126,-0.8223413431879142,-0.7872423614524849,-0.828218099775985,-0.8878933160869023,-0.8174796338351962,0.738850565717879,-0.8796393943663432,-0.8181112068453431,-0.5605064293166352,-0.7297009407472806,-0.6437245519187396,-0.785122849708839,-0.7963305575890531,-0.7700768941691026,-0.26146370820201226,-0.7954235918953625,-0.9399443161763985,-0.9075823257424676,-0.4372289474218245,-0.7670464928725623
SIDM00846,-0.7723679237222216,-0.9177039104515265,-0.8385061473213489,-0.85367080474083,-0.9280478532644819,-0.9425127606549263,-0.729386793182282,-0.9411776445981943,-0.9180608676492137,-0.6809894092612825,0.1235384343976811,3.154307835196011,-0.5767724904081722,0.5514129268823107,-0.7042234495015386,-0.8969187218068719,2.692168370816454,-0.787788607365234,-0.918566692133168,-0.874521836705181,-0.8768710878974353,-0.6724175551385622,-0.919258847083541,-0.7420748407482185,-0.8647670243781712,-0.9687515402281069,-0.8506346839790295,-0.9205060673615564,-0.8841353902847191,-1.0032218252754408,-0.07371642317621452,1.222009346151226,-0.8460264991528923,-0.7891083458842173,-0.49986848660483363,-0.666486758257714,-0.7217268455895463,-0.8366690332538627,-0.7970568493275144,-0.7919555073165746,0.8286243553035648,-0.7165854572955465,-0.8217010089976022,-0.7663684294922023,-0.30348135906085394,-0.5108336012509387
SIDM00291,-0.7555327635249518,-0.9651243155595305,-0.9192337925825597,-0.8599009510309369,-0.9268808233926717,-0.9819718587856404,-0.7112506478745327,-0.8916270923437792,-0.8474893732276809,-0.8243834237474124,0.5013601495436072,2.737720212347176,-0.1594614923930281,0.17564135563587555,-0.7625961260012608,-0.8759649277058618,-0.6980243744327527,-0.8470644003986538,-0.7560565795420342,-0.8224052147330729,-0.742116182990647,-0.5692897035649223,-0.9959196976144084,-0.5800695907605001,-0.8550982718002346,-0.9942052360128946,-0.7444109654668667,-0.8717007893949416,-0.10804610480746381,-0.11726977893918603,-0.15888105296910535,1.7965397121519067,-0.8727529329757864,-0.7921230788018265,0.9601841380469424,-0.65389286044965,-0.5464811445517659,-0.803661787735858,-0.8306296617521467,-0.702789826160302,-0.4967366967231866,-0.8291538935881163,-0.8625015927107266,-0.6400204990655195,0.005634127767187163,-0.1161485191118744
SIDM00520,-0.798349768649226,-0.9721119229792833,-0.8590527581866416,-0.8848664131146479,-0.9382982370901265,-0.9758824039944606,-0.9403501166404861,-0.9116850590509845,-0.8532358483610297,-0.7315171884567606,0.8671598119394239,3.473008264600067,-0.6358949567841463,0.4815296478723945,-0.6797558796961434,-0.9270938167550286,-0.49483233766978296,-0.8146701888572244,-0.8536041365661048,-0.9112619830946528,-0.8121918074234947,-0.5409959953023685,-0.9607170690702698,-0.701116402953213,-0.8990112071533972,-1.0105086852405287,-0.8536502038946486,-0.90549514453863,-0.8963259378431605,-0.8933978145011346,0.10290410376549926,2.1496978481773112,-0.8476686114678993,-0.8336134795719125,-0.6377297059213544,0.7670956383709292,-0.8135510573477684,-0.8416518672682294,-0.7459405138978616,-0.8736142341397525,1.1313298678572885,-0.7597053140588831,-0.8990816637865423,-0.868206398942848,-0.09622622792271796,-0.8985903628365964
SIDM00003,-0.8295533481060443,-0.9394863332426355,-0.856173068687665,-0.8597006766501402,-0.9160432588293327,-0.8778398459762115,-0.7741017080456127,-0.9862881231217997,-0.8657186861886337,-0.6784421662090637,0.24663619250614793,1.6001301138414346,-0.3517618065361384,0.2706593871737681,-0.7144169631911058,-0.8328743810751473,-0.6328277618587397,-0.8331530720443475,-0.8057440157288667,-0.8438948237410545,-0.8208379209158054,-0.7314209037655689,-0.9969465322170028,-0.6414758345702911,-0.8640025465549489,-1.1175973648806867,-0.836556829324355,-0.7720307348000687,-0.6926990930468826,-0.9432442458561048,-0.25642997378939014,1.410714404507322,-0.9312892607380132,-0.7942145247056666,0.654894453964464,0.8555453549862794,-0.6790991248888133,-0.8174521485667815,-0.7314647760685744,-0.7212728650662709,-0.568190955113868,-0.8502027395106462,-0.7944211845711513,-0.8523718059970288,-0.3425296798455898,0.6950036521100194
SIDM00136,-0.7452827747268369,-0.8744780990635425,-0.9031602735307753,-0.8225841336267938,-0.9365081561112746,-1.0500724080688584,-0.9053015534640853,-0.9889010120482079,-0.9088727636881699,-0.8140952070947604,0.08793189906406325,1.4388015150582185,-0.38937665334439236,0.4076261079768074,-0.7961218294776364,-0.9535177219319227,-0.8243067051044186,-0.8385537171468975,-0.9493185911692434,-0.866355981601001,-0.7850131987979313,-0.6352013401166816,-0.9150702816813969,-0.6259390299294431,-0.7634747948419078,-0.9536016506969934,-0.3999951972248594,-0.8903939125098406,-0.8988048750338193,-0.8369627107394451,-0.7083954101346079,1.6957197325887705,-0.8481056178282579,-0.8262377790325739,-0.6455122701432152,-0.5570833172500466,-0.7977165253571077,-0.8590979317718883,-0.7411906746771916,-0.7988756576317981,-0.6306704961687484,-0.8471769602045377,-0.9558454812157342,-0.7754541310470995,-0.023434356593552787,-0.9556662774353608
SIDM01155,-0.8252098283458035,-0.8072151251466538,-0.8543459373078899,-0.8334327281829922,-0.9541882539983616,-1.0121883400980611,-0.7656881461566385,-0.9167289984228641,-0.9303685353796095,-0.8368909670756242,2.1495018582236187,3.1642524099150964,-0.5390238418245424,0.6582420162796861,-0.74573903849803,-0.8744676744845992,-0.6507793032006236,-0.7867874457842801,-0.8941393750636677,-0.8799932600667147,-0.7797031039188408,-0.6990581253781165,-0.959699726952045,-0.7005492341744882,-0.9241991778578599,-1.0043437475386772,-0.759695522762883,-0.8718598653148264,-0.8935550415237067,-1.0272438679839013,-0.36999718213553595,0.6019245439462528,-0.9101118170596568,-0.8504188038318066,1.0391660052574836,0.7542326309796366,-0.4133020880682301,-0.8747703876296736,-0.8813487493596951,-0.8049126115943926,-1.0232244197292757,-0.7965778299380215,-0.893900079035158,-0.7560002587734366,-0.22962218518521352,-0.046761039909577036
SIDM00224,-0.737652806830571,-0.8874325362808944,-0.883679964772945,-0.911969680505029,-0.9212214114760172,-0.9266611652088087,-0.8573098674696185,-0.9597822649721626,-0.8938937264480821,-0.6633983322750839,2.086379869191447,3.415916192824434,-0.7021260873881315,0.6726763247934171,-0.7002755201253883,-0.8681035333658187,-0.5226041829923534,-0.8642441398565199,-0.8280737234778847,-0.8278471718988557,-0.8014616106666375,-0.765400522458386,-1.003138675246842,-0.5215653166655784,-0.8393132968189124,-1.0073070412999678,-0.8096973218546205,-0.8095167554940064,-0.8752370918851778,-1.0230511734681489,-0.14449494070970167,1.7762605022252713,-0.9341532098611827,-0.8548961587792742,-0.6582117462786343,-0.6494430977012039,-0.8191994350094725,-0.8981679399784823,-0.7268322595866971,-0.8298726597837133,-0.15024640294877334,-0.797834811976372,-0.9286299053454701,-0.9100329767016645,-0.5357880556281073,-0.8622581586003355
SIDM00783,-0.6860863383205477,-0.958619429745816,-0.8707692015055997,-0.8953363526103463,-0.906030402632658,-0.9387239885862151,-0.956507814251128,-1.0089899580331863,-0.9000567242200723,-0.7237320944575439,1.7451216886072525,2.9344490878424914,-0.39971613082875834,0.4614022597025142,-0.6971688795786812,-0.8230893791247639,-0.6450280079527445,-0.8373389815110182,-0.9428188069308524,-0.9391159924390949,-0.394293428634382,-0.6486162136884059,-1.048693486486613,-0.7591186966376069,-0.8115502678429187,-0.8824122094610005,-0.7851691381077591,-0.9589297371828469,-0.9088575508546377,-0.905461941412689,-0.345160648838529,1.5772609475886787,-0.8934675332924016,-0.794168655393868,0.04245657689177386,1.108208997378764,-0.6235715690423771,-0.8097473654936757,-0.8470765516895329,-0.8319366779274338,0.6180038462216729,-0.8148984270013606,-0.8469702905396629,-0.7315525148498814,-0.2808976289391754,-0.06015892864132424
SIDM00490,-0.7799083569174845,-0.8880336223801536,-0.8995131890830683,-0.8555612283111838,-0.970277545036087,-0.9074281451675107,-0.8185802207113513,-0.9122518159264676,-0.8618229668312074,-0.6303029227196979,0.9230985882729639,3.616357831950202,-0.580655920505011,1.0998823250503516,-0.5696227772387858,-0.8210845220997717,-0.7318730178612486,-0.8906899635439369,-0.8865314038974579,-0.9227068714358694,-0.8267860743757869,-0.519544633308541,-0.9578693402359668,-0.5077034565423244,-0.8690788308414398,-0.9919771643333907,-0.8331105545825478,-0.8356574875800153,-0.8634016016723811,-0.8883702992440372,-0.32768123509292285,1.9454629402394694,-0.9457490045069119,-0.8118090014615792,-0.1203386900023758,-0.689022542977881,-0.7256430368540114,-0.8743520887738397,-0.7180274129881768,-0.8256132296593228,0.0075980564201246275,-0.871600759869741,-0.9025270360764418,-0.770200269322026,-0.16433720034992338,0.4774081735455946
SIDM01090,-0.7349522372813686,-0.7704658157288916,-0.8957945364495751,-0.8541330893478738,-0.9282804657240751,-1.0144688800179054,-0.6325372472960888,-0.9006710147022491,-0.862696571011075,-0.8917351815988529,1.9916357006480745,2.7407935965279115,-0.6036541156210926,0.6186214165731175,-0.684352048581102,-0.8245001832434857,-0.7087424313125182,-0.8491667893723731,-0.7489605858168916,-0.9679813002688397,-0.7695117218558571,-0.7570551695091201,-0.9147312690559062,-0.414138197393491,-0.7484074598231703,-1.0310295215538423,-0.8258547059289872,-0.8476362731878397,-0.911870844350139,-0.8443623371969429,-0.4263014885096147,1.6804038483263561,-0.7953455779642176,-0.7728224419331574,-0.6340753075482962,1.2015312760771113,-0.7860186961254675,-0.858778537818369,-0.8316323439362338,-0.7836123054032577,0.9059549594248768,-0.7053740822390355,-0.8900638295617933,-0.8261464469076806,-0.16931798794572395,-0.9517663233004922
SIDM00394,-0.6990674591495428,-0.909685958302723,-0.8290903311100885,-0.8475396222875815,-0.8936692349356656,-0.9541721520623552,-0.9203625993561356,-0.8548703269580128,-0.8902912456407115,-0.8167061573108283,0.9510778736031558,1.464058129369989,-0.43746568047598994,0.23690038470389035,-0.6885363157336283,-0.8250484301257544,0.5903209476793052,-0.9151645951159537,-0.8772430413984107,-0.854236206969616,-0.7632760393186325,-0.6653357727934721,-0.9279222328698724,-0.708650655304794,-0.688758997769729,-0.9359666577434331,-0.6287154873644948,-0.9027004153928398,-0.8725613507456204,-0.8901601871449293,-0.7418932871831135,1.3278462369481054,-0.8951967471857183,-0.8150295999712873,-0.6563886850404492,-0.5350437596339976,-0.7608662816905347,-0.8872487344734631,-0.7711771026562788,-0.6736203653636816,0.9967983632731847,-0.7671322086898896,-0.9226191115126484,-0.7671430096781584,-0.4317393248139743,-0.8946089471770723
SIDM00538,-0.7698577012615102,-0.7887256632478368,-0.7762727956422547,-0.7832324658160001,-0.859594675961833,-0.955500625822336,-0.8396995262080869,-0.96671242865862,-0.8907243131675386,-0.6392729563775189,0.23377187551916281,3.4002091783915325,-0.39259426470848047,0.7202052301466906,-0.6484911955196166,-0.8772932342124315,-0.700641420119267,-0.7013531651086252,-0.9126650297396096,-0.8402073725922145,-0.7569529642837701,-0.6458467924238478,-1.0475710717568738,-0.5258043480941745,-0.7901195790457458,-0.773627831668256,-0.8071675977895073,-0.7642094170160839,-0.8419483671678432,-0.8961911313149796,-0.7435744887459339,2.1620426018195866,-0.8821523684587591,-0.8148969086635034,-0.6033552049628774,-0.5054264638277406,-0.8233296014234861,-0.770938331249165,-0.7028997561280969,-0.7412064383802496,0.6390291660236079,-0.8598702703564902,-0.9638078634653627,-0.636348614474824,-0.23083171914598608,-0.8216979480692422
SIDM01140,-0.5203569246202604,-0.8672372490686435,-0.8991255609329952,-0.8821291218779834,-0.9070151841946036,-1.0131421596242782,-1.02402558357914,-0.9166978317323233,-0.9144912250688473,-0.7781785087431654,0.9165377943831085,1.3119762497101226,-0.026663657439577288,-0.2398170824601245,-0.7720505170843693,-0.8974904938236421,-0.658492112274619,-0.8423034067221629,-0.9781608940729261,-0.873628984753857,-0.7357021317110588,-0.8290729668491277,-0.8595550746011534,-0.6940240555471112,-0.8610913335475052,-0.9570334059392617,-0.7531447675834765,-0.9259077364720367,-0.8780164716412892,-0.9992879829709702,-0.7510194485940835,0.6869359738239063,-0.8610645631071274,-0.8347482309580554,-0.15539159373492709,-0.5825296957532389,-0.5931915027550568,-0.8946200618127794,-0.7627712345908543,-0.6768462037523951,0.04339543814021677,-0.8266042042762742,-0.9179158683646885,-0.8266441931358279,-0.2652275407401024,-0.7952472091036379
SIDM00101,-0.7692209441593759,-0.9218210562765045,-0.9027998289937974,-0.8809681808853133,-0.9674273156905573,-0.9956740920791254,-0.9613966570011679,-0.9261568113412318,-0.8934651399651793,-0.7989884459806019,0.8763867666858514,3.3945608418800597,-0.6734465334194422,0.7935678952544368,-0.6859301463724222,-0.7829718083974331,-0.7286623310457354,-0.8112214215287953,-0.877150271598097,-0.8937562350136617,-0.896993555480353,-0.760649061064286,-0.9729445289674555,-0.820084080981038,-0.8419849737689244,-0.9968955179341858,-0.8085557804015522,-0.8924327564438085,-0.9485992859795032,-0.9130408224127253,-0.042581864531937956,2.1550500730072506,-0.8817274357507345,-0.8820802773894003,-0.4559780098159305,0.8997741337591754,-0.7778964875250455,-0.8904524762170728,-0.760965015670746,-0.7667081128723267,1.0286925889717753,-0.8585316000025888,-1.0023002901398896,-0.7599860178194926,-0.41671391198200175,-0.9254350603277247
SIDM00114,-0.7514578252001172,-0.8377067712207868,-0.8906960358987597,-0.8729205949423473,-0.8911492177077105,-0.9461352376118786,-0.8646656312315482,-0.9672918993332846,-0.8731145822220453,-0.8807058766278234,-0.21079597151269805,2.495518119031699,-0.7671666765025381,0.16053657285043335,-0.7735524463534137,-0.8717014084671916,-0.3645080680755512,-0.910951155070456,-0.8257664084071638,-0.9397282541219576,-0.8123222956183157,-0.707650337520116,-0.8559280829825286,-0.55902101757563,-0.9030275701682156,-0.9876351119075775,-0.7979957826852823,-0.7666470371071101,-0.8909689279917995,-0.9655021248687174,-0.7527274322672911,1.2174050993238974,-0.993867681384145,-0.8804761811379594,-0.5935776702291861,0.6442450728096246,-0.8079112300662442,-0.8812795652479206,-0.847815677340032,-0.75648946268794,-0.3008695339579977,-0.8230681213202508,-0.934168119315965,-0.8177281053194235,-0.6137883587627097,-0.817421690178756
SIDM00102,-0.7715620568414828,-0.931385178351642,-0.9003492404116125,-0.8294105098345478,-0.9412358659380281,-0.9265163727262399,-0.841540729485861,-0.9316704341277696,-0.8694480963303115,-0.8081218448016533,1.4071072426006104,3.119972300852977,-0.5089421922826218,0.6836262993856099,-0.6471317077739012,-0.8738503204309105,-0.6382951005720204,-0.879240641993381,-0.8993506268761151,-0.9664491335411529,-0.8412514327671132,-0.4786145723692484,-0.8833227541165682,-0.6392916432900054,-0.865543048736171,-0.9524284870365426,-0.8776570386523281,-0.9208346013245311,-0.8850098673728206,-1.0255615038184,-0.4563645998265262,1.8910571653498847,-0.9452138388526511,-0.8878707517315353,-0.5597683048624338,0.9154383912225758,-0.8117447861497863,-0.8472637129874543,-0.6854534803287822,-0.7607052146069083,0.22198521362920323,-0.7244216680174468,-0.9235101129839232,-0.8380367282546789,-0.5015763144893722,-0.8776678388893152
SIDM01122,-0.8095852596839705,-0.9007339070158585,-0.9238144348119002,-0.9007784920823991,-0.9725266919297791,-0.9728832015436698,-0.9008678490942098,-0.9068888417158881,-0.8707462271501002,-0.8389393784053183,1.7188855106407805,1.4143174660711197,-0.41751246085888183,-0.35343480597111726,-0.8299201478049256,-0.9471989747880875,-0.6137437679789586,-0.8187568496863902,-0.8354138998602969,-0.8174992105870653,-0.9047240821737581,-0.8485836234886911,-0.8530524772037027,-0.5237571785140138,-0.93246850248282,-1.0483315623379732,-0.8389486369693457,-0.8958525389847568,-0.9607337874499217,-0.8944962209909477,-0.6826958323997494,0.8127938300135711,-0.9476008910053548,-0.8439244550354582,-0.6495374015008992,1.2273013600114604,-0.8422757205462151,-0.9855932590699589,-0.7595936407563051,-0.8218520376453026,-0.6411775652099319,-0.7903778204994052,-0.8371342700091676,-0.7916291695776925,-0.5263605528473317,-0.8495030903321776
