,ENPP2,PAFAH1B1,LPCAT1,PLA2G3,ENPP6,LPCAT4,PLA2G4E,CHPT1,AGPS,PLA2G6,PAFAH1B3,PLA2G2E,PLA2G10,PAFAH2,PLA2G2A,PLA2G4A,PLA2G5,PLA2G12B,PLA2G7,PLA2G2F,PLA2G2C,PAFAH1B2,PLA2G2D,LPCAT2,PLD1,PLA2G12A,PLD2,PLA2G1B
SIDM00098,-0.62052074241412,1.4580955813624394,1.1197572400496878,-0.4327627086815372,-0.7679642157098482,-0.15809292995457647,-0.8245711665358659,2.108882456065178,0.997476839976642,-0.7388703701419148,1.5154415024362058,-0.7839241641631,-1.0871006981609643,-0.444095314059285,-0.748455838038939,-0.8461483251205488,-0.9427248075776667,-0.8538109541300412,-0.8544903276200836,-0.9278092763705941,-0.9814065845386527,0.19586974198168686,-0.8436667260346651,-0.6530641245501806,-0.24978198195355786,0.6844580076900222,-0.5310873289101297,-0.8012019688903468
SIDM00225,0.7349728411163658,1.4019188831899798,1.32369315295471,-0.5107383526608319,-0.6219223114157756,-0.08129941392075464,-0.7226092096174905,2.23446442359047,0.9397433546405531,-0.6873597157993989,1.9210443555518895,-0.7675949619709778,-1.0111065892788806,-0.49377565474774576,-0.8386697252131378,0.8065033107138745,-0.9752950368294752,-0.8226724429240099,-0.5649998947323617,-0.9681057710880799,-0.8335108253582239,0.4620708142258368,-0.8118774403015748,1.3431138248986607,0.014857881631695588,0.9254401398196097,-0.5291692967237279,-0.8670791429835091
SIDM00846,-0.9048944988842087,1.4068527478900088,2.3744396742064553,-0.3813968856820857,-0.8278706014527359,0.2847509135875535,-0.7131397259764181,1.9492524836914005,1.0654973981293767,-0.7816542294981876,1.5238622900258398,-0.8744694081357975,-0.9899846097891369,-0.5698845173385895,-0.8232823067747475,2.064303042368972,-0.9531391601696687,-0.9406969527897403,-0.8024341088645596,-0.9024437719216116,-0.956815252158209,0.11942732732632853,-0.7976010874560583,-0.46837342377435853,1.0438393488639033,1.187875792704406,-0.441121871955784,-0.761113157610197
SIDM00291,-0.8073291457341488,1.444911665656862,1.5235095480646643,-0.6873500714250705,-0.7935345900672095,0.2543129307355439,-0.5551675647266747,2.208278908051353,1.1351071012361909,-0.015695636071887897,1.6819363199908266,-0.9499028499612642,-1.1417963190131593,0.25387045824886373,-0.8232476869827247,0.37134718038988623,-0.9671835437345087,-0.8309182888233402,-0.8805412462492654,-0.9283228400248459,-0.8371558865246347,0.2670052140353692,-0.8234519930150102,-0.8607603571814524,0.6530063624917466,1.195677450228499,-0.4577549414095905,-0.9035607154909414
SIDM00520,-0.8009373416090809,1.525603706584478,0.9420648750252615,-0.7413411603559545,-0.8203192660243258,-0.10306362733960801,-0.821824842136607,2.1259530379849627,0.6308304330956415,-0.7274458808266349,1.4077491747031516,-0.9094547102145977,-1.0375801544731205,-0.4985120818257617,-0.8797009249517419,-0.3956605173104304,-0.9825246428688641,-0.8422725639743952,-0.9520837767440108,-0.98972983744609,-0.881939140019234,0.33148757845026,-0.7841017733657656,0.04328926381543481,0.1297970988465772,0.8719026239682491,-0.5796319551231145,-0.8972140828327455
SIDM00003,0.659646407329572,1.673907120211997,1.6395652266079115,-0.6478347982189168,-0.7093551077373751,-0.20545444275376026,-0.7579881970177896,2.3510893370183257,0.6912830489520546,-0.4925544208544801,1.9970069392656236,-0.7736663723673737,-0.8933843228111797,-0.3717416711326668,-0.8255449296474587,0.8310330837124218,-0.9491262015230418,-0.8441134917163412,-0.8800870242125894,-1.0208270798933492,-0.8045638972250524,0.2562908256357884,-0.8430938585343215,1.2381214282775788,0.3212049846943847,0.5725322033176996,-0.3957938056134486,-0.8496842019545243
SIDM00136,-0.2805078570786804,1.2408347870960057,1.9067780199323643,-0.6016758260323807,-0.8671845541601251,0.6038918746248351,-0.6180295608149703,1.9227435232832453,0.5698516382487107,-0.6767755927882515,1.946088566825456,-0.8119929365491121,-0.7349368571000683,-0.27780758345999124,-0.8380025966354948,0.6239122274351467,-1.042394045696804,-0.8659589346573356,-0.8462202863842083,-0.9413404107052342,-0.7880321092251157,0.5382227502414199,-0.8506406495178293,0.7240141806051881,0.5625288042141836,1.132922930427709,-0.5357623359190068,-0.9169335595317961
SIDM01155,1.3830168174561022,1.4198683293433891,1.784704119896179,-0.5474152834148356,-0.8279312538586389,-0.11258234232341943,-0.8352021581165135,1.8941641404071108,0.7322323791297549,-0.7832805398114625,1.577128692987313,-0.8188107314074147,-0.8962205203428811,-0.3773914965712683,-0.8784767567699202,-0.08970931034808503,-0.8929324201591617,-0.8117262747397723,-0.846804810962636,-0.981464193939513,-0.8364247164556501,0.17867949329063507,-0.8673102920738888,-0.14667052744653505,-0.20050230923894696,0.9265772884003287,-0.58126434043499,-0.9312110826548575
SIDM00224,0.7890131233944779,1.4535782023433017,1.9490094928965345,-0.6997223890683958,-0.7787860294143073,-0.13035458427087443,-0.7093978065023095,1.585086087249098,0.8247370108226467,-0.7359729701264138,1.7073239794161141,-0.6923465585417449,-0.984684913209501,-0.48828394754033294,-0.8845155888873327,-0.6786487754194935,-0.8813941416658228,-0.8036530973938163,-0.9461970061881527,-0.9310154040419262,-0.8998485828283898,0.23054256657780217,-0.8391166160151639,-0.528906555495373,0.22248770486731514,1.4128560235678793,-0.4185078655631229,-0.7653928505968857
SIDM00783,-0.8453605262261717,1.4147172938050054,1.6800636535565228,-0.6152440013775904,-0.8360839204824396,0.27004037037056644,-0.8480333311452135,1.1798498783785327,0.8739700166344497,-0.6993671102436984,1.728079739859035,-0.8253666084778142,-0.3816986354264352,-0.38044246248048874,-0.8734662308081352,0.20158746443439385,-0.8465685488017529,-0.8549937064219824,-0.49659954483453556,-1.0474302959027546,-0.7984980142187731,0.4867320799943245,-0.7891284836543937,-0.21042200692395546,-0.31331727720498936,1.4390864259523546,-0.38747204966742055,-0.8997502661766061
SIDM00490,1.9896712294388128,1.4075126702622534,2.2504603038770323,-0.7657930554401081,-0.8546999039836721,0.0158686341207184,-0.7686948131179108,1.8585552213867995,0.9394259009494845,-0.7444220493474811,1.1991678691864005,-0.8297478136317957,-1.0624301932006441,0.07624549418753823,-0.8445168111475426,0.15669029010860694,-0.9730812197041561,-0.8635751744481767,-0.8861005496559247,-0.9336998103708992,-0.9162212579853332,0.022165902653547252,-0.8465516733919415,-0.7361571378426247,-0.10462359224741558,0.6310508971621592,-0.33341543705795307,-0.8735908234140303
SIDM01090,-0.8693153989385421,1.1555594304535526,1.924411343912379,-0.5855325561437975,-0.8758369896870463,0.17452074399582967,-0.83062215345297,1.737141212067318,0.5632713163250639,-0.6888388872814615,1.587971352125068,-0.775198210171579,-0.8433565122500754,-0.32343419685941305,-0.8931042667500999,-0.5071956590232316,-0.9580752401355658,-0.895588532107646,-0.8441949566996482,-0.9443216307176319,-0.7315255711369307,0.3112578178478416,-0.771102041926206,-0.19011080440060382,-0.6377763489444455,0.7127602485500617,-0.40042388522559086,-0.9450575397511537
SIDM00394,-0.845551111161299,1.2319278505116462,1.767647499473181,-0.6281335056358054,-0.9507396688622862,0.14826325746934393,-0.7937130738153659,1.2923562889481883,1.660606457592768,-0.7377732681739465,1.7529913559484112,-0.7327459220306042,-0.7923733660069348,-0.7338089932969548,-0.8587640611022471,-0.6293996209831199,-0.9093439074409555,-0.889843452203783,-0.7397353858323974,-0.9050864691121351,-0.8291519242523792,0.19936073848043676,-0.7095746459059831,-0.8355471661425395,0.5055859478702147,1.3039467392047417,-0.3816931394267355,-0.9094198885812115
SIDM00538,-0.7361616181243739,1.2188755912149523,1.8221822365152975,-0.6991976306057271,-0.7587347969097104,0.5152647869731503,-0.7484143468404287,1.6163828513433398,0.8446529034415082,-0.7159459579715288,1.7451349162416558,-0.7632722261082373,-0.9374107841328472,-0.6213994847974558,-0.8418075118514236,-0.22813950957443518,-0.8654155947086644,-0.9387384924829898,-0.7218192984667501,-0.8501547938004184,-0.6586231928762789,0.19021563002837674,-0.7436084881321289,-0.39744428068595,0.30264474497018523,1.076193563508298,-0.35350248947830687,-0.880547828721938
SIDM01140,-0.2647661871848449,1.412786569161193,1.8489987871836673,0.8796419540524795,-0.8564472103720749,0.2613180248314839,-0.8719970872032563,1.8077092411148965,0.9597170089102494,-0.7705839325780166,1.9041364258654445,-0.8445083986662368,-0.9461705386841497,-0.4501092111463127,-0.8848454325619082,-0.5180585386796569,-0.9099693017379815,-0.8535636125416554,-0.9883160499341689,-1.0883373896148127,-0.8530373164942661,0.1703837054438885,-0.8743021239119577,-0.700872780813046,0.0031051246369716446,1.1367521212997378,-0.4030935781254157,-0.8622236061645338
SIDM00101,-0.8520329926364604,1.1297359115292418,1.854329404616283,-0.6716236165483223,-0.809830319037281,-0.45473149770993265,-0.8501105798253216,2.096679471172516,0.925830878269538,-0.7184418050035271,1.662554702045981,-0.8267396060711432,-0.6146675226430114,-0.6606832279600715,-0.8925532312563326,-0.8862084974976618,-1.0327064734821911,-1.02395973208564,-0.915543767478349,-1.0019297152828375,-0.8652584657795496,0.23051306867722895,-0.8286328748969243,-0.0794987370037636,-0.18787675896940217,1.5806438771496905,-0.6294779132390728,-0.9332494792865859
SIDM00114,-0.8665458542147316,1.18566346285715,1.440340661819367,-0.7166456825542264,-0.8888522025013229,-0.06767597903112796,-0.837275309085835,0.947031515077415,0.40818422385815784,-0.7514217759267084,1.9461927459204151,-0.7925772867749955,-0.6310044508358704,-0.2097079791215153,-0.94711581162325,-1.0586795910278033,-0.9240820195400253,-0.9078305337954093,-0.5798565260429329,-0.9388078035844264,-0.8810660866799181,0.35374901662008007,-0.8207323581238771,0.10631491878315516,-0.19157189198119637,1.2657011316603455,-0.5405874318722401,-0.9279727006839891
SIDM00102,-0.5356623281408814,1.3274540729227966,2.162425956134103,-0.7072648869188958,-0.8883681873633953,0.08981279519444903,-0.896742958477859,2.3177254708282717,0.9708471819262809,-0.6558610146500187,1.3313347198508463,-0.7869654418842351,-0.9748178773990452,-0.6467370628671089,-0.8761527648106313,-0.2603661384555167,-0.9915348777486628,-0.767492425708674,-0.8784920054047854,-1.0177031724837307,-0.8334400505920826,0.08793492111818857,-0.8294395093534148,-0.17762216325923547,0.39182115760165703,0.734991794306613,-0.45423883542233784,-0.8172389833233794
SIDM01122,-0.9241245165063985,1.8175263685284795,1.7929025863326509,-0.6816061323229323,-0.8134210787479158,-0.1949712537303649,-0.8073888958262648,2.0487306264845637,1.1245028158487298,-0.7702763762449887,1.9602644417233448,-0.7470731852712553,-0.9345803473173766,-0.44219186643011615,-0.9440342226509344,-1.0511572341063187,-1.0046069158655404,-0.9266913850729025,-0.9366769956716859,-0.9570339027348671,-0.9171001969464259,0.14055683897659813,-0.8188191259694403,-0.5779164378533118,0.8267129242168944,0.6795728335053146,-0.493401425162011,-0.9669144503105626
SIDM00261,-0.8084221323452064,1.608873147360842,1.215028342539837,-0.3703010264770009,-0.9221865761776815,-0.44606014611380074,-0.9061766326640338,1.7822410562676987,0.5743009636418716,-0.7375843679332361,1.857036266190974,-0.8753733825802791,-1.046002756832334,-0.6052198811749073,-0.9579141246059687,0.010187701414508114,-1.0523976640820303,-0.8363975498837591,-0.7881315907055596,-0.992334777447192,-0.8306708151367669,0.34113878576045453,-0.8675035509259637,-0.4721682364779468,-0.24965699638358257,0.9857969968200175,-0.617931693299008,-0.8944653609726341
SIDM00154,-0.8089140159235316,1.5904238594027231,1.5646939243538167,-0.712337363906254,-0.7897624493875361,0.3305170164259041,-0.9215492632575191,1.4107411196544908,0.8019838104296939,-0.6890248116989117,1.0649345213037396,-0.7994265379549896,-0.938953059168572,-0.6883737675147112,-0.866109184021408,-0.8349953652717956,-0.9488046255147183,-0.8766380992617933,-0.8231099211468056,-1.080423880659513,-0.8464259350762454,-0.05668285733968915,-0.8426702353331627,-0.6514580252838805,-0.26853278887577947,0.602595936550875,-0.38019694904178514,-0.9157624774299776
SIDM00104,-0.767264259142148,1.0726598634147986,1.8736849963836706,-0.7035914037315651,-0.8612708562664025,0.16059859294874232,-0.8162460636832077,2.3762887344615407,0.16999939163111674,-0.7228998624439185,0.3004601585129826,-0.7287677402978707,-1.0043873104812149,-0.4225345617312442,-0.9022468096494073,-0.6805396488057683,-1.0078943720309892,-0.8419648635264848,-0.9157724324703739,-1.0570322067478415,-0.8536058339183153,0.23124588239347021,-0.793373462543049,0.16871812222362714,0.037930186140104676,1.7358170101936568,-0.6520030358980753,-0.8986359310232727
SIDM00267,-0.9119663000860534,1.3293977907825938,1.4261837726724649,-0.5838957540382053,-0.9330769272513797,0.13330658002881252,-0.8391163678418246,2.444175072153795,1.8120748627807504,-0.7604842959157673,1.932743911108689,-0.8434256998765446,2.200034036015624,-0.3177387287123584,-0.9233805981247023,0.9274146811637483,-1.0120614473797154,-0.9254902019631482,-0.8925999270991395,-0.8918562245293252,-0.8188419852534995,0.4078828654099907,-0.8032958580280851,0.025104678953957994,-0.34303166574998695,0.8080824979784463,-0.4522694961490511,-0.9253086284222677
SIDM00100,-0.8460209093997989,1.8629460184571567,1.7639650642703277,-0.7447997528295195,-0.8575592530284318,0.03746411087826015,-0.8828837654727095,1.621596842044113,0.8191486043507895,-0.8028674012346841,1.2039525608979145,-0.7733494679686429,-0.8672683755924687,-0.5120180195498724,-0.8991046103307094,-1.0029643007773343,-1.015059928379716,-0.870579890051034,-0.8551002937265471,-0.9715435558738543,-0.9181122138975889,0.49126065047127876,-0.8352246753331447,-0.3169290032903364,0.07816452816308084,1.8488677991238303,-0.42633074790866204,-0.9403902606551023
SIDM00826,-0.8436935437993516,1.5325392118009868,1.7694879122969993,-0.6648306735316425,-0.7889486537855792,0.20343479858741587,-0.6573344865287067,1.4057720916791037,1.0379725460880689,-0.6780822714453973,1.1043966104431724,-0.7497279490156904,0.8555556076691327,0.24317335006749427,2.118023061136694,-1.0028524137989927,-0.9252277838271182,-0.8999821505516904,-0.785952727627498,-0.9744418609241736,-0.787439335681459,-0.07012169218249069,-0.8121620345671342,-0.3763557227748029,0.07781451071869978,1.3000725642072797,-0.6666430357483567,-0.834273314279085
SIDM00310,-0.7920813142196503,1.5764697831347851,1.9653079993658211,-0.6632027291291971,-0.8256481044066726,0.2676471077871496,-0.6049452048259805,2.0389813677451234,0.36205479147604747,-0.6949328332403587,1.1766889276641412,-0.8824532830783167,-1.0877479864493556,-0.6166915586966022,-0.8078413131570489,-0.7994105573995475,-0.9814502347652913,-0.8802990100824681,-0.9096300344365649,-1.025154107955429,-0.777867479522141,0.2730742996664922,-0.8061090092377242,-0.4583187124203668,-0.42053528792892436,0.39171034249680753,-0.4950996709542842,-0.8777841592604267
SIDM00482,2.1694765879715776,1.6512113562347952,1.6026530725400574,-0.46440856193754254,-0.7741561382331787,0.11961662121334184,-0.6238697741872063,-1.204005646101891,1.1214805808668482,-0.6790394805953408,1.3617000361972824,-0.7322697289220756,-0.8315847391136675,-0.3781324686239845,-0.8274177286618578,-0.9371485437724018,-0.8954446656991113,-0.8070129918150771,-0.8919264974331741,-0.759922003721266,-0.6247835678612391,0.12535768297042632,-0.7419118553144772,-0.6438187297189938,1.6511259765699464,-0.31773959434249704,-0.5114665011801318,-0.8238717766306151
SIDM01247,-0.912454007901066,1.3340468409235517,1.2030280472374864,-0.6355883384240633,-0.8000809765318553,-0.0010479232916368333,-0.7826456343809485,1.2397605593141179,0.8900419892663282,-0.7249336592666579,0.3043599175080662,-0.7198990161095331,-0.6046157295065849,-0.4485905989091025,-0.8652479946193773,-1.027686193908418,-0.9400839290803525,-0.8485166990274179,-0.8630022856153374,-0.8866149838710932,-0.6841640719816796,0.1690773573943114,-0.7672507537994886,-0.7918903789067775,-0.6879679121571723,1.3844521514948662,-0.60784635216781,-0.9650879067822566
SIDM00817,-0.7524775148037371,1.3708334191933929,2.897801447057274,-0.6630705259030653,-0.7471657056102019,-0.13457362784524715,-0.901758677537821,1.843964301745968,1.1171810176569734,-0.6681252450452199,1.8733347846233257,-0.8010727305774971,-0.8551884459453323,-0.5957876155894316,-0.8316824441788054,-0.8716005825209844,-0.9890188961285397,-0.8497077288386706,-0.9278417426855913,-0.9430736574603088,-0.903719650459403,0.1515548126177667,-0.7493412190196761,-0.394087358891019,0.31482812705590557,0.5883717356662869,-0.4776638751251204,-0.9057231475980101
SIDM00448,-0.839536923400522,1.5646559751111757,1.7785051966809946,-0.7300629459753067,-0.8612419037497048,-0.20745369660939172,-0.7618557542766419,0.8518122359886423,0.910066088689057,-0.5248206204364745,1.1799110871260077,-0.673999140951472,-0.7482230090159852,-0.6278368121357896,-0.8293868964049822,-1.0441155349894171,-0.8769258467954729,-0.7387105010373811,-0.887591884017438,-0.8372852142769205,-0.708955801645467,0.07915753207955291,-0.7578557063130639,-0.705589917594847,-0.6321621872301905,1.2209322969947618,-0.4368977556391211,-0.9073403075056354
SIDM00086,0.33698808448559503,1.2732002015935995,1.2856288384250376,-0.7070014466683866,-0.8491448218137181,0.050637344211504315,-0.9109125071096633,1.664699432634591,1.3073032940366243,-0.7547341637617487,1.631483242004174,-0.8002063665512481,-0.9589427140588851,-0.5767949855710812,-0.9050073582403115,-0.9219384443051302,-1.012432440542209,-0.8240901628113023,-0.8911714247363913,-0.9309504406567594,-0.8550441210709939,0.05983315965066706,-0.7802982009506759,0.8986112467440546,0.11427961674360582,0.34882184835087265,-0.5577032635907034,-0.812452813985552
SIDM00466,-0.462237899463952,1.1671292039607812,1.9130258632682327,-0.7490864568194786,-0.9364442642000235,0.5067471312368674,-0.7921471931907812,1.2012352588284103,1.1912745109681906,-0.7631723119445962,1.773853966439993,-0.8442497198842676,-0.12826483392116544,-0.5752167675255101,-0.9104537982014718,-0.8662228604854729,-1.0603104833382193,-0.8740001326223918,-0.6421836595097167,-0.9381231884921254,-0.7476462456929123,0.1304592690809664,-0.8456265611349012,-0.07122218955839431,-0.42571270644974973,1.157349866833208,-0.4973110058526126,-0.9252876477243337
SIDM01132,0.18406060512548847,1.5563007500724884,2.1192869662487404,-0.5797738440082245,-0.8996529447062278,0.16516978266714938,-0.8102015569919778,1.9459577695385573,0.9507838020775556,-0.7198965463226819,2.633696398024815,-0.8042642750685131,-1.030087458779403,-0.49024963294420315,-0.8970121983627302,-0.9164479560052887,-0.9321034417663434,-0.875359620658999,-0.8750648836415196,-0.8643098731646169,-0.8328434441453972,0.19477085694999033,-0.7766188306014492,-0.15156199764391207,-0.5072326490211514,0.5884940924185512,-0.19467327026573006,-0.8520860952085537
SIDM00465,-0.7821376597724189,1.3452944582351773,2.078507300239008,-0.5906687704201109,-0.8502735357296276,0.007964844738045604,-0.961996183949133,1.0497662431660675,0.9939666002005905,-0.6627948134054785,1.8077832053206357,-0.7851842369380982,-0.9589484303440796,-0.24567263311320495,-0.9275817505528883,0.9220180002170467,-1.0061626678761046,-0.8937522773561045,-0.8391087961302991,-0.8682820864197262,-0.8223435578465679,0.16566361253145245,-0.7567487018641608,-0.6292577292296982,0.10491266859366039,1.4219493138015682,-0.372045593486287,-0.9000628075294337
SIDM00565,-0.8877249501534783,1.5316681596703352,1.946924136137032,-0.6527245165255618,-0.8477413095647973,0.12021441667991534,-0.9217321496492752,1.093031359378432,0.9478216664504879,-0.7130208255207808,1.4764315527907717,-0.9238235264880911,-0.773913541326689,-0.3698118970325305,-0.8855415925344465,-0.8177841256918509,-0.9945031712790754,-0.8680861048071787,-0.8527354482531131,-0.8018398593790016,-0.8147907974874132,0.05133984064182058,-0.8360425419044081,0.48090367096437475,0.33194850919936164,0.7503584205775046,-0.3660073035060692,-0.974338049935138
SIDM01092,1.359699555085569,1.3673231762931308,1.9720083219170326,-0.773132896200898,-0.8613946227108377,0.061280487015492165,-0.7994724529681867,-0.19181017511708684,0.8258821638018731,-0.6436868852866556,1.311514936856501,-0.7564360107123289,-0.804051044237547,-0.5641770146006327,-0.9023978893076616,0.29761836479551573,-1.0025767592783188,-0.8614376751736086,-0.8812234010921094,-0.7573108300317153,-0.8757221203516613,0.16933887825921096,-0.696358487463892,-0.8264708885718668,-0.30397341784208876,0.4331849306499529,-0.5807637688552132,-0.9974921678705807
SIDM00218,-0.7741112976242693,1.3181939374083758,1.521331639279498,-0.6998907462401772,-0.7575681180386741,0.9981860620826691,-0.814443451623122,2.3079202076946563,0.6582413070414318,-0.5604637291815294,1.2522250162364255,-0.81469300622508,-0.865452052377906,-0.8139326873613367,-0.8367460461864591,-1.0092919979935957,-1.0169269260474383,-0.8345309147347989,-0.887087808713305,-0.9440451755673546,-0.6050536458254231,0.3432174081984891,-0.7323963679587515,-0.499701099038163,-0.09308332933519936,0.7352346651293953,-0.3307345963507901,-0.8802374960660015
SIDM00044,0.5067707590036453,1.4101903169973877,2.093792164695935,-0.6054624764930849,-0.7907862462351447,0.36121791913424467,-0.7778472768710242,1.8674474698137062,1.022207495874369,-0.5766203623001315,1.7902587164700912,-0.7468356962614632,-0.9161052812137193,-0.6876035455530378,-0.8602322141914214,-0.844723009723184,-0.965508994553092,-0.7775778768129213,-0.9103439939402517,-0.989639433926863,-0.7743540324049311,0.05598134055514412,-0.6842655485688448,-0.20330903906527578,0.3288379206019833,0.9319742157341979,-0.47628278341345187,-0.9421822430414818
SIDM00362,-0.8533933280188717,1.168516652353998,1.448281640218986,-0.532915671686627,-0.8324382594025478,-0.21139535938166773,-0.8164979503376908,1.2473768831875662,0.755206735805853,-0.6608350377468213,1.7403554928929046,-0.8076658186131473,-0.750111760447334,-0.6542146447501115,-0.8848436142530677,-1.0011196203648003,-0.8963923328140361,-0.7831358832313094,-0.9284266366731736,-0.7980115324557956,-0.7945275141128373,0.1307483589953929,-0.772145410488835,-0.7582652940606293,-0.5445210597104899,0.8688997964664793,-0.6188559294690391,-0.9135100754084577
