,GGT7,CSAD,GGT5,GAD1,BAAT,GAD2,GGT6,CDO1,ADO
SIDM00261,-0.2629577860645715,1.5503802138669565,-0.8322423582046241,-0.5503514865623833,-0.7814535051706172,-0.9130825186389339,-0.9025240458722149,-0.2891366474378996,1.8992797574609999
SIDM00154,-0.8440636694877844,0.9634724440233544,-0.8319358687501547,-0.5349255452920109,-0.9136348438365263,-0.8717985352704722,-0.8379268977600866,-1.015157608091576,1.5453836121822442
SIDM00104,-0.5157913648025448,0.47388917924983553,-0.8530122473197715,-0.3033865185487615,-0.8359139519156474,-0.8728998998603711,-0.7778997092073766,1.2809563309374694,1.2734644868352045
SIDM00267,-0.6039815457416299,0.8254985492422011,-0.731336444259217,0.005506141209931608,-0.6443031584479126,-0.8448253121393015,-0.7791171096242924,-0.9019063450241313,1.4342153349214464
SIDM00100,-0.8939707950948316,0.06934609387550289,-0.7957146693221694,-0.6137349991375055,-0.8733135642647142,-0.8265139731541706,-0.8059200790062857,-0.8127646148752478,1.0738635887422316
SIDM00826,-0.6718580174463735,0.9425934080559094,-0.7231967693292168,0.255377829045743,1.0700885391332953,-0.9499278012904256,-0.8184949724937713,-0.9534589987359987,1.482976872125642
SIDM00310,-0.8086083928307711,0.6992035240880111,-0.5173108661727432,-0.8594788638017928,-0.840436888919593,-0.8363714518761323,-0.8474003649909095,-0.9477760974941998,1.2818663635605
SIDM00482,-0.6658726257938657,-0.18253335302964727,-0.7800520330210046,-0.35116244587270634,-0.8337819665510957,-0.8196531981980708,-0.7582591508186303,-0.7768073586631603,1.4247476432620103
SIDM01247,-0.5342465060324368,0.6442814780938058,-0.7253284884263896,-0.7662843146742122,-0.751664657726535,-0.8695854644632428,-0.6984585565633252,-0.9624197946166672,1.7230977029725063
SIDM00817,-0.46842785838417383,-0.20152205215349508,-0.7694608372838313,-0.5751110002710023,-0.7476789364975835,-0.8705784228942519,-0.7203545431805557,-0.981613688311401,1.5923487119299382
SIDM00448,-0.6817320628865601,-0.24077351051262585,-0.7431214660310722,-0.6449509589231824,-0.6927004989754527,-0.776239616244654,-0.671861952720079,-0.8539884943132136,1.581627121614971
SIDM00086,-0.6475095457547563,0.22160545374067683,-0.8279356049383535,0.2759654073881813,-0.770917162173063,-0.8755097490438514,-0.7820809662353666,-0.9778815134302017,1.520600345571446
SIDM00466,-0.6623310428998844,0.6082728798542609,-0.832114940285741,-0.007980242680106848,-0.8402196949315242,-0.9048496463553971,-0.22941411444098195,-1.0261018494791716,1.2965586397462299
SIDM01132,-0.12138332735817,0.5190804396030619,-0.5588663855230243,-0.7699144269645376,-0.8293354497645764,-0.9004023965880121,-0.7404775145486208,-0.47392754601847054,1.2999894596066768
SIDM00465,-0.6369424516224819,0.158834118735201,-0.8060907436767245,-0.5747058180820541,-0.7776766733283683,-0.8084494877768046,-0.7558571521446885,-0.981373263856443,1.254428532607379
SIDM00565,-0.6724332844222535,-0.05959412571666055,-0.9213415595423238,0.43406254121943727,-0.8511134018487791,-0.8379205911987379,-0.7881974731762708,-1.0413713458928557,1.1480948791030534
SIDM01092,-0.4529801618323635,0.38934059867093324,-0.7333368808501813,-0.5721358281740455,-0.7948493401263137,-0.7883327156525083,-0.7195453700899451,-1.0205856623480878,1.3650179463909171
SIDM00218,-0.5896825476352502,0.15299546961763721,-0.6750902301969326,-0.20292636433378025,-0.6990745945920992,-0.7864723232155854,-0.7556585782676017,-0.960406999252234,1.5481373060612116
SIDM00044,-0.8799271549882409,-0.28649258960292384,-0.8068263151181682,-0.302928793683548,-0.6863381001919137,-0.8378690687763294,-0.6940091724563374,-1.0219616713802262,1.296972329459695
SIDM00362,-0.6632429631048277,0.13030067400910278,-0.690143711081761,-0.7342093302047591,-0.803954304136395,-0.8432058792694963,-0.7108304653099973,-0.9118588875686086,1.330335174460892
SIDM00813,-0.7354991183881097,1.2822885787197076,-0.7232359692263346,-0.7571938077561621,-0.7774305346248237,-0.815103204699452,-0.7743420808856981,-0.8791917125894068,1.3256659078549784
SIDM00364,-0.6166934163069732,-0.4234571692561143,-0.6989298958470728,-0.701762230950797,-0.7566766765140238,-0.9374107770990211,-0.7298286235111268,-1.0087337724058865,1.7283024839130554
SIDM00792,-0.35744616849283173,-0.11050250063046133,-0.8050853705482236,0.37319647965004066,-0.7676712100844764,-0.3818233308839133,-0.7065108056452937,-0.9586307558817118,1.4432228426373863
SIDM00241,-0.769392909489189,1.6326634537076514,-0.9332606595527687,-0.7013460744076816,-0.8331345463944552,-0.905799793498994,0.4274846766710958,-0.9701550345000794,1.3015860204061183
SIDM00091,-0.3976428636619112,0.2911502453811821,-0.8059280819138573,0.17293697300867084,-0.7900230951780502,-0.8809793178096622,-0.7878350818918235,-0.9454369590834677,1.1180045791718196
SIDM00427,-0.6119859710726526,1.3482431370827765,-0.7831044327713553,-0.6240236276542176,-0.848270648265905,-0.8853434245709206,-0.7507960867517142,-0.2734787048007723,1.7808954891060536
SIDM00758,-0.6605122457046768,1.04175630453185,-0.8125008012670919,-0.6019328388385389,-0.8038866648857519,-0.8410976144852079,-0.7942929846234748,-1.0018401848386562,1.619180593222644
SIDM00612,-0.2222727356296461,0.2641427528366697,-0.7510341652431429,-0.3771017537454645,-0.7773031476020946,-0.8384559950022599,-0.8377255404221428,0.12704011533569617,1.14807879520024
SIDM00553,-0.6217770402121591,0.16344741248194627,-0.7384622739399669,-0.7642078206692565,-0.7554397813842646,-0.7717434925948289,-0.7268108459608255,-0.8473308704176139,1.3352797838369637
SIDM00343,-0.21782963439189418,-0.020695196507128335,-0.6858529121945709,-0.478531958575571,-0.8305398289393181,-0.8658725145185773,-0.8023336627715821,0.526917862636778,1.3502833264850709
SIDM00543,0.2853285991051739,0.6581719341034377,-0.7490298075408077,-0.7144605574804254,-0.8297317168868076,-0.8924747251822325,-0.7303645382610243,-0.9778686900951368,1.575688162317284
SIDM00537,-0.6283909541786388,1.094433501858144,-0.8087258031465472,-0.7413533944661739,-0.23114914135385403,-0.8962097115269531,-0.06710692488412105,-0.9967084496283739,1.6191568052690224
SIDM00332,-0.5424552105574287,1.1622938283856343,-0.8576674281415733,-0.633583219706083,-0.7660572597172416,-0.9008099293724887,-0.7824618483353528,-0.9290129203354933,2.008347061167203
SIDM00299,-0.4993790755156497,0.5322705028060781,-0.8654340759422505,-0.277790169936112,-0.8459046830035106,-0.8979134319375414,-0.8133099883214694,-1.0880220606491064,1.322000606498682
SIDM00308,-0.6746882115182634,-0.08871043244131263,-0.7932926381096768,-0.08982551021304604,-0.8006486428514571,-0.8923676780134748,-0.8196011201426188,-0.6922573569145345,1.0081954985404864
SIDM00227,-0.13484681427173933,0.9114671783855036,-0.7623931978788789,-0.8043869700787756,-0.8688620183199405,-0.8437853720539044,-0.7816109291516703,0.2991602107583732,1.6434699575521357
SIDM00294,-0.20132162462331005,0.11338229481766858,-0.8155385957846786,-0.31834177180123974,-0.7622748338900198,-0.7945462192602517,-0.8277840921558384,0.8057520113273574,1.347675985303724
SIDM00677,-0.6801575062507297,0.4586763253510405,-0.7610847768480866,-0.4019554450082092,-0.6702548825557937,-0.8493816195475304,0.8458634114542753,-1.018464848468799,1.2605534194219767
SIDM01220,-0.2843046302378258,0.38142260881571416,0.3721393664916821,-0.7304203691138244,-0.8449822048321487,-0.8602378608208596,-0.8202434279197691,-0.9233211796227543,1.0969840126165993
SIDM01259,-0.9057261544263637,0.19276859042401223,-0.7012958266104279,-0.8161864736978872,-0.8202821257934443,-0.9249025654002345,-0.749975435900423,-0.7643574939689671,1.7766383326664488
SIDM00680,-0.7408403279050451,0.8270354692692687,-0.8647178681600528,-0.8041170976836158,-0.8081304125823637,-0.8902052812455811,0.19716113448551334,-1.0028474660749795,1.430583667404449
SIDM00346,-0.5234183006767523,0.43817842899775755,-0.5755900042879201,-0.4666065090804835,-0.8054378321675847,-0.8947141599682386,-0.8777242806337746,-0.5371626130281353,0.9113417306250021
SIDM00129,0.2084512068256891,-0.2293290551152645,-0.5938419754658749,-0.6599776432494955,-0.7153518913873164,-0.8350450614373949,-0.7564011158809967,-0.9696636665663317,1.4432627060238894
SIDM00627,-0.8787344269361476,1.0675591899960573,-0.8969140836202573,0.2376529354934227,-0.8605727983403465,-0.8951658139550707,0.5786823329843969,-0.9731739067357139,1.7499499634334614
SIDM00293,-0.4266078153205224,0.5090718556593796,-0.8338728923055385,-0.3198399580695952,-0.8087760260596092,0.07096929780139918,-0.8118780964052092,0.44688313232115146,1.340225321952846
SIDM00274,-0.39012924259364457,0.17467775544929964,-0.8600494594809649,-0.7474796477412324,-0.8447952157380453,-0.8357565370129177,-0.7869911202283967,-0.9316991001947484,1.0419123865993634
SIDM00544,-0.3248867121527599,0.17420597130775162,-0.480108486608002,-0.7456534678409684,-0.7926379670498687,-0.8363684346242135,-0.7388765631626711,0.35353614996629795,1.3504912634648352
SIDM01006,-0.689179650425223,0.888577884215741,-0.7983124245938347,-0.7705351302746467,-0.8047848621710967,-0.8748125658308501,-0.6301833676403643,-0.9896044916843527,1.441182642823201
SIDM00302,-0.7808326820345401,0.1693480952271457,-0.7615677585509885,-0.3276122176488969,-0.7774681626740085,-0.82418893026639,-0.8545249350159235,0.12460202235844042,1.3537175383570075
SIDM00549,-0.8677686524128343,0.14252127197945486,-0.7651485044452138,-0.7641720777903273,-0.809753266252454,-0.8570194423677354,-0.8228074477919635,-0.9308438781986808,1.4785824034695565
SIDM00292,-0.07607983208313165,0.6878773761601287,-0.8512518041593761,0.059335968365963526,-0.8942464526639434,-0.47082961381265054,-0.8638267069714574,0.7104554772832299,0.8444470039718134
SIDM00623,-0.6766678386831216,0.43812900673266403,-0.8030411744804948,0.5615009959609433,-0.744935041547984,-0.835446283387832,-0.825273288837226,-0.9060389570211811,1.4932591758210192
SIDM00638,-0.7765388148941442,0.5463711304509876,-0.8214299692810049,-0.6927343669587885,-0.7640457957488102,-0.7919710596109165,0.287379978311854,-0.9493183467022909,1.1264322141808345
SIDM00527,0.011632502894561561,0.8086406841843847,-0.7736623967797888,-0.6596510276616525,-0.8611333693398043,-0.8426081358083546,-0.8018474228398558,0.029773918846727927,1.4015092961639166
SIDM00976,-0.4857590782415306,0.26659606182188983,-0.18013656898904618,-0.6588968450840923,-0.8417478383436933,-0.8595027112092268,-0.8196917348809358,-0.9913311927926444,1.0359356707194487
SIDM00316,-0.6279624353608475,0.9303632329618827,-0.8031867663089461,-0.7777824292174604,-0.7464238561433052,-0.9186755936272941,-0.7779814165886626,-0.6528546833209417,0.9963029941473368
SIDM00326,-0.49814668957911773,0.5833256243509506,-0.6995227199883767,-0.28462211000565835,-0.801470830157559,-0.8549639783420612,-0.7566252906776457,-1.022885539214579,2.546953109111196
SIDM01093,-0.590012005938319,0.979548285714761,-0.7990839161242501,0.281045996645341,-0.744159422419166,-0.8715688751016439,-0.773498884237636,-0.9489390506929314,1.3431173893752777
SIDM01098,-0.4692101303972855,-0.41231917746994307,-0.7177945030035504,-0.769059812457443,-0.6957437301900244,-0.8597433829505418,-0.7070234938488833,0.10029855040980354,1.2874383364419535
SIDM00424,-0.7411212808026231,0.1401245676268861,-0.7686655951594042,-0.7169213752900027,-0.7805864439210171,-0.8821845428538909,-0.6975776679850124,-0.9781727972176525,1.4559699188954836
SIDM00973,0.10834273248842416,-0.33582734214839755,-0.6901697502307406,0.4272380560732401,-0.8099634404500609,-0.8105750503330688,-0.6853632410822416,-0.8798055535169921,1.7210580685709433
SIDM00411,-0.6007369172578729,0.3037839752141798,-0.8019788339398263,-0.3671827151268701,-0.8214936443026156,-0.8946484276747919,-0.6881765430769912,-1.0139453636069806,1.3164165242155093
SIDM00374,-0.7571779975665375,0.4497733170382748,-0.7325971602687631,-0.5563304367407524,-0.7465611647890137,-0.8178033368969694,-0.6595552402940041,-1.0462882022699085,1.8505344144750706
SIDM01160,-0.4814752137672374,0.35786667963582697,-0.7253519287906132,-0.2376394066716518,-0.8607550199649774,-0.8920386737190642,0.329180766506495,-1.0657274376308945,1.272424009698937
SIDM00145,-0.634250286591854,-0.12948900825610382,-0.8211637822852422,-0.778298036241263,-0.7844361006057209,-0.7054986822139007,-0.7825277371640038,-0.07514478502812574,1.3933263780390774
SIDM00975,0.0017566462595581228,0.9455393127561711,-0.8642066715882981,0.771108212770524,-0.8144660548641208,-0.9393109777992709,-0.7478158455548596,-0.7348698590599785,1.3992879667522111
SIDM00971,-0.7174251162261149,1.7801758242368737,-0.7996414957018937,-0.7498175496870363,-0.7576818549818402,-0.8671445761338225,-0.4423186809607951,-0.9155972689312152,1.3151315625954136
SIDM00251,-0.7955071221392701,0.6864215896438292,-0.770400595614825,-0.02132994828506587,-0.8495655086953302,-0.8530688652343608,-0.7562261582966917,-0.9756749337946332,1.5234889061661445
SIDM00412,-0.7331628582657309,0.07262937999267687,-0.7544127842934347,-0.7280267878355365,-0.7916977118124242,-0.8178944246721493,-0.7068480993028908,-0.889247579605797,1.1854791712213617
SIDM00023,-0.3103681929288174,0.10590418738386811,-0.7895855556035226,-0.3858793118443026,-0.7916825873326996,-0.8632849495537475,0.07167672088754554,-1.0502678890972637,1.213177843179615
SIDM01198,-0.7079188084468251,0.221149415142839,-0.7434708546577324,-0.7043847225835468,-0.7858967189226437,-0.9108932816112109,-0.6795660699125508,-0.9614952262928116,1.9056232722560373
SIDM00441,-0.5626549372898738,-0.11219583087880042,-0.7230877646732304,-0.2619903255707276,-0.7541009657518308,-0.81518234131027,-0.7803577015924714,-0.9124656215190694,1.5345802922765466
SIDM00388,-0.7358183532033562,0.8320566248545057,-0.7326106281842112,-0.570197301467324,-0.774182220428439,-0.8500642417896321,-0.7509932115565352,-0.9027421147653462,1.7855208348383689
SIDM00417,-0.8584793592440416,0.08928699716595863,-0.67673301418939,-0.7783597300209294,-0.8277688538947339,-0.8475825455927476,-0.8144955940683202,-0.9780170914660646,2.02320536337545
SIDM00416,-0.6256695083202645,0.8045303031850184,-0.7734160773876739,-0.5876424944029416,-0.7511257932743646,-0.8337300343425883,-0.6746791659969413,-0.9141366101757015,1.338872020349133
SIDM00974,-0.22162663193271687,0.7404575032040563,-0.7864739687128485,-0.3123948035861084,-0.8037684876609469,-0.8568563187489566,-0.6680386012123223,-0.9658291770111714,1.806315081344014
SIDM00833,-0.5493682077054477,0.5063252881935283,-0.8347619443816768,-0.37128616463164404,-0.8447981027297922,-0.8746411473004803,-0.4289069941312484,-0.9942456656509444,1.3371215860416563
SIDM00562,-0.7304264507090888,0.689159494686512,-0.8458312629296166,-0.7611932827513277,-0.867150699536305,-0.8497128589261493,1.1012236569468592,-0.9141224193674378,0.6594370029306666
SIDM01102,-0.7911955867500962,0.791097342953305,-0.7545887143715503,-0.7040067913653789,-0.8170514671941916,-0.778569875526097,-0.6904966521424105,-1.000982371365284,1.638760977190256
SIDM00418,-0.511967550309996,0.07485904727798832,-0.8433801554221058,-0.4442152582024766,-0.900732336094945,-0.870873746986948,-0.724224067425545,-0.9916919530564424,1.472794274129963
SIDM00841,-0.09575710505697206,0.5594891015208788,-0.4569978387545767,0.492557609115092,-0.7981480409743369,-0.9454520301501085,-0.568554921718595,-1.0244708472536985,1.6554403493187726
SIDM00260,-0.7701856180055198,-0.03368237410734536,-0.830448176679511,-0.5540030116007081,-0.8457624917309262,-0.8345372032981995,-0.8043272384956192,-0.8923096187550529,1.1440270775227879
SIDM00111,-0.5263074299497849,0.5789122567506995,-0.8471891117265063,0.754842693799904,-0.8176474967493007,-0.8284981451344068,-0.7936582757567059,0.9021371812341428,1.6016536106216737
SIDM01179,-0.46285209874590055,0.3113627300284813,-0.793323389585356,-0.7774753965081458,-0.7674010546014147,-0.8786265736418579,-0.8326541466144853,-0.7169212560463338,1.2104003902021128
SIDM00351,-0.8095094614382351,0.3714684267653762,-0.6463640277366566,-0.541409557141316,-0.7768721621956134,-0.8458023662594358,-0.6746042215605897,-1.0112257769012225,1.59873245424397
SIDM01205,-0.7640568185911705,-0.1264073685356595,-0.48837099067207934,-0.40161626432152114,-0.8101546420754016,-0.7596721444618479,-0.7309789682116012,-0.9583661345428655,1.3170454943829955
SIDM01095,0.10534886827512281,-0.06799827621341245,-0.7570381634681582,-0.17180136597790227,-0.7271863314571385,-0.8762103619817999,-0.7593392523837249,-0.9216158347694119,1.2249157381526377
SIDM01159,-0.08724307928891806,0.6876023910080301,-0.7267039500526602,-0.6828401280642836,-0.8644539043345464,-0.9449300468016774,-0.8041436266323782,-0.9692310415928236,1.0294595538014009
SIDM01183,-0.5845626157842535,0.041328274587892365,-0.8143313632032528,-0.0420614283045376,-0.7838172165665155,-0.8251095249854388,-0.6858732056419204,-0.8550727839717158,1.415481723518153
SIDM00328,-0.34938317016945436,0.4155091699658211,-0.7794841025865048,-0.3097269348862725,-0.8529136657950406,-0.9187782132101977,-0.7644503787125602,-0.8213166595605175,1.2424990480818598
SIDM00389,-0.7132704551924139,-0.08623203659375511,-0.7224059918037931,-0.7810457857884575,-0.7485389208968966,-0.8562062009984823,-0.7579969225468106,-0.8774020867935495,0.9591067548892479
SIDM00489,-0.8344349772327498,0.7768300695074374,-0.7816412960544615,-0.2728270163517619,-0.845356491502622,-0.9124103154717537,-0.735310658764916,-0.9530602713397968,1.4597422003066227
SIDM00953,-0.17024263707530027,0.5047582719520332,-0.7802741665308023,0.6297121736342265,-0.8319585387346586,-0.8860282348068159,-0.8277174229464871,0.3771042402621382,1.3933537370618156
SIDM01245,-0.5892551175451097,0.17633542471443278,-0.7670785709405539,-0.5221370932677124,-0.8245706813765898,-0.908576160035323,-0.7670606838494606,-0.9091542635188983,1.4202148475611465
SIDM00929,-0.490968153970515,-0.019067624452577234,-0.8350994953578244,-0.661757838415942,-0.8207031401594782,-0.8367497763936451,-0.7892402284944369,-0.8868701488819835,1.5060510985967512
SIDM00732,-0.18364792590300696,0.3494566515351301,-0.7981967427144588,-0.4414847220523858,-0.75754746322703,-0.9293023541037861,-0.765155021115579,-0.438201821574214,1.5025238060492634
SIDM01047,-0.5070426344840884,0.7402862482469901,-0.26024240722140657,-0.8131650784667616,-0.7842348245285575,-0.845212018582187,-0.763958289847939,-1.0172887835585576,1.4777055756762183
SIDM01229,0.3086878576627824,0.986795522216867,-0.8621756161614823,-0.7264256746872049,-0.7821386143473896,-0.8881223282451497,-0.6919910801415249,0.9507947593194532,1.9615808116061324
SIDM00540,-0.7178362640089765,0.6899901791845713,-0.8386922706592247,0.08931692115329296,-0.7735406764161137,-0.9679735106713132,-0.7171686169309175,-1.0060183993469753,1.3740252214898268
SIDM00264,-0.46099171579275866,0.5243710723972371,-0.8117772777967348,-0.8791722887235099,-0.8536721254775943,-0.887818804199726,-0.8142156243906798,0.1900904060042515,1.5374648440147252
SIDM00842,0.1176510838968962,0.27357559519215136,-0.8200400910046427,0.23818467118695752,-0.8499205237394667,-0.8515861002523996,-0.7495333878935266,-0.9634932329201047,1.3269200177925062
SIDM00923,-0.7848409973381854,0.09413032883412056,-0.8037200234807542,-0.10310057381589766,-0.7946239970766256,-0.8228282587655885,-0.7787851706951112,-0.9560382135844641,1.09369343583825
SIDM00120,-0.7170683930473035,0.34501064033650164,-0.8099318732020121,-0.23582227770063252,-0.777955591658216,-0.8296430406096159,-0.7899579849970254,-1.0030241952088286,1.3125626862937159
SIDM00900,-0.6204622772752203,0.297203982116416,-0.801948775110712,-0.7263597974553399,-0.7789256423484636,-0.8322898881577806,-0.6539680687189117,-1.019050234827161,1.63850037383066
SIDM00962,-0.7186921768154837,-0.13963213123602622,-0.577659767338651,-0.7452751722415948,-0.8179614742658788,-0.8071117712897147,-0.7619009385501285,-1.0216982131090482,1.6990926189621298
SIDM00889,-0.5786001161989689,0.39487913485178566,-0.7803155769003325,-0.6440212449696892,-0.7965061512902024,-0.8232472721263927,-0.7860790336657003,-0.9287498421846139,1.494335414296016
SIDM00864,-0.3894996315634038,0.5669556659910382,-0.7973822838519624,0.2945215995740355,-0.860729665119945,-0.9210398367937114,0.2517124861686334,-1.0525538149417102,1.018976248981094
SIDM00233,-0.7879046689175059,0.3384105635277622,-0.7468844172405512,-0.6714339543446893,-0.7846806741614117,-0.7952683691614163,-0.8031473029045199,-0.42890758067121354,1.1788424596010039
SIDM01233,-0.04224400655183796,0.6147685574265006,-0.8152769176148066,-0.258162491370517,0.12189026075752879,-0.91430851450025,-0.8343000105168681,-0.8840547102824527,1.5618672279010026
SIDM00964,-0.8125369869689151,0.6033576088396002,-0.9262849199787306,-0.37649141561776,-0.8790537819591056,-0.8546039129479472,-0.4802090378224983,-0.6132878156572734,1.1585269897617276
SIDM00196,-0.34198922017333916,1.4777731890040997,-0.731363562816421,-0.7770770880733915,-0.8605860395200255,-0.9386726854695964,-0.8357007613462881,-0.47660090227345286,1.5088429759254112
SIDM00287,-0.36636555350859346,0.3431197494838163,-0.755614001325345,-0.8152344754297982,-0.8346306094292283,-0.8670739240835436,-0.7399557385836733,-0.9467165653628964,1.5237466796356085
SIDM00501,-0.8194082060938208,-0.04070200740513408,-0.7367370388113,-0.3852601269387901,-0.8782562809205585,-0.8412256785870937,-0.010644549937238585,-0.9334565141100795,0.9886468894649588
SIDM01237,-0.5720126485975959,0.42755319757678595,-0.6466908268783245,-0.697607100587099,-0.717721443874409,-0.8481891500170591,-0.6825273696131628,-0.916069144526283,1.3990962080591147
SIDM01228,-0.2111436963668429,-0.05508806761780378,-0.7973394599893511,0.24804041289317003,-0.7835366505832325,-0.8774956878671769,-0.76969148035409,-0.98358214435767,1.2766902484952776
SIDM00935,-0.5137608206147893,0.6349465588212252,-0.8701719433253119,-0.08587522503414767,-0.8650890696581952,-0.907303564623425,-0.2872043207625987,-0.9806308169495624,0.8601477761274922
SIDM00954,-0.346022433950895,0.02740726979562444,-0.8405561206281816,0.5381546741142939,-0.8798369095264192,-0.871453430263522,-0.3959431321409695,-0.9748792651350693,1.38386477619555
SIDM00951,-0.21486458658432123,0.6645176613604513,-0.7546651653722095,-0.4789689241017852,-0.82601206013161,-0.8095563256060425,-0.7548685786590138,-0.985677578568026,1.3520367096718877
SIDM00948,-0.7674248641770942,0.7099757143996599,-0.7921318586397302,-0.7374085836981024,-0.8221819554748706,-0.9065150955827629,-0.8304851610228633,-0.7508645401559912,1.8077600401009526
