,HLA-DRB5,HLA-DOA,HLA-DOB,IL3,TNF,CCL11,EPX,FCER1G,MS4A2,HLA-DMB,FCER1A,IL9,CD40LG,HLA-DPA1,CD40,HLA-DPB1,IL13,HLA-DQA1,HLA-DQA2,HLA-DQB1,RNASE3,IL4,IL5,IL10,HLA-DRB1,HLA-DRA
SIDM00136,-0.8369627107394451,-0.7452827747268369,-0.8744780990635425,-0.7996377101747779,-0.6756869152850754,-0.8059365623900554,-0.9496519110733772,-0.65222201139742,-0.9620219462326706,-0.38937665334439236,-0.8209461965059988,-0.900288071114549,-0.8262377790325739,-0.6455122701432152,-0.5570833172500466,-0.7977165253571077,-0.836730229596152,-0.8590979317718883,-0.7411906746771916,-0.7988756576317981,-0.7707844502555097,-0.9558454812157342,-0.7754541310470995,-0.8903939125098406,-0.023434356593552787,-0.9556662774353608
SIDM01155,-1.0272438679839013,-0.8252098283458035,-0.8072151251466538,-0.8760132806409124,-0.7406829943835739,-0.7678605422316401,-0.8864576474618052,-0.7194575488070777,-0.9316676896514956,-0.5390238418245424,-0.8082324179303484,-0.6912395008697151,-0.8504188038318066,1.0391660052574836,0.7542326309796366,-0.4133020880682301,-0.9095202890760857,-0.8747703876296736,-0.8813487493596951,-0.8049126115943926,-0.8500849948147697,-0.893900079035158,-0.7560002587734366,-0.8718598653148264,-0.22962218518521352,-0.046761039909577036
SIDM00224,-1.0230511734681489,-0.737652806830571,-0.8874325362808944,-0.9844197633358721,-0.8669716464946154,-0.7744733232714566,-0.882566375802116,-0.4773034446055335,-0.9043958749888928,-0.7021260873881315,-0.8713530540925488,-0.7432930755615198,-0.8548961587792742,-0.6582117462786343,-0.6494430977012039,-0.8191994350094725,-0.8667831020210048,-0.8981679399784823,-0.7268322595866971,-0.8298726597837133,-0.9392212080580595,-0.9286299053454701,-0.9100329767016645,-0.8095167554940064,-0.5357880556281073,-0.8622581586003355
SIDM00783,-0.905461941412689,-0.6860863383205477,-0.958619429745816,-0.8686116882835596,-0.620719966230755,-0.8559334111795298,-0.8524704589063831,-0.5192683761847411,-0.896068141201017,-0.39971613082875834,-0.8302656440062333,-0.786888174740296,-0.794168655393868,0.04245657689177386,1.108208997378764,-0.6235715690423771,-0.8760174352900569,-0.8097473654936757,-0.8470765516895329,-0.8319366779274338,-0.8692547511178346,-0.8469702905396629,-0.7315525148498814,-0.9589297371828469,-0.2808976289391754,-0.06015892864132424
SIDM00490,-0.8883702992440372,-0.7799083569174845,-0.8880336223801536,-0.8696897248338621,-0.7747934465068838,-0.8846397595423033,-0.9428333933008772,-0.7805220235448534,-0.9746451492696669,-0.580655920505011,-0.7361659086965391,-0.9112528127218871,-0.8118090014615792,-0.1203386900023758,-0.689022542977881,-0.7256430368540114,-0.8980157335290768,-0.8743520887738397,-0.7180274129881768,-0.8256132296593228,-0.976008271582694,-0.9025270360764418,-0.770200269322026,-0.8356574875800153,-0.16433720034992338,0.4774081735455946
SIDM01090,-0.8443623371969429,-0.7349522372813686,-0.7704658157288916,-0.8402603048688904,-0.6664733837063895,-0.8079904601874611,-0.8211516439331125,-0.7115536080700573,-0.9669758200450037,-0.6036541156210926,-0.6416024604600615,-0.6876883048224129,-0.7728224419331574,-0.6340753075482962,1.2015312760771113,-0.7860186961254675,-0.9201413444926674,-0.858778537818369,-0.8316323439362338,-0.7836123054032577,-0.8882925382228919,-0.8900638295617933,-0.8261464469076806,-0.8476362731878397,-0.16931798794572395,-0.9517663233004922
SIDM00394,-0.8901601871449293,-0.6990674591495428,-0.909685958302723,-0.9116445863959489,0.15618340943963013,-0.8519474745186236,-0.8387491830990154,-0.6289325683009017,-0.8952009829540503,-0.43746568047598994,-0.8136624135765527,-0.9063365647010798,-0.8150295999712873,-0.6563886850404492,-0.5350437596339976,-0.7608662816905347,-0.8293086097963115,-0.8872487344734631,-0.7711771026562788,-0.6736203653636816,-0.9376717241905773,-0.9226191115126484,-0.7671430096781584,-0.9027004153928398,-0.4317393248139743,-0.8946089471770723
SIDM00538,-0.8961911313149796,-0.7698577012615102,-0.7887256632478368,-0.6286050776060322,-0.8001386665896271,-0.7665250862378339,-0.9397910670914421,-0.6004461165950444,-0.7785116181153845,-0.39259426470848047,-0.6064829064595159,-0.7408387407574119,-0.8148969086635034,-0.6033552049628774,-0.5054264638277406,-0.8233296014234861,-0.9085891047239406,-0.770938331249165,-0.7028997561280969,-0.7412064383802496,-0.9021352044966418,-0.9638078634653627,-0.636348614474824,-0.7642094170160839,-0.23083171914598608,-0.8216979480692422
SIDM01140,-0.9992879829709702,-0.5203569246202604,-0.8672372490686435,-0.8113796211078018,-0.5101549525969581,-0.8903070351289321,-0.8452052069470677,-0.7050348266606283,-0.8691464609488879,-0.026663657439577288,-0.7087947495660216,-0.867552338761322,-0.8347482309580554,-0.15539159373492709,-0.5825296957532389,-0.5931915027550568,-0.9086929003307033,-0.8946200618127794,-0.7627712345908543,-0.6768462037523951,-0.8735237973518591,-0.9179158683646885,-0.8266441931358279,-0.9259077364720367,-0.2652275407401024,-0.7952472091036379
SIDM00101,-0.9130408224127253,-0.7692209441593759,-0.9218210562765045,-0.8290091759920821,-0.7994685214632405,-0.8946678365810803,-0.875733687988122,-0.6854877939470458,-0.8643333228555312,-0.6734465334194422,-0.8067523715825732,-1.0481506909970708,-0.8820802773894003,-0.4559780098159305,0.8997741337591754,-0.7778964875250455,-0.9241728307274724,-0.8904524762170728,-0.760965015670746,-0.7667081128723267,-0.7838252045065417,-1.0023002901398896,-0.7599860178194926,-0.8924327564438085,-0.41671391198200175,-0.9254350603277247
SIDM00114,-0.9655021248687174,-0.7514578252001172,-0.8377067712207868,-0.889547502319593,-0.7961215264936177,-0.8839257001989675,-0.7893705847323028,-0.7914289031086448,-0.9178533013095249,-0.7671666765025381,-0.7890832974537485,-0.8403327648834062,-0.8804761811379594,-0.5935776702291861,0.6442450728096246,-0.8079112300662442,-0.846048000971265,-0.8812795652479206,-0.847815677340032,-0.75648946268794,-0.9107521950704844,-0.934168119315965,-0.8177281053194235,-0.7666470371071101,-0.6137883587627097,-0.817421690178756
SIDM00102,-1.0255615038184,-0.7715620568414828,-0.931385178351642,-0.8450778920931431,-0.8223081898830019,-0.8887467774605826,-0.9117270216256402,-0.7009836158425504,-0.9478586194952465,-0.5089421922826218,-0.8137017978865805,-0.8344708549450889,-0.8878707517315353,-0.5597683048624338,0.9154383912225758,-0.8117447861497863,-0.8847731338307175,-0.8472637129874543,-0.6854534803287822,-0.7607052146069083,-0.9738574368455509,-0.9235101129839232,-0.8380367282546789,-0.9208346013245311,-0.5015763144893722,-0.8776678388893152
SIDM01122,-0.8944962209909477,-0.8095852596839705,-0.9007339070158585,-0.9702737115821424,-0.8211797847530034,-0.8402746946351286,-1.0000274162981633,-0.7584590471797582,-0.9232788991594469,-0.41751246085888183,-0.904575085837895,-0.9600426198300244,-0.8439244550354582,-0.6495374015008992,1.2273013600114604,-0.8422757205462151,-0.9256134689634489,-0.9855932590699589,-0.7595936407563051,-0.8218520376453026,-0.9122694625380393,-0.8371342700091676,-0.7916291695776925,-0.8958525389847568,-0.5263605528473317,-0.8495030903321776
SIDM00261,-1.1030665980453218,-0.8114311009429767,-0.9028173638466742,-0.8797921749751365,-0.8676021595718613,-0.9982998705013167,-1.0272609571929745,-0.8822881864211753,-0.8927539677902376,-0.5563800690753634,-0.9396737922703102,-0.8169654243848268,-0.9299219490329578,-0.4942413341294835,-0.3643187944896997,-0.6776565292764456,-1.0033209098144082,-0.8340944275370765,-0.8545838697249754,-0.9216189196409309,-0.9801289104940121,-0.8859709585686951,-0.8764568817026445,-0.8747380671299789,-0.4179635249492599,-0.8250355908704871
SIDM00154,-0.9757952246240297,-0.7216390964426681,-0.8859555360174416,-0.9375663961124123,-0.4892559120717661,-0.8351136370616276,-0.9267116424705582,-0.7383907611750883,-0.9594325684426905,-0.6667661409260788,-0.8754391257908292,-0.6806492199314061,-0.8346620829265404,-0.22609766385687838,-0.6495749447582045,-0.7747629421787726,-0.9852870400440236,-0.8412511124001799,-0.8563046618849409,-0.7162073529326449,-0.8419902307782052,-0.8761918161050735,-0.8016826590228574,-0.8811315326209048,-0.32289540715561393,-0.22625213818398157
SIDM00104,-0.7184611190593296,-0.7821769225742036,-0.8305568719547005,-0.8092142470246854,-0.6591472326337814,-0.8365912758326685,-0.9711989023146538,-0.6133438422842713,-0.9028893028774797,-0.6324208701974526,-0.7946885530879833,-0.8646489866525949,-0.8536884635376306,0.14253293953108073,1.1586707549319466,-0.4323460799880599,-0.9157124497001617,-0.9295538803881099,-0.7898776990870119,-0.867685802271521,-0.8268530801115201,-0.9280661908847084,-0.811716135350865,-0.8096607602850727,-0.008877986749032866,-0.656844500599453
SIDM00267,-0.8622838779906715,-0.7500326402054841,-0.798388969192924,-0.9454579050985409,-0.6921110452229128,-0.8865729874574902,-0.9603886369337762,-0.7801442840440128,-0.8535364412080303,-0.5557881863078173,-0.7891344966831333,-0.7797190767535019,-0.7857231704443245,0.0978199138615456,-0.3585853650753377,-0.6469313497203348,-0.8742826144699655,-0.6693689872045636,-0.7493621090273943,-0.7558203914341359,-0.8159918843572815,-0.7791679113836371,-0.7352231552436785,-0.7992310621870361,0.2956394636375755,0.35736818494079364
SIDM00100,-0.9999673094137927,-0.6969176854256026,-0.8728683835492996,-0.8880506368947242,-0.6878367157393741,-0.9045343894789253,-0.9515192742344089,-0.7628842653289751,-0.9570254212644996,-0.6301127862100516,-0.8062640442459703,-0.6508507285584183,-0.8379366521696082,-0.7206477096811604,-0.5362534464657213,-0.8035021085114322,-0.8090252597784101,-0.9130248628978223,-0.8068082970965891,-0.8376156927025209,-0.8702580761277806,-0.8682537901934261,-0.8525789700449199,-0.7862564876593546,-0.1880725650913331,-0.9094464566421437
SIDM00826,-0.9370383023661147,-0.7745440779445231,-0.9023546857443085,-0.9224160837802593,-0.7076551969328374,-0.8789565979712689,-0.9053337915191754,-0.7310263062401531,-0.8541186950829921,-0.51620659616981,-0.848298848679612,-0.9777796351709686,-0.7496442380423788,-0.7074299835816938,-0.6759598775270651,-0.7701310340146343,-0.9456729115737632,-0.8332453786950896,-0.7834106153381242,-0.3654525346141644,-0.9010154872112904,-0.9004405536251517,-0.8530686599896955,-0.7826932039200709,0.311807273994693,-0.8116471997646927
SIDM00310,-0.7927486715191397,-0.7654010227680389,-0.8501296826826628,-0.8588211714701877,-0.7636457293348989,-0.8736955512437272,-0.8657303206955012,-0.6077417246131537,-0.8844134574389045,-0.6291681162641414,-0.7777149537920117,-0.838475237304053,-0.801213171190561,-0.567066941026977,-0.6124336913912458,-0.8106361393915278,-0.8920198952009712,-0.8547664281409973,-0.7761036685098889,-0.7362942082850991,-0.8586112702251507,-0.8666609902934009,-0.825027659319222,-0.7653999760672849,-0.30236342220220797,-0.7823618066310715
SIDM00482,2.008010499725039,-0.18961714793770104,-0.7582996989520819,-0.8725379748046744,1.098202844922755,-0.8570138754373916,-0.8207773281897002,-0.5345718165903995,-0.8286856807054018,-0.4063636816531338,-0.7501655973098192,-0.743162444229799,-0.7121787658974409,3.219781308614157,2.196696239876847,0.8494946227764154,-0.7664466528076378,2.1717525926710937,-0.7524817834272636,0.006978669788780483,-0.8049314785641086,-0.7206724223438139,-0.7490674485448218,-0.6828224646093034,1.6112946479027874,3.092445270961956
SIDM01247,-0.9475116910171938,-0.3121164933115813,-0.01999122411264035,-0.8921478884245667,-0.4288450289663613,-0.8212951349119259,-0.8096914787458875,-0.534587988408378,-0.9038059203727309,1.3889426777115568,-0.8192826993537746,-0.7763594442480899,-0.7930863308083673,3.0797002793152353,1.891096344046701,0.07041597710532459,-0.8598220783218214,-0.7910804819579342,-0.6706672145855668,-0.45737273724571814,-0.7677040871514706,-0.8569823256199276,-0.45948565698878774,-0.8160854958147583,0.2915479650997264,2.785497202559445
SIDM00817,-0.984303849794153,-0.6727934275412847,-0.8793693178020284,-0.8909206994412863,-0.6571232323780553,-0.8765219846696638,-0.9152608661154881,-0.68507940994353,-0.7966203577623522,-0.4464283701382726,-0.771573148563201,-0.9142494198746766,-0.7494699620253973,0.39617855116633727,1.091162696321881,-0.2906794061300105,-0.8198949577516906,-0.8247667263239142,-0.8032405048241714,-0.7412155724535621,-0.7791979694376266,-0.8525631731269284,-0.758452619212336,-0.8020002797969302,-0.08880905402141778,-0.7517641435072049
SIDM00448,-0.883885860952892,0.021670461218919468,-0.513209014714559,-0.88367920547538,1.9596738624331616,-0.9069064853359031,-0.8793226093840889,-0.45841828224016634,-0.8940975144906339,0.4807215742453634,-0.6605800942852585,-0.860148902109308,-0.7382377562665074,3.2961815187410264,2.9649827654190015,0.4351384571137762,-0.6546217799319606,2.2230332297982818,-0.753180369896345,0.5522902408047279,-0.8225653558427396,1.4163272070141304,-0.6351549650847617,-0.8378616516006104,1.9513993950988038,2.9636100015852667
SIDM00086,-0.9653227845322424,-0.7960793119836116,-0.6905311104810495,-0.9219084979902181,-0.11695334499229654,-0.9508865584221461,-0.9193401151920866,-0.7838779013088397,-0.7993803526769772,-0.4035807339536999,-0.8446088056284166,-0.8118175651047006,-0.8102242052638566,-0.431731428691671,0.9112413395021276,-0.5413821652609715,-0.8529145630023364,-0.8410587299106789,-0.8245333939136904,-0.7760425838530945,-0.8466685176981772,-0.8632373136219353,-0.7504984207685981,-0.7799813656839143,-0.1952724812983455,-0.8768451491663266
SIDM00466,-0.9514748003369841,-0.7518925834032952,-0.591636533311741,-0.9491490564998505,-0.6638437298809036,-0.8781601204633969,-0.9165099266778656,-0.768952020586162,-0.8880049804435753,-0.26826727786925525,-0.8885388187656178,-0.9106765661541936,-0.8615010020244274,-0.6261222395772635,0.6192528468824547,-0.8182277813801497,-0.9028954469955538,-0.9160211689833173,-0.7900459914137173,-0.3654007495710062,-0.8101532428711032,-0.8727589952142035,-0.8405348019156655,-0.8235245926254275,0.481876619211946,-0.8591155710991643
SIDM01132,-0.8708250920554962,-0.756322646658314,-0.7974812007686771,-0.8953835063152986,-0.7701225640041286,-0.6984827558570286,-0.986488592390105,-0.6658283329599951,-0.8389425977001829,-0.6003133071336949,-0.8287210435147836,-0.8684774682709239,-0.7183974185623553,0.7353030607417648,-0.603171189395936,-0.10615595696462587,-0.8868456131488994,-0.8678516574249868,-0.8070054069763449,-0.7729134374515547,-0.8109393607373931,-0.7482824425122839,-0.7196622746244368,-0.8146501843278855,-0.09718939550649833,-0.9149393522315995
SIDM00465,-0.9526484106743812,-0.7495725056589737,-0.3609316554575147,-0.8131435640985023,-0.5254160047815627,-0.8549934912846684,-0.9566415862635559,-0.5943172823933888,-0.9475369189584343,1.543367429388939,-0.7378286575102849,-0.7937908439720806,-0.8324491540674935,-0.591320146418059,-0.6669675208765877,-0.8008140111986439,-0.8920441582479938,-0.8194596635091346,-0.7153469944159702,-0.750383348696512,-0.8617978093063529,-0.7498944852851025,-0.7720664867035696,-0.7339449618848529,-0.23500003461329172,-0.8728279537063268
SIDM00565,-1.043361140152147,-0.7896941426440951,-0.6789631849171862,-0.8847079958944335,-0.7498397268298184,-0.8434839570563198,-0.841623637436006,-0.6142890490907632,-0.9177697908063356,-0.5747877878341421,-0.8164520528920826,-0.7551855998717829,-0.8792516918028603,0.7215680270686919,0.17560086796498964,-0.22562297336881887,-0.831048168629487,-0.8762562740433434,-0.7158036509493593,-0.7460217422834294,-0.8299493535904588,-0.85756537022594,-0.8381392455574669,-0.8010455336618236,-0.3300910307137241,-0.39046851250692705
SIDM01092,-0.44909873043082216,0.11142923415369632,0.05255919946427801,-0.9070053121285981,1.3258431394644477,-0.7385332796076015,-0.9223702622781738,-0.7027007321358433,-0.94258724916464,0.1991166546276891,-0.8705471093775708,-0.8863062111699148,-0.8369967624996053,3.457077279801317,2.504009790625273,1.3877887258011057,-0.8432266632425407,-0.6859594118322875,-0.6147817604296248,-0.7417950605837655,-0.8954756712756033,-0.6909140129534121,-0.924226615670521,-0.8052752874266965,2.693729766353896,3.30908114695681
SIDM00218,-1.0108074625751748,-0.7022219656184119,-0.6686328369177128,-0.8616139183401988,-0.6535566093916276,-0.7856738946832335,-0.9711244797817417,-0.6009631224121346,-0.7906860311473776,-0.5055382585152849,-0.7366676045459237,-0.8647633349124979,-0.764495119015653,-0.589368079236621,1.4537492984222162,-0.4893448894215546,-0.8551937930967942,-0.8386591997867148,-0.740225455037456,-0.7075687658544412,-0.862408459609639,-0.8340351557685,-0.5489859213810894,-0.7022699741353232,0.2016233560185462,-0.809394129435049
SIDM00044,-0.8498379444735471,-0.7432188084212459,-0.6967646505984316,-0.8257728116944284,-0.8378571130780137,-0.9423710221213016,-0.6841824250262601,-0.5418552727674654,-0.974489306568886,-0.5793799356328967,-0.7162991769197817,-0.98093743469875,-0.8439290816748386,-0.5443937267928419,0.73696169269898,-0.7790316764487978,-0.7617090350239676,-0.8250907372093765,-0.7979480379581492,-0.5556887374899967,-0.8548491598280611,-0.802153854979885,-0.699648888782665,-0.8240152522039293,0.658873484294635,-0.926669370297605
SIDM00362,-0.8943822717011498,-0.11035802480779637,0.44607908012150554,-0.8504940416292086,-0.8131781592948321,-0.8129642017328921,-0.8200415963737866,-0.4974003662409072,-0.9273369142636576,0.9432467534934699,-0.7869839283838247,-0.9232771382396416,-0.7207318618748705,3.2399783857424906,0.9612131455594999,1.3753289349853803,-0.8523942169232999,2.223037956640167,-0.7653488096589268,0.1422275843162786,-0.824414189804671,-0.7841467924453893,-0.6675707316046193,-0.6617716889910081,2.2584635319140007,3.3585151137499283
SIDM00813,2.8067965465467446,0.31140139392041516,-0.08985131719894524,-0.941123187938114,1.7332819480194586,-0.7906530623038485,-1.0295620579289702,-0.17675075741976817,-0.9049871307620135,1.2741448599924947,-0.7657095999491272,-0.8957627776047024,-0.7986438864574323,3.612662598763551,2.8257494949417716,1.774939114144542,0.34976002789734106,3.075157524850124,-0.7555130536792777,1.2538060031057667,-0.8128818559118446,-0.5820253894260657,-0.803739876176459,-0.6862349272815388,2.6204404687007443,3.467375574448313
SIDM00364,-1.0327274519577223,-0.480359122504282,-0.6719664376600658,-0.8466456872512909,-0.17224204438000987,-0.839576053721159,-1.0345138579278734,-0.6167878587419111,-0.9244270550655818,-0.5234750982313299,-0.8034096059376084,-0.8650687901530314,-0.7277561726627435,0.35680096244039605,-0.4861476872364392,-0.47947195415695393,-0.6679189697123183,-0.7156814580147034,-0.7731947169057866,-0.5390728815018236,-0.9944278901667029,-0.6979931092320603,-0.7364198008896995,-0.6830812245080649,0.4051276513792624,1.4579053378169946
SIDM00792,-1.0154946277924908,-0.8186321316149893,-0.42628806160383104,-0.9189081436642426,-0.791843949889868,-0.9630376707840915,-0.797524216887118,-0.6683774252751465,-0.9119358136745882,0.1681070379585629,-0.913651181346861,-0.928183276910699,-0.8844040916585961,-0.5637077636226276,-0.6271612224635151,-0.7255191697977801,-0.8694021861891805,-0.8351143709548751,-0.7933408310119882,-0.6457323443341706,-0.8221382949112161,-0.8811130214332706,-0.7730125441894844,-0.915811054535972,0.06069793461790394,-0.9165160257208216
