,CYP2E1,CYP3A5,CYP2J2,CYP3A4,PLA2G3,AKR1B10,CYP1A2,ALOX15,PLA2G4E,PLA2G6,PLA2G2E,PLA2G10,PLA2G2A,PLA2G4A,CYP3A43,PLA2G5,PLA2G12B,PLA2G2F,PLA2G2C,PLA2G2D,CYP2C9,PLA2G12A,CYP2C19,CYP2C8,CYP3A7,PLA2G1B
SIDM00098,-0.8093217379975364,-0.7707991972761917,-0.8338431623888513,-0.8866962964849942,-0.4327627086815372,0.24957531727046778,-0.7815406593928369,-0.7623360149127574,-0.8245711665358659,-0.7388703701419148,-0.7839241641631,-1.0871006981609643,-0.748455838038939,-0.8461483251205488,-0.9724714143253215,-0.9427248075776667,-0.8538109541300412,-0.9278092763705941,-0.9814065845386527,-0.8436667260346651,-0.7914140143370911,0.6844580076900222,-0.7952369283994143,-0.9474969425122679,-0.8830572191843253,-0.8012019688903468
SIDM00225,-0.7861963485943243,-0.7978814785004725,-0.8114042451699525,-0.9518279815709536,-0.5107383526608319,-0.6965818948020109,-0.828147009490771,-0.8160004976963747,-0.7226092096174905,-0.6873597157993989,-0.7675949619709778,-1.0111065892788806,-0.8386697252131378,0.8065033107138745,-0.9704706037867933,-0.9752950368294752,-0.8226724429240099,-0.9681057710880799,-0.8335108253582239,-0.8118774403015748,-0.828137728426032,0.9254401398196097,-0.9036879690930375,-0.9183918308775805,-0.8158901601449869,-0.8670791429835091
SIDM00846,-0.8158762345252779,-0.8209286823394575,-0.971122386601871,-0.8732537425981017,-0.3813968856820857,0.33404904496967025,-0.8913762129858345,-0.7824268041378479,-0.7131397259764181,-0.7816542294981876,-0.8744694081357975,-0.9899846097891369,-0.8232823067747475,2.064303042368972,-0.8277984541827552,-0.9531391601696687,-0.9406969527897403,-0.9024437719216116,-0.956815252158209,-0.7976010874560583,-0.8345698835435897,1.187875792704406,-0.8354584988517183,-0.9875591254675629,-0.8484341603334291,-0.761113157610197
SIDM00291,-0.8167099102247223,-0.8394483997252308,0.018124270908650902,-0.926459190732912,-0.6873500714250705,-0.8691392823553177,-0.9452475815041075,-0.8799004126895592,-0.5551675647266747,-0.015695636071887897,-0.9499028499612642,-1.1417963190131593,-0.8232476869827247,0.37134718038988623,-0.975807746435214,-0.9671835437345087,-0.8309182888233402,-0.9283228400248459,-0.8371558865246347,-0.8234519930150102,-0.9195888930468591,1.195677450228499,-0.8539695978609192,-0.9479047064846967,-0.9145870259157411,-0.9035607154909414
SIDM00520,-0.6950709574089919,-0.7727508210290434,-0.7513622219711639,-0.8998750569656598,-0.7413411603559545,-0.7476489179481551,-0.8261350233731475,-0.8250110313811947,-0.821824842136607,-0.7274458808266349,-0.9094547102145977,-1.0375801544731205,-0.8797009249517419,-0.3956605173104304,-0.8665841468498904,-0.9825246428688641,-0.8422725639743952,-0.98972983744609,-0.881939140019234,-0.7841017733657656,-0.8587146035894233,0.8719026239682491,-0.9261706771151762,-0.8771467417808604,-0.840555950333411,-0.8972140828327455
SIDM00003,-0.7324462660155479,-0.8142711523517138,-0.5280130205552089,-0.9168598311967264,-0.6478347982189168,-0.7323802543146601,-0.7495015038674984,-0.8001862795545768,-0.7579881970177896,-0.4925544208544801,-0.7736663723673737,-0.8933843228111797,-0.8255449296474587,0.8310330837124218,-0.7964393987621197,-0.9491262015230418,-0.8441134917163412,-1.0208270798933492,-0.8045638972250524,-0.8430938585343215,-0.8462256125784023,0.5725322033176996,-0.7895871297489546,-0.9176428968945745,-0.8758713847615343,-0.8496842019545243
SIDM00136,-0.6960189458303014,2.0581628443934035,-0.68697939317961,-0.8575290424988352,-0.6016758260323807,1.867490443752855,-0.9761433049057772,-0.8057312341918736,-0.6180295608149703,-0.6767755927882515,-0.8119929365491121,-0.7349368571000683,-0.8380025966354948,0.6239122274351467,-0.8412662412700648,-1.042394045696804,-0.8659589346573356,-0.9413404107052342,-0.7880321092251157,-0.8506406495178293,-0.8437672610093266,1.132922930427709,-0.7753484233276006,-0.935345106065836,-0.7218816618909807,-0.9169335595317961
SIDM01155,-0.8316984121524703,-0.8671363447193735,-0.7887265699913056,-0.900094120733386,-0.5474152834148356,1.1269701728351385,-0.8698966484588112,-0.7725479275718061,-0.8352021581165135,-0.7832805398114625,-0.8188107314074147,-0.8962205203428811,-0.8784767567699202,-0.08970931034808503,-1.0079670945749857,-0.8929324201591617,-0.8117262747397723,-0.981464193939513,-0.8364247164556501,-0.8673102920738888,-0.8947941999545534,0.9265772884003287,-0.8395159532635216,-0.8666073788126495,-0.8810527907799645,-0.9312110826548575
SIDM00224,-0.8459581479650237,-0.8551482715186663,-0.8474297368892377,-0.8857606315765797,-0.6997223890683958,-0.8132065034116577,-0.8956674527091929,-0.5012216354275094,-0.7093978065023095,-0.7359729701264138,-0.6923465585417449,-0.984684913209501,-0.8845155888873327,-0.6786487754194935,-0.8598912269343965,-0.8813941416658228,-0.8036530973938163,-0.9310154040419262,-0.8998485828283898,-0.8391166160151639,-0.8125371422901304,1.4128560235678793,-0.7939333252461553,-0.9859393943383207,-0.772915495080082,-0.7653928505968857
SIDM00783,-0.775400105515601,-0.8860688080323825,-0.6573315255664172,-0.8456170027780965,-0.6152440013775904,-0.7987465332784301,-0.8867639541653758,-0.8911233468483132,-0.8480333311452135,-0.6993671102436984,-0.8253666084778142,-0.3816986354264352,-0.8734662308081352,0.20158746443439385,-0.8277291616296024,-0.8465685488017529,-0.8549937064219824,-1.0474302959027546,-0.7984980142187731,-0.7891284836543937,-0.9262245834526954,1.4390864259523546,-0.8152141453251874,-0.9721574456461052,-0.9352909020850501,-0.8997502661766061
SIDM00490,-0.6955460828095631,-0.7811534573516371,-0.8938555829669413,-0.9346323279366116,-0.7657930554401081,-0.4074959316967019,-0.9022183259585501,-0.8296619555659401,-0.7686948131179108,-0.7444220493474811,-0.8297478136317957,-1.0624301932006441,-0.8445168111475426,0.15669029010860694,-0.9640312445983517,-0.9730812197041561,-0.8635751744481767,-0.9336998103708992,-0.9162212579853332,-0.8465516733919415,-0.8481190538911819,0.6310508971621592,-0.8540892747960623,-0.9535238242764873,-0.8551976400222067,-0.8735908234140303
SIDM01090,-0.2357214621497413,-0.6971515402848092,-0.8212676582045978,-0.9157835376604906,-0.5855325561437975,-0.7125426072087118,-0.7443415348882203,-0.8041119282699937,-0.83062215345297,-0.6888388872814615,-0.775198210171579,-0.8433565122500754,-0.8931042667500999,-0.5071956590232316,-0.9602552181694858,-0.9580752401355658,-0.895588532107646,-0.9443216307176319,-0.7315255711369307,-0.771102041926206,-0.8415617105839257,0.7127602485500617,-0.8850382523061407,-0.9779433297195664,-0.8039920637974968,-0.9450575397511537
SIDM00394,-0.7849376104957291,-0.8159451658223041,-0.8876589394764178,-0.9179457106357997,-0.6281335056358054,-0.7829396089811712,-0.9365379873523897,-0.7484602212390041,-0.7937130738153659,-0.7377732681739465,-0.7327459220306042,-0.7923733660069348,-0.8587640611022471,-0.6293996209831199,-0.7774706471477375,-0.9093439074409555,-0.889843452203783,-0.9050864691121351,-0.8291519242523792,-0.7095746459059831,-0.8773871374717874,1.3039467392047417,-0.8740189579147829,-0.9935756601538837,-0.7970874667226117,-0.9094198885812115
SIDM00538,-0.6695277066202866,0.9509207666069468,-1.0104582021296964,-0.8578008488173632,-0.6991976306057271,-0.5704393825172785,-0.6509763504522332,-0.752748726928601,-0.7484143468404287,-0.7159459579715288,-0.7632722261082373,-0.9374107841328472,-0.8418075118514236,-0.22813950957443518,-0.7967714242614703,-0.8654155947086644,-0.9387384924829898,-0.8501547938004184,-0.6586231928762789,-0.7436084881321289,-0.9000012834004024,1.076193563508298,-0.7743477525662278,-0.950141710673421,-0.7432186278657835,-0.880547828721938
SIDM01140,-0.7377530772774713,-0.8036224912241705,-0.8092207255365419,-0.9562134943190824,0.8796419540524795,-1.0044495599501608,-0.8339355518624406,-0.8241887232720768,-0.8719970872032563,-0.7705839325780166,-0.8445083986662368,-0.9461705386841497,-0.8848454325619082,-0.5180585386796569,-0.8269565981497494,-0.9099693017379815,-0.8535636125416554,-1.0883373896148127,-0.8530373164942661,-0.8743021239119577,-0.8480056813359744,1.1367521212997378,-0.8622641253128793,-1.0203724815628124,-0.8881162984184733,-0.8622236061645338
SIDM00101,-0.6673951021271844,-0.8211212708761282,-0.2330274362839079,-0.9355835104454228,-0.6716236165483223,1.2641535755987423,-0.8959971095072697,-0.9255183912234578,-0.8501105798253216,-0.7184418050035271,-0.8267396060711432,-0.6146675226430114,-0.8925532312563326,-0.8862084974976618,-0.9085893303259145,-1.0327064734821911,-1.02395973208564,-1.0019297152828375,-0.8652584657795496,-0.8286328748969243,-0.8482542369201699,1.5806438771496905,-0.8903201371231527,-0.9652919173008732,-0.8927153860752969,-0.9332494792865859
SIDM00114,-0.5179680679086858,-0.8248875558891527,-0.8065036730567732,-0.8463907781108692,-0.7166456825542264,0.24024723876525855,-0.88617161032391,-0.8547785041421597,-0.837275309085835,-0.7514217759267084,-0.7925772867749955,-0.6310044508358704,-0.94711581162325,-1.0586795910278033,-1.0052533434569673,-0.9240820195400253,-0.9078305337954093,-0.9388078035844264,-0.8810660866799181,-0.8207323581238771,-0.9069364781392176,1.2657011316603455,-0.8401711535352151,-0.9948044030587292,-0.9100161250045169,-0.9279727006839891
SIDM00102,-0.728164974980054,-0.6159598461421076,-0.7034934301470057,-0.8794680753102448,-0.7072648869188958,1.839315996725873,-0.8804088606534117,-0.7979105137639798,-0.896742958477859,-0.6558610146500187,-0.7869654418842351,-0.9748178773990452,-0.8761527648106313,-0.2603661384555167,-0.8708662409558044,-0.9915348777486628,-0.767492425708674,-1.0177031724837307,-0.8334400505920826,-0.8294395093534148,-0.834584409273098,0.734991794306613,-0.7892094605140448,-0.9383064979137721,-0.8390208841053,-0.8172389833233794
SIDM01122,-0.04605264686486977,-0.8500570942310355,-0.9119540354840245,-0.8686411350552563,-0.6816061323229323,-0.7406319924679322,-0.7942644904312428,-0.9023250599226432,-0.8073888958262648,-0.7702763762449887,-0.7470731852712553,-0.9345803473173766,-0.9440342226509344,-1.0511572341063187,-0.9470087448488557,-1.0046069158655404,-0.9266913850729025,-0.9570339027348671,-0.9171001969464259,-0.8188191259694403,-0.8230432050859866,0.6795728335053146,-0.8868011886411142,-0.974549836181176,-0.8682057030446294,-0.9669144503105626
SIDM00261,-0.8471044166058038,0.7372606912170775,0.07171512752796372,-0.876745342809436,-0.3703010264770009,-0.7407083613891614,-0.9819939987959924,-0.8583973144057055,-0.9061766326640338,-0.7375843679332361,-0.8753733825802791,-1.046002756832334,-0.9579141246059687,0.010187701414508114,-0.9697190253513726,-1.0523976640820303,-0.8363975498837591,-0.992334777447192,-0.8306708151367669,-0.8675035509259637,-0.8739775217761253,0.9857969968200175,-0.9113764734686883,-0.9952493357009041,-0.7512140615572025,-0.8944653609726341
SIDM00154,-0.7376294996594973,1.0050882891075619,0.19003675907333661,-0.9124440008550047,-0.712337363906254,-0.770831669709777,-0.8982548315098745,-0.7918046801080354,-0.9215492632575191,-0.6890248116989117,-0.7994265379549896,-0.938953059168572,-0.866109184021408,-0.8349953652717956,-0.9125907389154059,-0.9488046255147183,-0.8766380992617933,-1.080423880659513,-0.8464259350762454,-0.8426702353331627,-0.8642579461541257,0.602595936550875,-0.8284566666333936,-0.9565790484701243,-0.8738267308641243,-0.9157624774299776
SIDM00104,0.21673829797699795,-0.8064341060509257,-0.9187783914359224,-0.8305332072206869,-0.7035914037315651,-0.5078990962969077,-0.9677127002244444,-0.8271296966536822,-0.8162460636832077,-0.7228998624439185,-0.7287677402978707,-1.0043873104812149,-0.9022468096494073,-0.6805396488057683,-0.9040423914464711,-1.0078943720309892,-0.8419648635264848,-1.0570322067478415,-0.8536058339183153,-0.793373462543049,-0.8275130664353502,1.7358170101936568,-0.9125137518195581,-0.9893294119682835,-0.8025216317089255,-0.8986359310232727
SIDM00267,-0.7683943031136757,0.0016348710507810085,-0.006273479827531586,-0.8047006917243876,-0.5838957540382053,3.674947476472431,-0.8231312181903712,-0.850159948272167,-0.8391163678418246,-0.7604842959157673,-0.8434256998765446,2.200034036015624,-0.9233805981247023,0.9274146811637483,-0.9324358415332271,-1.0120614473797154,-0.9254902019631482,-0.8918562245293252,-0.8188419852534995,-0.8032958580280851,0.4363277143938903,0.8080824979784463,-0.8129621741998796,-0.9606178641499584,-0.8609963695933658,-0.9253086284222677
SIDM00100,-0.7707541617234084,-0.7091760494309216,-0.4874314159410955,-0.8698090970195171,-0.7447997528295195,2.6361122134051267,-0.829668332492801,-0.7679725134431804,-0.8828837654727095,-0.8028674012346841,-0.7733494679686429,-0.8672683755924687,-0.8991046103307094,-1.0029643007773343,-0.9414667714622096,-1.015059928379716,-0.870579890051034,-0.9715435558738543,-0.9181122138975889,-0.8352246753331447,-0.8543187735837813,1.8488677991238303,-0.87401571352359,-0.9570932211870791,-0.7475942171261174,-0.9403902606551023
SIDM00826,-0.7153825350252354,1.6481161560998785,-0.47876641548308313,-0.8594961999238896,-0.6648306735316425,-0.1712179249678485,-0.9311786625105238,-0.810813003456523,-0.6573344865287067,-0.6780822714453973,-0.7497279490156904,0.8555556076691327,2.118023061136694,-1.0028524137989927,-0.8750740843268634,-0.9252277838271182,-0.8999821505516904,-0.9744418609241736,-0.787439335681459,-0.8121620345671342,-0.5789993510686099,1.3000725642072797,-0.79501140643111,-0.9389744790964608,-0.8298148419078273,-0.834273314279085
SIDM00310,-0.6748935987912293,-0.8361033237321889,-0.69706826361052,-0.8725465525670094,-0.6632027291291971,1.9027358220741313,-0.810893625215554,-0.7596032507057874,-0.6049452048259805,-0.6949328332403587,-0.8824532830783167,-1.0877479864493556,-0.8078413131570489,-0.7994105573995475,-0.8474003649909095,-0.9814502347652913,-0.8802990100824681,-1.025154107955429,-0.777867479522141,-0.8061090092377242,-0.8492647869457142,0.39171034249680753,-0.8844543532240828,-0.9388001401153626,-0.8638317219674022,-0.8777841592604267
SIDM00482,-0.5324420906208918,-0.8181992357226606,-0.7907765312091694,-0.7998972810812379,-0.46440856193754254,-0.7657012611907197,-0.7994892143197545,-0.696355964995781,-0.6238697741872063,-0.6790394805953408,-0.7322697289220756,-0.8315847391136675,-0.8274177286618578,-0.9371485437724018,-0.810323570697908,-0.8954446656991113,-0.8070129918150771,-0.759922003721266,-0.6247835678612391,-0.7419118553144772,-0.8221555615441527,-0.31773959434249704,-0.7389040361071714,-0.979710813508848,-0.7607505597196302,-0.8238717766306151
SIDM01247,0.17252709929915852,-0.8280091893592664,-0.5975205202520043,-0.7363333054982705,-0.6355883384240633,-0.9139883356790184,-0.8707840369629136,-0.784570230417556,-0.7826456343809485,-0.7249336592666579,-0.7198990161095331,-0.6046157295065849,-0.8652479946193773,-1.027686193908418,-0.8600336805887481,-0.9400839290803525,-0.8485166990274179,-0.8866149838710932,-0.6841640719816796,-0.7672507537994886,-0.8459261866147059,1.3844521514948662,-0.6288281597424171,-0.9586731685328784,-0.783104385163896,-0.9650879067822566
SIDM00817,-0.7357655630506603,0.8436099899768419,-0.7419757973401646,-0.754312088241541,-0.6630705259030653,-0.10326573116770073,-0.8512354908823189,-0.7924933669562729,-0.901758677537821,-0.6681252450452199,-0.8010727305774971,-0.8551884459453323,-0.8316824441788054,-0.8716005825209844,-0.9365712113131474,-0.9890188961285397,-0.8497077288386706,-0.9430736574603088,-0.903719650459403,-0.7493412190196761,-0.8627689323183717,0.5883717356662869,-0.8521023215022352,-0.9992025853066394,-0.8955160520121029,-0.9057231475980101
SIDM00448,-0.5824570619996027,-0.809080532283172,-0.6708210337026294,-0.6940851385933009,-0.7300629459753067,-0.9775487615871925,-0.8181502473943029,-0.784086616710567,-0.7618557542766419,-0.5248206204364745,-0.673999140951472,-0.7482230090159852,-0.8293868964049822,-1.0441155349894171,-0.7142643470822118,-0.8769258467954729,-0.7387105010373811,-0.8372852142769205,-0.708955801645467,-0.7578557063130639,-0.8294709782439041,1.2209322969947618,-0.8019237021119956,-0.9539096766402247,-0.7613909220329398,-0.9073403075056354
SIDM00086,-0.7658005749433435,-0.7614653294022061,-0.8913748453653075,-0.8255785648254264,-0.7070014466683866,1.3424851749002202,-0.8400175312905834,-0.7909649464969255,-0.9109125071096633,-0.7547341637617487,-0.8002063665512481,-0.9589427140588851,-0.9050073582403115,-0.9219384443051302,-0.9338928484327895,-1.012432440542209,-0.8240901628113023,-0.9309504406567594,-0.8550441210709939,-0.7802982009506759,-0.8398829506473195,0.34882184835087265,-0.7439620610955147,-0.9716258018375942,-0.8558088917729441,-0.812452813985552
SIDM00466,-0.6824356335035825,-0.8517379702801202,-0.008480945626164657,-0.8186644255990009,-0.7490864568194786,-0.8463150279687393,-0.8797884382025719,-0.814110292874503,-0.7921471931907812,-0.7631723119445962,-0.8442497198842676,-0.12826483392116544,-0.9104537982014718,-0.8662228604854729,-0.9070144594200734,-1.0603104833382193,-0.8740001326223918,-0.9381231884921254,-0.7476462456929123,-0.8456265611349012,-0.8892679240902486,1.157349866833208,-0.8303402208539947,-0.8799083459325129,-0.8234094156853571,-0.9252876477243337
SIDM01132,-0.7506872827339087,-0.7908455204166848,-0.8061857703490775,-0.8704009491539407,-0.5797738440082245,1.517435694236324,-0.9054466442859981,-0.8275130712269667,-0.8102015569919778,-0.7198965463226819,-0.8042642750685131,-1.030087458779403,-0.8970121983627302,-0.9164479560052887,-0.987848199295655,-0.9321034417663434,-0.875359620658999,-0.8643098731646169,-0.8328434441453972,-0.7766188306014492,-0.8329725381458434,0.5884940924185512,-0.8280986665178867,-0.9496895374840744,-0.8248512350240306,-0.8520860952085537
SIDM00465,-0.6670229985485543,0.16175051248235567,-0.5362445680629676,-0.8061303860928888,-0.5906687704201109,-0.63474921213665,-0.9806043444977962,-0.8204641577120803,-0.961996183949133,-0.6627948134054785,-0.7851842369380982,-0.9589484303440796,-0.9275817505528883,0.9220180002170467,-0.8301698558113897,-1.0061626678761046,-0.8937522773561045,-0.8682820864197262,-0.8223435578465679,-0.7567487018641608,-0.8246256792872472,1.4219493138015682,-0.7893489118087007,-0.9803931386403805,-0.6890189910745349,-0.9000628075294337
SIDM00565,-0.7919392734305845,-0.8495445028430519,-0.37565647961600096,-0.8614003747804361,-0.6527245165255618,1.6138685730009914,-0.861094388497619,-0.804163036730674,-0.9217321496492752,-0.7130208255207808,-0.9238235264880911,-0.773913541326689,-0.8855415925344465,-0.8177841256918509,-0.9303646144242428,-0.9945031712790754,-0.8680861048071787,-0.8018398593790016,-0.8147907974874132,-0.8360425419044081,-0.8625383956928983,0.7503584205775046,-0.7990258734391581,-0.9900951455685522,-0.8124658946514178,-0.974338049935138
SIDM01092,-0.7488159457708837,-0.8263776032004427,-0.7782666705656871,-0.866471108304641,-0.773132896200898,-0.983739578646602,-0.9398361989798064,-0.7722327785966053,-0.7994724529681867,-0.6436868852866556,-0.7564360107123289,-0.804051044237547,-0.9023978893076616,0.29761836479551573,-0.8822400541151807,-1.0025767592783188,-0.8614376751736086,-0.7573108300317153,-0.8757221203516613,-0.696358487463892,-0.8445550472532944,0.4331849306499529,-0.8340156929919875,-1.0124311544020987,-0.8575345226186941,-0.9974921678705807
SIDM00218,-0.5138016048396302,-0.6633811454597492,-0.7612858269582046,-0.8304183065867266,-0.6998907462401772,-0.8803940654552763,-0.7561426399540837,-0.8053389496741803,-0.814443451623122,-0.5604637291815294,-0.81469300622508,-0.865452052377906,-0.8367460461864591,-1.0092919979935957,-0.8481892281692548,-1.0169269260474383,-0.8345309147347989,-0.9440451755673546,-0.6050536458254231,-0.7323963679587515,-0.7297535630244184,0.7352346651293953,-0.8003760784377663,-0.9408949190615793,-0.738870562797027,-0.8802374960660015
SIDM00044,-0.7181416050240254,-0.7040060999666515,-0.933240404530504,-0.8311321710810408,-0.6054624764930849,-0.4682742260064861,-0.8886813302970654,-0.8218825847607313,-0.7778472768710242,-0.5766203623001315,-0.7468356962614632,-0.9161052812137193,-0.8602322141914214,-0.844723009723184,-0.8532966282965445,-0.965508994553092,-0.7775778768129213,-0.989639433926863,-0.7743540324049311,-0.6842655485688448,-0.831422252598645,0.9319742157341979,-0.8408582305512748,-0.9685290863563036,-0.9012476050873321,-0.9421822430414818
SIDM00362,-0.6523555163229967,-0.8010714920210777,-0.8923021410828262,-0.7053494928554295,-0.532915671686627,-0.8552120663801875,-0.6830321243380852,-0.7239251155363532,-0.8164979503376908,-0.6608350377468213,-0.8076658186131473,-0.750111760447334,-0.8848436142530677,-1.0011196203648003,-0.8586924516805737,-0.8963923328140361,-0.7831358832313094,-0.7980115324557956,-0.7945275141128373,-0.772145410488835,-0.8328529810794572,0.8688997964664793,-0.7726759754139157,-0.684230363437665,-0.8246302448176978,-0.9135100754084577
SIDM00813,-0.7553894673658603,-0.8473778865910161,-0.7082586199927062,-0.7959933054425168,-0.693703535761459,-0.8870944725216566,-0.8899647636045249,-0.7910533776078786,-0.8765159179261884,-0.6995995187112178,-0.7732108674687862,-0.7762013655216194,-0.9071199390959196,-0.17014853842669472,-0.932551769931011,-0.9907388366675918,-0.8445559686271628,-0.8896991578048413,-0.7918308756455598,-0.7810121182434684,-0.8601075602506194,0.6179097931422886,-0.9059616055906229,-0.9272540237715022,-0.8499132163981856,-0.9403601121513123
SIDM00364,-0.6370088117938939,-0.6618461365030199,-0.6254968735005013,-0.8131714018736849,-0.634231744925569,-1.0051233792732281,-0.8414211825431624,-0.8059870180350039,-0.9036214476289287,-0.685293021220672,-0.9175217391975481,-0.6720074958309462,-0.9069055408104589,-0.8002728420217988,-0.8803297316904418,-0.9220245536761899,-0.9443633138526626,-0.6428181259595412,-0.6537878283328756,-0.8079097219378093,-0.8824446009754587,0.2691844543465571,-0.8242769030490114,-0.6672642928429463,-0.8076134312560007,-0.8783754924383822
SIDM00792,-0.7120971965969108,-0.7863693509063603,0.31115719893371707,-0.7759145314426478,-0.4457332248094793,3.0751728511282583,-0.9391478162202852,-0.859189167886523,-0.7956272840795127,-0.6644280767332621,-0.9229231363837629,0.5672136493234813,-0.8963297822784013,-1.079919413931832,-0.9956840718007992,-0.9443240522024136,0.04381066695610645,-0.9047783364600558,-0.8756572134685674,-0.765237441999277,-0.7613152029202498,1.5360682078190115,-0.8601734832701204,-0.9623365956703858,-0.8682654477940728,-0.5437082010840433
