,B3GNT4,B3GNT2,ST3GAL6,B4GALT1,B3GNT5,FUT9,FUT7,FUT6,FUT5,FUT3,FUT2,FUT1,GCNT2,B3GNT3,ABO,B4GALT3,B4GALT2,ST3GAL4,B4GALT4,ST3GAL3,B3GALT2,B3GALT1
SIDM00098,-0.7123425731996705,0.7988133924706196,-0.16191597941050187,-0.6403129657732293,-0.7920812163822822,-0.8555535299048784,-0.8367895697693529,-0.8427046378125984,-0.8161915701621514,-0.7354838018602667,-0.8444982665094113,-0.8045630834213032,-0.4434401966200809,-0.8070356961959748,-0.8408339243400647,0.9996650450675947,0.7291469270754659,0.4293810615479947,0.5392458918727031,-0.5170790118680592,-0.9117064530786217,-0.8693281955249758
SIDM00225,-0.7024105522036941,0.8919825836836546,-0.05082554881304165,-0.4776591140391386,-0.24313747569217503,-0.8339381318162927,-0.8916427959626291,-0.8883255556094577,-0.633531503262992,-0.8369058349240002,-0.8170235938587916,-0.7203654720418424,-0.7645638996374271,-0.8265715055613101,-0.8538231888545935,1.2482687694717545,0.8171090738111397,1.6366216221874812,-0.07995801058797905,-0.4330646274060339,-0.43913196293714796,-0.9275405478693585
SIDM00846,-0.6852144493666645,0.5980051103297125,-0.545853029258826,0.4710401132226712,-0.5967055545100929,-0.8956001820045003,-0.859118498484631,-0.8399959952174024,-0.7776645149254143,-0.7769431851282597,-0.8663687301214058,-0.7106520648910924,-0.38434562886284074,-0.7821537121255497,-0.74894076484022,1.1751591404327857,0.9125910424577557,0.7402316011570423,0.1956876519613187,-0.6579796959210633,-1.0148338114323197,-0.8428200508702293
SIDM00291,-0.46657884849130127,1.3410994120784887,2.230414507369188,-0.6178909416816706,-0.8547417135624179,-0.9306986556484539,-0.9936112849751892,-0.8220188421325492,-0.7148812962407202,-0.812435947543081,-0.7616266773603638,-0.6117691720887852,0.45173210894339305,-0.862891990409324,-0.7728141144165827,1.8357271239113122,0.8501832626716613,1.8328768073089157,0.7604005599042171,-0.48826907118519064,-1.0205595281522388,-0.8909581168183154
SIDM00520,-0.7478708283587421,0.6852777684216385,1.2430429173764515,-0.2402418215553443,-0.3775724885205167,-0.8425752477285697,-0.8255682787462053,-0.8702574012186087,-0.7748803368512113,-0.8228477102067451,-0.8157910939847758,-0.6332245299320416,-0.5254585504363073,-0.8348544368356567,-0.8394753589841467,1.018535725819275,1.003472522343032,0.12523252738457064,1.3673284698328716,-0.545329893944725,-0.9898714900861739,-0.9515176112026709
SIDM00003,-0.7440999510550281,1.1567427122541498,1.8792223174590992,-0.5707995154448496,-0.03738948571791364,-0.8229020141826573,-0.8279856539629421,-0.8580865991919184,-0.8009298848689204,-0.8263098065595856,-0.8445226468159316,-0.6434382007358408,0.14272871423784564,-0.8104301995078369,-0.8371919949709001,1.0454754486915374,0.9068782468147681,1.3322781560699806,0.4990696165061639,-0.5914414826278696,-0.9611782161285564,-0.9004823011668917
SIDM00136,-0.5583599646220204,1.208994939827941,-0.6482055473715901,-0.38863974280614344,-0.0730861811698304,-0.8380033375583872,-0.7890114717033775,-0.7620146072922056,-0.8732167871381804,-0.20112723542025263,0.02210103713500742,-0.37126666378003437,-0.6067585615656271,0.37943319644520324,-0.8999394878793161,1.3589158295889687,0.7692654111662593,0.8520243638058499,0.8321591961334147,-0.7509603473061479,-0.9652690160762569,-0.964258078779675
SIDM01155,-0.7987779378482621,0.9078410153187259,-0.6412526006920495,-0.49014228603737686,-0.2660657446340566,-0.9200580421258726,-0.8591151637065502,-0.8773807121212401,-0.8580571520392937,-0.7500129474943784,-0.7493316554105596,-0.607138128699347,-0.6396321019789544,-0.9559407057000343,-0.8401769336647478,0.8745927156330984,0.8901288012945835,-0.25175828552438423,0.4037491926185558,-0.5753715681198384,-0.9646985809957244,-0.9398033257042357
SIDM00224,-0.490668215795568,1.596897505579783,-0.3245068325512445,-0.6229843074681573,-0.600053238734107,-0.9054724628167784,-0.8324501465404464,-0.8361722856563487,-0.6510835809990253,-0.8794665158108118,-0.8885144160782393,-0.8295389057694784,-0.27954126886929687,-0.8157993579472469,-0.9140789165634068,0.5768836216739014,0.3312865599440875,0.7677869971697253,1.3731954350611522,-0.6741855305648812,-1.0178543776655304,-0.9441370996611962
SIDM00783,0.03122384932826549,1.4760050294550913,0.0522465897252095,-0.6685473042693592,-0.05241662802168772,-0.8881765408090202,-0.9214551747276828,-0.8231424967478022,-0.8151767966804697,-0.5622613715627748,-0.5632340297991852,-0.2909068655898335,-0.7985413389939534,-0.2119643191567334,-0.8679052978498748,1.450544353453874,0.7986778018836169,-0.4982261117846697,0.3039292951825958,-0.7263823512879334,-1.1075910290789543,-0.8440162831512162
SIDM00490,-0.7585388712193727,0.05043100584953551,-0.64586727692031,-0.1688101810895138,-0.03508555690935077,-0.8083359876585919,-0.9029831800837353,-0.8838984247280234,-0.829637951687287,-0.7421755731038371,-0.8085019931104259,-0.43501017119332214,-0.6896902564114464,-0.8350522079960071,-0.7470107677457273,1.0064279051579834,0.7280584889969085,0.31517338525911565,0.17372060575283443,-0.6367166782737119,-1.0289168073739037,-0.9336068174242662
SIDM01090,-0.6847682036465255,0.8798490873915455,-0.8399651812567785,-0.6384761075983676,0.13495848501562374,-0.9104764558312579,-0.7079296617118831,-0.791240058952169,-0.8979089787706334,-0.7133638558498169,-0.7466742999415422,-0.16463750688052886,-0.8103452168377565,-0.8027741215493019,-0.6906325909496526,1.437382341569462,0.6811012421414704,-0.21571309282467963,0.2918307031694751,-0.5832114532626972,-0.8170973041833766,-0.8886905706150864
SIDM00394,-0.44756783634389047,0.5691286411687393,-0.5958712671571619,0.3467643409275593,0.1051327264333889,-0.9065717231549782,-0.7835336493090691,-0.7844440717121878,-0.8050673734413178,-0.7107327322677472,-0.7390639320204683,-0.2297327413496557,-0.4669914447226426,-0.42073707505139907,-0.7810421929386564,1.4278254155628332,0.654261014120616,1.5725922745007632,0.8271593889723194,-0.6157394415838451,-1.0181410198982634,-0.8988847900387804
SIDM00538,-0.7579413943311932,1.0238964719722299,-0.9026486948192634,-0.4282740633836229,1.1173831860906107,-0.8898535956974745,-0.8330020299420675,-0.7616383422178501,-0.46734494818800015,-0.7224786418338465,-0.6454593080813347,-0.6238184614262153,-0.2670889973575502,-0.3053724518813846,-0.8090154164214628,1.4312643008141661,0.41310883204184184,0.17220576313669797,0.34117727937296655,-0.7412464836660411,-1.0187021714506967,-0.9627814527173119
SIDM01140,-0.6125058792490254,1.329942501239183,-0.28325445492483076,-0.6812631730865657,-0.2644788737542607,-0.8991548488132393,-0.8090968606817944,-0.849059958915966,-0.9144925471866767,-0.7957001030572193,-0.7460926757405439,-0.5446443012609622,0.19353715352974052,-0.840516945716666,-1.0120950442384127,1.2399493569312265,0.9861252716637727,-0.4069451910551758,0.5629508955815363,-0.5347740165654645,-1.0164448476683479,-0.7359225102777534
SIDM00101,-0.5600542798893505,0.4989319783671904,-0.4157676246741361,-0.6512952773188722,-0.5289542393393023,-0.9404754306163531,-0.9312108330655032,-0.8526623615336407,-0.9451470467476136,-0.8277028925403225,-0.8395849758968797,-0.7183988699684475,-0.2775837853630957,-0.8350676775268124,-0.9549995719118607,0.9425778877051366,0.9596505127366075,0.42426931539371543,0.2639472970383182,-0.5492203883047909,-1.0045779291836316,-0.9800055244053545
SIDM00114,-0.30881698579455624,1.102032015215488,-0.72901899690893,-0.3390229785309599,0.01624438063445965,-0.9038628388105179,-0.9143130666132078,-0.7163611266231087,-0.8446696905992496,-0.16934399636179487,-0.6927109065942656,0.09912116303930403,-0.1587891657082693,0.008197582963244354,-0.830750626341025,1.3728783212716371,0.8039597621618318,0.6515128638147665,0.5619974146475748,-0.8336040658125475,-1.0367695703514477,-0.912004301373436
SIDM00102,-0.46573566825431484,0.3444039450891229,-0.4124701156458967,-0.4672995125795169,-0.4828559178121891,-0.8787057922921983,-0.7793533732219992,-0.7301081686907621,-0.9131478110966189,-0.7270667704454055,-0.8122109383239523,-0.5586777616502234,-0.716541165208679,-0.7992462228673755,-0.8278695569857165,1.1892354965233352,0.8075210264799095,0.08096839633789853,0.37098827325711914,-0.7618823331015635,1.4970260381619862,-0.8597869782597654
SIDM01122,-0.2621119445495059,1.0614524679349875,-0.6356532893981585,-0.5726922932587961,-0.7117275059059613,-0.9041120716791428,-0.7591926634587329,-0.8458731039060056,-0.8683449420953548,-0.841643067312813,-0.943323257579346,-0.5221921772400951,0.12771646825432117,-0.923737590334529,-0.8478927582645348,0.8660093307105714,0.6049531414022189,-0.30550986582475126,0.16722996000692875,-0.680850456779777,-0.9145091919117294,-0.9298211602540368
SIDM00261,-0.5122516643377371,0.6840743284709372,-0.7624653618413934,-0.7556870762049854,0.027779069827197665,-0.8577587548171679,-0.8797467883445907,-0.8773122473505618,-0.6659841497480797,-0.7994228792495918,-0.9303003291623702,-0.7764306648249164,-0.7569657557055314,-0.8357887458917249,-0.946707537389943,2.0291968169354906,0.8681027125781867,-0.226114623310539,0.29438450777288905,-0.6937534253127134,-0.987843971254648,-0.9872468891072766
SIDM00154,-0.25119630886307126,1.4777177699201276,-0.634442316135817,-0.030208153130240126,-0.3599564796256789,-0.9076751664728729,-0.8016826590228574,-0.8484753154646287,-0.8410188669293368,-0.8264237070239983,-0.7854375847754937,-0.6752290977167915,-0.29929849907637024,-0.8507171134455069,-0.9010773769421839,0.9155123160228482,0.6854366300668285,1.086779739687743,1.4320817094284741,-0.7475581677076188,-1.0273386071244217,-0.9979238732957239
SIDM00104,-0.5270088513928147,0.6248610675115305,-0.17440325548933436,-0.35124515405220863,-0.2133168551329349,-0.8702908285032903,-0.718574848210954,-0.8274247078593666,-0.9271349579599231,-0.4224659035467191,-0.7893697682942309,-0.2986510609257104,-0.8047465895591156,-0.7672537026236956,-0.9224796606859617,0.9876006451787385,0.9070447168686315,-0.04651337949076794,0.8449171919650998,-0.26769129091381394,-0.9965035743145072,-0.95232550196769
SIDM00267,-0.6199109780466022,1.2975168274620694,-0.6787387205208759,-0.5113299596517354,-0.06567357105483998,-0.8463529998614756,-0.8538591114914912,-0.8078129668493217,-0.6966111572389985,-0.6101433067791361,-0.14514335794735725,-0.20224283543738017,-0.3440166236024108,-0.679460564897073,-0.7856523881784624,1.0106389887962732,0.49885230233834005,0.69483623017766,-0.03667639244696798,-0.8107315312332736,-0.9872339052032828,-0.9472516721291476
SIDM00100,-0.460932636317751,1.3465117410741236,0.2750183039590633,-0.3513873491661947,-0.2234510527390461,-0.9230332188905869,-0.772289082750251,-0.8265280841194946,-0.8607916931375512,-0.8167310839115332,-0.8370097726151206,-0.538712398842004,-0.7944087791462648,-0.8555819191529761,-0.8194656444544938,1.145147164082329,0.6156735491086338,0.027074412928298083,0.924978227987198,-0.5809683156414647,-0.9015568720636381,-0.8366441244283112
SIDM00826,-0.6151919057346168,1.5696909178836207,-0.6991930720909725,-0.34419003951271676,0.46109494271598883,-0.8975132051755571,-0.7227416035985277,0.6157947340739294,-0.7844412665477061,1.0042585639932984,0.05811175471414171,-0.17155230098873764,-0.5732828018795469,0.5443083361680837,-0.7619275092694594,1.3348632192155205,-0.06722289548039587,-0.37977293399536916,1.0717611451011406,-0.7939947397426729,-0.9417857099569215,-0.9361082524193107
SIDM00310,-0.7214400812949427,0.9819256415423451,0.4410267175326392,-0.429578886770424,-0.6132004196178038,-0.9047514115284994,-0.8085107114135627,-0.8575780467965723,-0.795058956299793,-0.75230936951752,-0.8535618601581966,-0.6824519275362864,-0.566264824635904,-0.8447369831854338,-0.8555421805519722,1.6449828401350801,0.8606268921189144,0.36470347143873527,0.680146927657176,-0.7096425462851212,0.7143248807209589,-0.9239847266697409
SIDM00482,-0.5796373741154809,1.7475073763469389,-0.7558106988006082,-0.4103769031346329,-0.7298091079227519,-0.7654046931725915,-0.8012672459406959,-0.7477264567303668,-0.6728073411792274,-0.7232760662656154,-0.7648712689651864,-0.584782488383525,-0.5420016566382866,-0.8510808853836599,-0.5189851589090181,1.511892021314516,0.4381506318360177,-0.5442209353948118,0.4438425791048661,-0.7554904561148477,-0.9341838452789594,-0.8366761383146297
SIDM01247,-0.482321468165909,0.9671619475044394,0.85869505491796,-0.5033702785191917,-0.8011446803948212,-0.8216365376364807,-0.8081649211693985,-0.8197757027653805,-0.7310801971081172,-0.5866278069097756,-0.7434017106525733,-0.46086638722332834,0.19846137956366094,-0.7663436098596682,-0.6266468801974326,1.8274315365665776,-0.04862230580062724,-0.7721362557466545,-0.0017964108737208383,-0.7378500384232016,-0.9678117313531792,-0.7992723500351158
SIDM00817,-0.08841486856980077,0.2782934848255437,-0.7612909471920452,-0.34607459804976726,-0.2363079064712614,-0.9134105424933113,-0.8782584415290795,-0.8519937551292704,-0.6939370209986744,-0.6434857487840874,-0.8382809649603697,-0.5609949437255861,0.19917227879610497,-0.4555962589580187,-0.6587772748141721,1.2857734948766086,0.6263911831123701,-0.26240848747662965,1.332428072314498,-0.7081081872023943,-1.1017591226247256,-0.774987844227259
SIDM00448,-0.5171693645793957,1.8301464509682859,-0.651436676251715,-0.06647275046091804,-0.5820944680524035,-0.9077471914829761,-0.7469810006948715,-0.6962632011461256,-0.7346120316386714,-0.45270023679214927,-0.6752520946700029,-0.38647301254865624,0.4252969859426391,-0.7417154927046167,-0.6150404635455815,1.244986756496565,-0.020134854219495624,-0.5835721372449616,0.2589989320385481,-0.792380132760286,-1.0283263908655966,-0.8321613039064897
SIDM00086,0.2327459186235193,1.072986404195929,0.16128884731280285,-0.5083700728736511,-0.12509583260731738,-0.9180675495884737,-0.860568867531693,-0.9018180876400876,-0.7831763137601896,-0.7347911990253084,-0.8113825254725429,-0.695071176148242,-0.5480899320325148,-0.7875856522232139,-0.9084199085950975,0.8527894982533105,0.9278050898528717,-0.2355683312508776,0.3486674417104879,-0.7065939032486375,-1.0162369204677675,-0.8874098299652956
SIDM00466,-0.466259389449793,1.0737635057636785,0.5234417391711033,-0.6074082854163688,0.03966662687422233,-0.9002081739232054,-0.8269663295363378,-0.7821294034435871,-0.6657309125450352,0.32735143320866217,-0.1481059311208519,-0.46962698710510026,-0.6765199328902154,-0.4162619483740439,-0.7710975392932579,1.3758208074207687,0.47864278968939106,-0.38003621933852827,0.7249185702332815,-0.7658294324201929,-1.0724652202469744,-0.9174039918484205
SIDM01132,-0.2656921316092553,0.6689449094179939,-0.12523951052465918,-0.5630894460456001,-0.6935051811641165,-0.7852967643522137,-0.8500541774464105,-0.7972092903259188,-0.6166788300577374,-0.6847131508027835,-0.7558488951307117,-0.32598710311858736,0.047235815908646436,-0.7982015786430093,-0.6452403767404633,1.403750370971405,0.9740031143162468,0.3321733117770901,-0.11727594108093953,-0.6484414049933865,-1.0435349930263305,-0.7563385176873761
SIDM00465,-0.24887149101443207,1.8056472587524228,-0.0924109609531661,-0.3864540623600233,-0.44222353636042616,-0.7977444097670546,-0.9062642094953526,-0.836101528350043,-0.6412420745525095,-0.7519068442001015,-0.848590778321467,-0.36637433120915225,-0.42014454180556926,0.5718934622181587,-0.8512766192018804,1.6271285226492351,0.7011631383167685,-0.24574702143651475,1.0938834306421032,-0.8532065596268033,-1.081919183811199,-0.8340109495607576
SIDM00565,-0.4347290280305734,1.012367391577736,-0.7215829170698335,-0.4814905128709448,0.3183825285724703,-0.8915724828102032,-0.7825543003582571,-0.8513351481731214,-0.8408729648599091,-0.46668754266690243,-0.683844100617617,-0.47561726114737457,-0.695348107579897,-0.20041931600759363,-0.7505077249203924,1.036168819027139,0.7615850470826214,-0.06263474663135231,0.7897527501613157,-0.8564070896466711,-1.0763076169924835,-0.9203845513548485
SIDM01092,-0.3803638983794032,1.8812842085950223,-0.2806121212329416,-0.3821164898824309,-0.6849485219266436,-0.9998103026383534,-0.8262094506696421,-0.7734573061342382,-0.6338261772377148,-0.6120697845223751,-0.7571685836780367,-0.46516384094550717,-0.3508214046938115,-0.7373986862744326,-0.7250036809410886,1.1965641681592638,0.5478384073298228,-0.5686670488781765,0.7626949519392704,-0.7967609769302783,-1.0080307445556071,-0.9141754687809285
SIDM00218,-0.5062553564335809,1.037038589357257,0.08694195194183844,-0.4887502205848778,-0.7205884001334084,-0.8023811812744694,-0.740566078497049,-0.7731960142985139,-0.7051510309289318,-0.6126934125315298,-0.68335895316274,-0.40545212616391174,-0.24921459500493862,-0.7244837390585279,-0.8346507208622896,1.5353957444940707,0.9665278426864046,0.19062428919524108,1.7350034279525235,-0.4752099341728256,-0.9951032216087093,-0.8963357166063629
SIDM00044,-0.7039564763137636,0.23310083048557972,-0.32104788269722007,-0.5833176109281683,-0.10084751723290816,-0.968043561193234,-0.814626923390513,-0.7672168785067673,-0.6947597068060462,-0.5966558834622329,-0.6973835717270892,-0.7212265886411826,-0.6194922491376018,-0.7708339678235502,-0.7232264218015592,0.8365391850266857,1.1093938503371719,-0.07082132450423917,0.5792858452006663,-0.7149698374140872,-1.0491393033467444,-0.9327919413060543
SIDM00362,-0.4741075107050616,0.6516245446890343,-0.7035595977738626,-0.5000151254204391,-0.7366422008240127,-0.8483861220109095,-0.837462568371017,-0.8113609350370529,-0.7040680214609127,-0.6604692350351663,-0.796199886051361,-0.5994694533433241,-0.551166207217446,-0.7696536594852639,-0.7797624012042317,1.4572958210951539,-0.0294500315868844,-0.4088882461386715,0.1964195071425316,-0.7220537409743883,-1.0560443070005394,-0.8313469292416495
SIDM00813,-0.5814861129301893,2.625184458922349,1.0193744055137537,-0.3825612719384849,-0.7978248596928958,-0.8637448856547194,-0.6200514489773618,-0.8064132890216996,-0.7970363375400437,-0.6964636548676563,-0.7298916826938511,-0.4991967373482011,-0.4520774799808135,-0.8571295669357011,-0.8116340555063498,1.2834879205331229,0.24392791937477162,-0.7625042661261295,0.590858535979366,-0.7145527084089187,-1.0256488143485258,-0.8054106819340293
SIDM00364,-0.6865381759842605,1.8183820035363325,-0.7797815975848439,-0.5925465653432892,-0.6741551398417573,-0.8788594486645855,-0.7540162260844707,-0.7908224864475852,-0.8028711912693962,-0.605273613574759,-0.6971885706169731,-0.4867484170106002,-0.6497681007136914,-0.7554020468009707,-0.6616322200394307,1.4218720224151566,0.8120979303296217,-0.40490720586383044,0.7704605434270632,-0.6820221633114586,-1.0207996045619667,-0.8675395999224621
SIDM00792,0.2520869127629353,1.0457189399456013,-0.4222707061539963,-0.5759101273079317,1.0522011039478092,-0.854025757487891,-0.7198241970284438,-0.20628678253084184,-0.7321857696034526,0.41511125043989017,-0.27748353800799525,0.24274654706282045,-0.04039527651103452,-0.7691695311565633,-0.6797476220380442,2.0648161955112534,0.780941404935913,0.06250490205267158,0.495450275692552,-0.7792844246618813,-0.9262796517909364,-0.8775774966957995
SIDM00241,-0.22523902695878872,1.212023787264843,-0.6489257136087059,-0.4383356651077624,-0.8667658814982484,-0.8688068166746082,-0.8717111356939193,-0.8299233057956255,-0.750337317521919,-0.35650998646070453,-0.7249928642954455,-0.5380441777871936,-0.015281025611928262,-0.8221212392106966,-0.7417431529705073,1.5330856651474885,0.7535475386655769,-0.4892175794477072,0.7872111193869008,-0.8251491483816767,-0.9870921510263818,-0.9368650727402439
SIDM00091,-0.31770486554518407,1.252100701219029,-0.3765822519270967,-0.4945608397452194,0.20932721508242016,-0.9611671521181322,-0.9000436019386052,-0.8295178576434435,-0.771709755743798,-0.5416244284564262,-0.7300201170875911,-0.5729724105133172,-0.29029640913869204,-0.08078151088042321,-0.8138444178251821,1.0149162900140511,0.43300034859477976,0.1569547156398924,1.3385539642279893,-0.7989694468466043,-1.0715726540646755,-0.8642272601555818
SIDM00427,-0.2871577333647453,0.4975491400338145,-0.7037304540468622,-0.6030795564334915,0.2651267723085153,-0.8398843326242794,-0.7820029164947144,-0.8246159770620832,-0.7871693675684248,-0.7402334860696792,-0.8337908885092239,-0.5815427909561467,-0.6079532854184648,-0.820111134902549,-0.7897418957145323,1.2315361528031856,0.6888139767975758,-0.2995090262219265,0.6831057856397914,-0.6867009113829515,-1.0325595955692408,-0.8499452334602048
SIDM00758,-0.5568139034180576,1.1927545815567948,-0.24180890658094883,-0.3373342767384167,0.5736812355223851,-0.8100060960731914,-0.7637321508827071,-0.7997599366901313,-0.7961639148482804,0.011896229182605597,-0.2862098178711198,-0.30440206936610475,-0.7284719010612937,1.125710490854431,-0.7860157234770899,1.6934483448966238,0.9717953865719529,1.128449297074974,1.3485984556801434,-0.8208893015078285,-1.0356374112873719,-0.8823984203145449
SIDM00612,-0.7121654230336958,0.80767459762585,-0.08075241812700014,-0.4370269322923501,0.09670102859836122,-0.9048558632598107,-0.879187718155,-0.8466832967901423,-0.7339880652189137,-0.6988733931248391,-0.7579451803046727,-0.6932309335043222,-0.6548340417586872,-0.8711262196537638,-0.821082947853743,1.343042053467678,1.0697788408765276,0.48231094317402906,0.5914262623663145,-0.6274109133954386,-0.8628363231801948,-0.9024623969359175
SIDM00553,-0.5809646666802009,1.0689924213710738,0.8674495597662012,-0.5387671950247281,0.4420350220569162,-0.646016497722932,0.16555191172094202,-0.7041290012463707,-0.7393376899053465,-0.4963022487316516,-0.7648816272268326,-0.5475456566777842,-0.7282081745858726,-0.8125507874470218,-0.6228775025978716,1.0988511428551775,0.7787137292822468,1.0732577316042502,-0.058879195522879575,-0.5766524006024457,-1.0433435271409621,-0.8077454805912173
SIDM00343,-0.6652084427480205,0.799695777893618,-0.5125088055837376,-0.4692522269678615,0.27316922359194784,-0.8429665567352019,-0.8780847815075803,-0.8491951165487486,-0.6708623716610044,-0.7567414673928766,-0.6833454968834017,-0.5976768959432619,-0.27750381971224114,-0.9179252230490356,-0.9251643217106671,1.1569438864535166,1.0015731009538884,0.021293449561838783,0.5117865497747972,-0.6105003119324321,-1.0530589629832803,-0.9524036534271156
SIDM00543,-0.6350585126974219,1.4375237368090417,1.8890173071124488,-0.5672298674035471,-0.8405528563065622,-0.7509755558516908,-0.8211234646946824,-0.71477081171978,-0.5492014403748455,-0.699461521955565,-0.8087773349527542,-0.6049661353669016,0.06224121453454383,-0.8109514610517352,-0.7904397296721137,1.3905233714952614,0.5911631545114346,1.7193207805447486,0.6474598512940463,-0.5950585572644277,-1.0647775344506771,-0.8960941012191048
SIDM00537,-0.1447170029227837,1.3374004780584188,-0.7990738589028911,-0.6191049658409657,0.5253618972212812,-0.797065622141534,-0.844893990349093,-0.7614267408327478,-0.712111944954552,0.6074771970036065,-0.061928503006457455,-0.50836682824748,-0.7621834373443236,0.0826092559270923,-0.7788337223264726,1.2646574438179288,0.8975136333998305,-0.4573494484808082,0.7616849833567001,-0.842670156009924,-1.0569201519141938,-0.8501886650815658
SIDM00332,-0.6441370978598709,0.712796258347611,-0.7732458805993093,-0.5364118529445017,-0.725824637666253,-0.848283054118478,-0.89216451844663,-0.8331384288100676,-0.6683927186061513,-0.5389697594980758,-0.8101270807873672,-0.5582216846222936,-0.7790114721873596,-0.8858834048369872,-0.7707905772186918,1.536019078824075,0.8996213406026676,0.4559534069546097,0.44231419021311275,-0.795607835230367,-0.9975993486255159,-0.9291129077222995
