,SRD5A3,AKR1C4,CYP3A5,HSD3B2,UGT2B28,HSD3B1,COMT,SULT2B1,CYP3A4,CYP7A1,CYP11A1,AKR1C3,HSD11B2,SULT1E1,HSD11B1,HSD17B2,HSD17B3,HSD17B1,CYP19A1,CYP17A1,CYP11B2,CYP11B1,UGT2B11,UGT2A3,CYP3A7,HSD17B8,AKR1C2,AKR1C1,CYP1A1,CYP1B1,STS,UGT2A1,SRD5A2,SRD5A1,CYP3A43,CYP7B1,AKR1D1,HSD17B12,UGT2B10,UGT2B7,UGT2B4,UGT2B17,UGT2B15
SIDM00098,0.586879442828521,-0.42760474022884787,-0.7707991972761917,-0.7478043472587799,-0.7462067028726946,-0.8600933835789306,1.2622689112641983,-0.789348944923323,-0.8866962964849942,-0.9081824502327627,-0.8300995821500038,2.258836731628727,-0.5858198684268765,-0.8853581480676578,-0.814468347377346,1.1827040705797565,-0.8947362256443143,-0.5773763278903499,-0.8256384768389509,-0.9397383890889526,-0.8968371647630934,-0.7610965891501777,-0.9517058947572912,-0.9413226056959203,-0.8830572191843253,0.6975907309407419,0.9595306486721756,1.1196286620690472,-0.9839461725757012,-0.48617231422874874,-0.6754704200123015,-0.8054738668397816,-0.6346744445358203,-0.15230433396530985,-0.9724714143253215,-0.8880030997768125,-0.9246282698113344,1.0664169558993717,-0.9251896255100607,-0.8151828600220804,-0.952093668044057,-1.0222583418128588,-0.8677929741973631
SIDM00225,0.65936859453024,-0.7316836575481328,-0.7978814785004725,-0.8730153915297574,-0.7935943453579798,-0.8213223238088811,1.0636885738919195,-0.7994811479959729,-0.9518279815709536,-0.9033036092208158,-0.8240485628630834,1.244906873337499,-0.5640844320115747,-0.942325705465531,-0.7760425438007047,-0.8159337621717487,-0.8481011821947324,-0.725235901191469,-0.8898678930224178,-0.9017190339968112,-0.9585545445153869,-0.7686609644344747,-0.945337935446959,-0.9912903365422944,-0.8158901601449869,0.6458417077910777,-0.10844735462783488,1.922667612760878,-0.9236632843086091,-0.8856833293156627,-0.6543866136893954,-0.7953921310965556,-0.8219225015121255,0.15340182785130196,-0.9704706037867933,-0.8587527639007851,-0.904927040383747,1.3283810537927285,-0.982039469252121,-0.754449150059479,-0.8992858571919354,-1.0644024116214899,-0.9380475839249166
SIDM00846,0.7204844516706024,-0.5889716168397942,-0.8209286823394575,-0.8989521670736106,-0.6994579543065258,-0.5846486732803124,1.2331580697133027,-0.705824216969355,-0.8732537425981017,-0.874767821638543,-0.8489196269597066,3.0026281412404847,-0.7200988277025786,-0.9430853545971638,-0.8280904724610917,-0.9220229135656377,-0.9848416332608847,-0.4176396355164407,-0.8672985887996267,-0.8941921495848296,-0.9495727483999385,-0.898600009257818,-0.9222445487325805,-0.9547479165268341,-0.8484341603334291,1.2288514271547697,2.7208328114148648,2.4297612742512147,-0.9363293492005543,0.6369759053454855,-0.18115948263878,-0.7923227529603447,-0.7293791345646538,0.6603847467262771,-0.8277984541827552,-0.9110017337014996,-0.8684286234523515,0.7796156256499805,-0.8913127877581521,-0.7870954370870136,-1.0510938497626263,-1.002096718771684,-0.9574370899735438
SIDM00291,0.8297821069457427,-0.6437618272771194,-0.8394483997252308,-0.8302406856337324,-0.8424237828065982,-0.7118455015388924,1.527483889079726,-0.7397760475145082,-0.926459190732912,-0.9240442475473973,-0.7507041841736085,-0.5428248234444298,-0.6015659810400454,-0.9442992652406504,-0.764148832454586,-0.7661942912576986,-0.5951489373275689,-0.5210015583091121,-0.8894577586469788,-0.9522173228768356,-0.8585849275280856,-0.819827407331339,-1.0043674735253176,-0.9311365797528557,-0.9145870259157411,1.0509152805267254,-1.0419511841589184,-0.7997896941616349,-0.7676809056428009,-0.8212138682749217,-0.7623722169186572,-0.8765000181759927,-0.6427414501302356,-0.4291314426596391,-0.975807746435214,0.34601288530050295,-0.9602445091530794,0.4580180403229931,-0.7293496388721521,-0.832943332842469,-0.9679703636768383,-1.0507438304324197,-0.9711558988318769
SIDM00520,0.7073469147584031,-0.8007485951849165,-0.7727508210290434,-0.9120125641085207,-0.8439004859579495,1.0512861901413963,0.852912762959413,-0.8999197353196456,-0.8998750569656598,-0.8752313885005026,-0.7866975823116561,0.5304626257366749,-0.7067497943316321,-0.8275988616877739,-0.8004296237657476,1.4769662237497307,-0.9351982122218966,-0.6270871823842721,-0.8785760291559712,-0.9196339632650115,-0.8970317424404125,-0.8511560449232486,-0.9048549296027879,-0.9993698764303643,-0.840555950333411,0.5313791631222617,-1.041468062247074,-0.5527357963898569,-0.9422865774099126,1.157938878944003,-0.04604451729497688,-0.787650250581698,-0.6857795617543584,-0.48667378052487287,-0.8665841468498904,-0.8646065063241526,-0.7227430610191721,1.3378334346815632,-0.8210466425134307,-0.5963948515682339,-0.9289567653492521,-1.0457188286413166,-0.7916510585013975
SIDM00003,0.6721104896457283,-0.8161702904763728,-0.8142711523517138,-0.964393802930359,-0.842863571334719,-0.6329432084075466,1.4238543945720232,-0.81659123453548,-0.9168598311967264,-0.8652689345539502,-0.8147391690132572,-0.6050059478411529,-0.6582741012994385,-1.0133082635918103,-0.8271388198765398,-0.8343809473572835,-0.8809689522159222,-0.53323306972929,-0.8753600390092904,-0.8476035822396746,-0.9793437157235042,-0.8953633111354395,-0.8558132568956126,-0.9163647929601066,-0.8758713847615343,-0.6651909665991846,-0.9245064136767415,-0.690712970456984,-0.7024812607553694,-0.7754152451802805,-0.5725059361935821,-0.8521872642486024,-0.6983374135353722,0.16508620115484038,-0.7964393987621197,-0.7671423377049224,-0.7991968474305438,1.3062902418755509,-0.8180382443412909,0.9786392985454025,-0.9070486738668441,-0.980226690895956,-0.8021889460367159
SIDM00136,0.5991037286470325,-0.48132654493887034,2.0581628443934035,-0.9251275589384891,-0.7841512308553751,-0.6638790818940625,2.033626517978367,0.5683798880187224,-0.8575290424988352,-0.8763584137621026,-0.8523192246589347,2.0598915888178286,-0.42767179510160397,-0.8756148088546107,-0.860994204603571,2.044163566335141,-0.8031399892302196,-0.5506663966263776,-0.8507978643038553,-0.9838090369203247,-0.8984076640908601,-0.7764551296439764,-0.9100708476160055,-0.9270723867110274,-0.7218816618909807,1.0392850097686064,-0.4634398171056162,0.4198063645104454,-0.939067335116247,0.8627851714757796,-0.5162304660165068,-0.826009192600707,-0.6874311472889792,0.18808322399553137,-0.8412662412700648,-0.9134814304208398,-0.9132886232201702,1.5567318195465205,-0.8102448073182247,-0.7387563956006166,-0.9606642770870718,-1.0666225894941048,-0.7358603953429557
SIDM01155,0.5241564887693059,-0.6772408376010054,-0.8671363447193735,-0.9174784486558346,-0.9111893962893866,-0.7542077180387045,1.577041944285756,-0.893172567553919,-0.900094120733386,-0.9571009182411239,-0.8922728133370236,1.3682275893717148,-0.8692899914751373,-0.9675979142830259,-0.5635408330321827,0.372695296804854,-0.915454862972007,-0.6599980518200791,-0.8794160154472579,-0.975343498967182,-0.9671868800158627,-0.9149770136959137,-1.0642161797905,-0.9425439615661786,-0.8810527907799645,-0.31559527374493757,-0.07040396426192454,1.9866268586597065,-0.8532917402766366,1.0876175508786157,-0.7179269383433313,-0.825002712491636,-0.7165397719068946,0.49165664794836667,-1.0079670945749857,-0.9803006481015135,-0.8559562211108173,1.297127819509687,-0.9589686671647454,-0.7814136194175367,-0.9989817995439144,-1.0216233249121427,-0.8582816177113044
SIDM00224,0.49105722154446685,-0.7825436014726598,-0.8551482715186663,-0.9259544013430573,-0.7847538670920299,-0.4940922464708678,1.0412419491802054,-0.7953853286320465,-0.8857606315765797,-0.9345833474225096,-0.9163617365340603,0.9007932259473104,-0.6306134488572073,-0.9046600187967366,-0.8645604902736321,2.8118918213573494,-0.8447707287725206,-0.4320936272825908,-0.8067485138113357,-0.8482485381420569,-0.9098105064573442,-0.8123023771641313,-0.9330778098876744,-0.8917977852994857,-0.772915495080082,-0.7896701938316063,-0.9689389130193975,-0.6283988616037496,-0.8645120011346107,0.49701326821981695,-0.5932706652283765,-0.7841900330013235,-0.7091961337215368,0.17312683376625054,-0.8598912269343965,-0.8593610153965766,-0.8649311228240243,1.2198447129494363,-0.776996473750707,-0.7983596650833782,-0.9006048103984529,-0.9975788159336644,-0.8499012219206994
SIDM00783,0.4688162602942334,-0.5499424155825312,-0.8860688080323825,-0.9009981348083017,-0.8563349385401041,-0.8130819284601196,1.3682556092130553,-0.8692396065540208,-0.8456170027780965,-0.8756124714303462,-0.8906018059443943,0.09162888729245404,-0.3481789509969755,-0.9554924970282128,-0.8267610087052216,-0.9580549038441076,-0.8915093516016482,-0.5878532604796916,-0.8694288578529521,-0.8719827512711846,-0.9741570602869478,-0.980128035889538,-0.9878948936152601,-0.9622665672830875,-0.9352909020850501,0.9431687151885788,-0.8250195864260069,-0.6638780100056081,-0.9285328095452424,-0.6316449072397385,-0.822723847766716,-0.8279361924005672,-0.8123417549134233,-0.07687710973713138,-0.8277291616296024,-0.9456619565903246,-0.903031697870307,1.1235960457014438,-0.928351254999872,-0.868463133612253,-1.0305500693969691,-1.0749289135382132,-0.9076182501500137
SIDM00490,1.34521327960142,-0.7091547664905515,-0.7811534573516371,-0.8568448778134268,-0.8713347252735192,-0.7892070729984336,1.7805540979272219,-0.8654092776459116,-0.9346323279366116,-0.9027883013208684,-0.9124330166357568,2.3202690522749316,-0.6461517908679683,-0.9160620998143977,-0.8425156624308239,-0.8849801380325981,-0.7875214554117886,-0.5744908068680001,-0.9066899332456549,-0.8396266021298371,-0.9335973306532824,-0.8805523158184967,-0.8862851550538784,-0.9501379735298777,-0.8551976400222067,0.08132280179761954,0.8721344548630161,2.5749663994641656,-0.8737876042477427,1.0255469123622045,-0.3837364894923774,-0.8027181552868691,-0.6964831087357604,0.8379299011995421,-0.9640312445983517,-0.864480939948009,-0.9331670728797751,0.5061121288163274,-0.8114500734131298,-0.8923993435326821,-0.9437596466361535,-1.0320471941556182,-0.9160722388246149
SIDM01090,0.2373169593919486,-0.8076759720227328,-0.6971515402848092,-0.9783718582484621,-0.924016148283278,-0.7907633210152062,1.3519005342241137,-0.9495920422056848,-0.9157835376604906,-0.9443326300577902,-0.8627936261158649,-0.19982950392083204,-0.5827642289753805,-0.9491934609325374,-0.8302874963071757,-0.892558852080071,-0.8901552592024694,1.8867244374717118,-0.8480351469954664,-0.9355169507503085,-0.768214539484739,-0.8074756620874265,-1.0717893607495679,-0.8702663976170956,-0.8039920637974968,0.3711356840948553,-0.9645438571747227,-0.8454862427756614,-0.8209829652035138,-0.8066622522080819,-0.7646651001819795,-0.8250779791139621,-0.733129435584116,-0.5723735861786643,-0.9602552181694858,-0.7722595688634531,-0.9387776857753165,1.5220620307511445,-0.7966897061472887,-0.9275460383870789,-0.9708061109573043,-1.0148366197153063,-0.8398910353686605
SIDM00394,0.5082347005781727,-0.6916246106631828,-0.8159451658223041,-0.9488333882015264,-0.94882350948154,-0.7558232964957837,1.0866895841284956,-0.9355633401081863,-0.9179457106357997,-0.9284341409650589,-0.7456714831913602,1.8212221383634142,-0.6346797928599742,-0.9570835367158871,-0.8085903518836352,-0.5900130193240903,-0.968026377022462,-0.4496027794365609,-0.921305443815703,-0.8906528996023666,-0.7062465840889537,-0.8932981062671682,-0.9549157051016732,-0.9654374357192714,-0.7970874667226117,0.40972488387846895,1.8403066266253885,1.5575593621352257,-0.8449742236096855,1.2848572979905144,-0.3681037414921326,-0.84766862699277,-0.7134376379488128,0.4110939003087024,-0.7774706471477375,-0.7835837696178202,-0.9144197501538909,1.0009955323902184,-0.7832830538151887,-0.8494940598129181,-0.9072965117983038,-0.964797276637937,-0.8409007858948206
SIDM00538,0.5091278172373438,-0.21298419161489565,0.9509207666069468,-0.8114470916652283,-0.6493491205891984,-0.7968670036618115,1.28113281815686,-0.79917612477495,-0.8578008488173632,-0.9016378171248398,-0.9068439136672032,2.8004505219588256,-0.18288337063008342,-0.8734119712337862,-0.8946161664773632,1.5690092780933522,-0.29798293402941783,0.07194329885163786,-0.8530679427148232,-1.0478698089881506,-0.8608365592201184,-0.8427734503204234,-0.9351311445093881,-0.8997855549059016,-0.7432186278657835,0.39441595131140544,2.2895948646442665,3.653271305887609,-0.7010913860622484,-0.7694594768010928,-0.8261578737194921,-0.8646439699011033,-0.6753290063442312,-0.06906180517801522,-0.7967714242614703,-0.9216051913229024,-1.063388957304585,0.6056359724725323,-0.8721733938829516,-0.807480261373322,-0.9830220749985682,-0.9552191115404352,-0.830848380583325
SIDM01140,1.110458537553988,-0.8704507920321441,-0.8036224912241705,-0.9265442761415223,-0.7256120331975966,-0.8421455603340385,1.110851832394349,-0.8447851594565411,-0.9562134943190824,-0.8570585279164871,-0.7410299717025329,0.3800956358675334,-0.6594688819986281,-0.9099823449959986,-0.8298991609366942,-0.8527274247812038,-0.7626157078403768,-0.5926160101591341,-0.8669683354393493,-0.8253038081998703,-0.9182296378948249,-0.8881705804559349,-0.9465145470684634,-1.0071679161879967,-0.8881162984184733,0.6795122893307246,-0.7374600348236952,-0.5487959405889484,-0.985592898245728,-0.6391083204970102,-0.7868851089531271,-0.8417396975465128,-0.6162134335199192,-0.24447805359412814,-0.8269565981497494,-0.29519122045654356,-0.798441193474622,1.375291880396516,-0.8457216956598695,-0.8545906200805021,-0.9546767905430819,-0.9742966239112462,-0.861642413178452
SIDM00101,0.9627292528327344,-0.6413181875131418,-0.8211212708761282,-0.8958650060892723,-0.8331539007934171,-0.611651400802618,1.2474990299622037,-1.0285330519395037,-0.9355835104454228,-0.9685129600489313,-0.7417298644138014,2.3186298542621886,-0.6177116153692186,-0.868725031116318,-0.83335353572365,1.7843842276599766,-0.8844844694488436,-0.5820292441832404,-0.8590948491510758,-1.018282130828309,-1.0077919654079701,-0.8744870402784619,-0.9045498839639131,-0.9599664922941477,-0.8927153860752969,-0.48660010014641963,0.972334350660489,1.2545275287625153,-0.9113668264000538,-0.1033094470554255,-0.47067122590947164,-0.8483610743690564,-0.6923972500203058,0.1515274864322231,-0.9085893303259145,-0.8764988526327409,0.05442593819746918,0.1829668207863706,-0.8022941178653427,-0.7956560597509251,-0.9441076265740588,-1.0680895640395724,-0.8587787185442944
SIDM00114,1.3703838512736348,-0.7928445579607918,-0.8248875558891527,-0.8703601084260983,-0.8089516935038272,-0.31237729314623536,1.5776514899661669,0.6456033715383879,-0.8463907781108692,-0.8976643034959241,-0.7462116325982112,-0.39772734452925296,-0.5623657257652868,-0.9569167173806062,-0.8735652954386636,-0.771200625171123,-0.6774423457121231,1.993236378898672,-0.9221647806426002,-0.9051545967990057,-0.9687222009769955,-0.9191627077975898,-1.071768811203672,-0.9553113797573294,-0.9100161250045169,0.21370932142438162,-0.8236768173993283,-0.7042212844059846,-0.951735365242578,2.401808017320514,-0.32132636045513807,-0.8576414502059251,-0.7601279393885073,0.09505415118792766,-1.0052533434569673,-0.9146868327264243,-1.0287716756892282,0.8289777514315607,-0.8488432669073167,-0.926365458204412,-0.9184289321404353,-0.9467355457420803,-0.7570825256011017
SIDM00102,0.7620537512566024,-0.6879385387016099,-0.6159598461421076,-0.9064498168241782,-0.7415396324587721,1.8378670838770306,1.4728353655559145,-1.0364052317296333,-0.8794680753102448,-0.8699365590789843,-0.8653571754023294,2.862798964440331,-0.7132145038136071,-0.9481822442783252,-0.8726810387602494,-0.921618149191871,-0.7303881054216945,-0.627639821787605,-0.8885934847719381,-0.7185159865545488,-0.9404152330273995,-0.8263992176367052,-0.9186025456556134,-0.8662314864751014,-0.8390208841053,1.3087277733543992,1.7815466269360725,1.2751894618915878,-0.9708283774648009,1.425136411322988,-0.6115051187512147,-0.8450878698247278,-0.7036499594291696,-0.046812162845183705,-0.8708662409558044,-0.9316212089174346,-0.6915910296357142,1.0890086436821544,-0.9543875254490131,-0.8118772177606169,-0.9923503995927493,-0.9981775532989938,-0.7365161869125472
SIDM01122,1.0542670547389899,-0.8630724616968589,-0.8500570942310355,-0.9459457255385045,-0.8205306396801413,-0.8808487780651483,1.0649167149192529,-0.8395583223445077,-0.8686411350552563,-0.9671701766603086,-0.8373173100020919,-1.0157631666187796,-0.8090138390426814,-0.9948593844261013,-0.930895348569334,-0.9641028979739154,-0.4470215880421598,-0.40849264694572096,-0.856003801605441,-0.9655440777553126,-1.0186124530457135,-0.8292994030132407,-0.9404980097463561,-0.8949709362224939,-0.8682057030446294,-0.5411960170340299,-1.0406624242574185,-0.792045911783947,-0.833918029753683,-0.7888943175361492,-0.6893642645572241,-0.7850831316114399,-0.7731459780144712,0.004020204401921879,-0.9470087448488557,-0.9277672442162536,-0.9457365905807993,1.1792896811576392,-0.8412549104981346,-0.7975163089696029,-0.9529050336439372,-1.026032843558213,-0.8627610593645498
SIDM00261,1.2453191031641906,-0.7915339088483666,0.7372606912170775,-0.8677328184931131,-0.7116558669013338,-0.8948653908890709,1.1040527265318458,-0.8241118662289831,-0.876745342809436,-0.9375333851761191,-0.9119940479541736,1.0015023652746253,-0.1410501470986801,-0.9431927455245046,-0.9338953772486178,-0.023469795696934508,-0.9907139755312911,-0.3850341794014779,-0.90599990527775,-0.8692143304879838,-1.0143384912065199,-0.8702866281327482,-0.9575789039257798,-0.9615573371886001,-0.7512140615572025,-0.3210964082999485,-0.626201048898711,-0.7697200029145825,-0.9622560926660524,-0.7592818508323014,-0.7035919138060142,-0.8822176827937425,-0.7367267686634272,-0.5286169665404061,-0.9697190253513726,-0.637417331344336,-0.9741829065067148,1.0634782358455317,-0.9016554228983782,-0.6256486586303052,-0.9697026205965816,-1.0468674071712363,-0.7462538923783995
SIDM00154,1.1186188398519246,-0.775513991410558,1.0050882891075619,-0.8859191998538467,-0.7424093531060381,-0.9176219900018624,1.3357359094726458,-0.8807220372529352,-0.9124440008550047,-0.8646789091055728,-0.8507251309615016,1.7602159963168031,-0.558480496679082,-0.9491477644300141,-0.8507350239469755,-0.9749342781420964,-0.8685998633881465,-0.686215560386373,-0.812579857574173,-0.9566828101902164,-0.9319007185376054,-0.9467889101217519,-1.0112051270941385,-0.884092390289661,-0.8738267308641243,1.206925902029918,-0.5001095468113707,1.4118152876273475,-0.8583693657947667,1.3693592338378087,-0.4452293103113658,-0.9115687122343862,-0.7852174500177374,-0.2669088785167903,-0.9125907389154059,-0.8262580203618567,-1.0058204909433792,1.2528087066857232,-0.8348531685740771,-0.84898420014709,-0.9955678405618225,-1.0312036628157377,-0.8172887510244776
