,GRM4,PLCB2,ADCY8,ADCY6,TAS2R42,TAS1R2,TAS1R1,TRPM5,ASIC2,PDE1A,CACNA1A,ITPR3,CACNA1B,TAS2R5,ADCY4,GNAT3,GNG13,TAS2R9,TAS1R3,TAS2R1,KCNB1,TAS2R16,SCNN1G,GNB3,PRKX,GNG3,SCNN1B,SCNN1A,TAS2R40,TAS2R39,PRKACA,PRKACB,PRKACG,GNAS,TAS2R38,GNB1,TAS2R8,TAS2R7
SIDM00098,-0.8417215606372255,-0.8060291514157985,-0.7836845427388764,-0.41599664772377337,-0.8727509855368695,-0.7223179205294159,-0.7824307129005506,-0.7943206103891667,-0.6811024002764721,-0.8221060269802504,-0.7381286100688597,0.4539235577254536,-0.8925456815365839,-0.5873439547809596,-0.7878179418311279,-0.6642157876856586,-0.869011157609834,-0.979684124225421,-0.6058868513867123,-1.0093553150286874,-0.9203600275988995,-0.8441190168988219,-0.9475258744523847,-0.7728160799580848,-0.21048856730471127,-1.0045276316016007,-0.7727163264920378,-0.19598836954331936,-0.8301452477966733,-0.7418915212242494,-0.49171556446967946,-0.09262240124446872,-0.7343614333780042,3.296301754517434,-0.8733002109344996,2.096075816803087,-0.9706551225535869,-0.652981145985641
SIDM00225,-0.7534897804158002,-0.8727025722205657,-0.7530931660013884,-0.3395311463005742,-0.8201373099727132,-0.745395863544712,-0.8074026699713287,-0.8575397189241623,-0.7805114554804394,-0.8451834373301961,-0.6275683536291813,-0.3108459098251302,-0.8343888721136147,-0.9027277184025456,-0.769543097177486,-0.792730252209819,-0.8610332165735975,-1.0094482958425879,-0.6359991891544323,-0.8916410755210423,-0.9511212998776558,-0.9275533256784305,-0.8870640451732315,-0.4232227121409745,-0.2242276810265617,-1.0122521113905143,-0.8394792152713537,-0.8285040316350084,-0.8842690686531647,-0.7906617653948829,-0.6204290670227681,0.16266365001529862,-0.7986584855898881,3.7102679442202877,-0.9572267323314413,2.2283492646539,-0.9449678416782771,-0.8658495472709631
SIDM00846,-0.8393732307747906,-0.8160778573495823,-0.8287554539698587,-0.09333417930599452,-0.9059449860552893,-0.7215083611155686,-0.8574366481445471,-0.6974683976919059,-0.7027512141720296,0.4693834633704513,-0.5615886553855212,0.1130105514131705,-0.825466568058111,-0.8007214362836614,-0.7475649940252013,-0.9355824648493771,-0.8960580785090209,-0.9453524878611427,-0.556826365794647,-0.9384162452306937,-0.901364946089155,-1.0127817950140579,-0.9292065503818642,-0.6069115941668282,-0.183706179605343,-1.0010084222815545,-0.8457949095827875,-0.21782529724075292,-0.7895317497848204,-0.8325757428879063,-0.4814328097931527,-0.0077754134715983195,-0.6451276448687552,3.385078578005327,-0.9354169844792337,1.8791411199320625,-0.8988884239760115,-0.7139673425189914
SIDM00291,-0.8058981084670137,-0.8559538817816992,-0.8348127039300337,0.04924003796153136,-0.9506844267990914,-0.6854876286573727,-0.7983215051537537,-0.7406459112888226,-0.7509849771694467,-0.805735621885537,-0.25912905079020526,-0.11130492483994629,-0.7919755458269907,-0.7089667944658701,-0.6909276276027244,-0.797531205366262,-0.8884919638860634,-0.9661211633361424,-0.5867527027256304,-1.0442431392860103,-0.933009341285949,-1.0387606028542187,-0.9840150883607015,-0.5081189737181796,0.09278333378152949,-1.0609241485010943,-0.8061309864490342,-0.5545702309229127,-0.8840244608600497,-0.7054613436693201,-0.7560284637296919,-0.11111561826183174,-0.7340416899383082,3.6210234142298496,-0.7871787462619977,1.8559239662002978,-0.9646378914229259,-0.7890351782756315
SIDM00520,-0.8457650653953475,-0.8683729903435581,-0.6883181841702584,-0.2605358055105288,-0.9165786867596453,-0.8525248204989809,-0.7876272131528161,-0.7142835124519079,-0.5619504360904305,-0.07641685715800912,-0.6993852015709463,0.3222024426315472,-0.8282567715986938,-0.9038372345894986,-0.83505345570581,-0.6514127623606213,-0.9034480429814576,-0.953506026505834,-0.5368102833508687,-1.029540339225344,-0.16132565197944906,-0.9638013233423331,-0.923052604992747,-0.7977811095603468,-0.3428235391359374,-1.0226118747799706,-0.7239001488780732,-0.45292238259859186,-0.8418227666029912,-0.9517302231060122,-0.5723467545849023,0.14052909972239003,-0.7684349717577997,3.083496601418055,-0.953506026505834,2.0081327265898157,-0.952969989843386,-0.792510681396132
SIDM00003,-0.8265736529016309,-0.8052546673825668,-0.8333789435445832,-0.25834070906080764,-0.8956759572522184,-0.6423248081884986,-0.8019408221637365,-0.7983053171987349,-0.6544233803541841,-0.7736672106748531,0.3238474154742603,0.11893919772035555,-0.8048244513649915,-0.7457729516993733,-0.8036211369102386,-0.7809124451189897,-0.8464140465493813,-0.9170143260671997,-0.47958977807193803,-1.0721681114235113,-0.9711082412627021,-0.9509768232012803,-0.9257563080131527,-0.7018521355939671,-0.46800162160646636,-0.9167027388180001,-0.8685244866837644,-0.6589742538564418,-0.8601692375905803,-0.7972287872338568,-0.6444235705150996,0.34367177216876105,-0.7318535169809266,3.201048708339712,-0.9050970596180175,2.1147512933202073,-1.0046210385877508,-0.7533833607015495
SIDM00136,-0.8082482996926653,-0.886321066210198,-0.8287612068757141,0.27431479466987,-0.9296521164365291,-0.855358957016066,-0.8277444466649869,-0.7246239467436006,-0.7934156230260287,-0.8152039291290777,-0.5097551195549829,0.6922407235034296,-0.7247295669520621,-0.7749715482221992,-0.041889787714523376,-0.8170525984798204,-0.8910462303772456,-0.911794340286015,-0.584580905351656,-1.046214172788097,-0.9844194106454375,-1.0143419217534304,-0.9318198543423191,-0.8027470553898087,0.21785454032292356,-1.0014944033830808,-0.9294424371175138,0.7774008726022834,-0.7971404818623592,-0.8567552017359672,-0.7090801592738902,-0.5407250785435349,-0.7653283584594142,3.4060243526634943,-0.8771578427406311,1.984500297763649,-0.9879542016667244,-0.7218116228359834
SIDM01155,-0.8581842458104254,-0.843414159826103,-0.7239428741549586,-0.295033752726838,-0.9866395973950641,-0.8547244331577377,-0.8042511340085531,-0.7274680282577969,-0.7333827067971354,-0.8289114374716327,0.16949361817352537,-0.042524628243492575,-0.8563150214423011,-0.9075682806534147,-0.7534323033332889,-0.893251314913494,-0.929596614404058,-0.9112163866713204,-0.6200303528167425,-1.0371682255437606,-0.8489379482653744,-0.9600746193842875,-0.9406697188181615,-0.6467600885515317,-0.27246992326687947,-0.9247083911015322,-0.7810270407489083,-0.6262502632419213,-0.8464642149784449,-0.8818986396886612,-0.658326298425845,0.010045186855451058,-0.7489081981249283,3.2900102192002634,-0.7553578879629959,2.0717042418675136,-0.9945793280027486,-0.6828965758949097
SIDM00224,-0.8331828521568101,-0.830983208347499,-0.8671709902679235,-0.3227929464130043,-0.7818981252500515,-0.8370524132705595,-0.6999706062764405,-0.8149339585892765,-0.08472235302640783,-0.8908391623920804,-0.7798751004076401,-0.25072759270729295,-0.7794907725813752,-0.5999772194321097,-0.8006083052658866,-0.7323552070322187,-0.866742035456838,-1.063663348830344,-0.5277669890276441,-1.0054207342894967,0.07451139014595402,-0.9928983826945248,-0.7956876577468803,-0.9115335181380947,0.5909800497587651,-1.00581855639742,-0.9484426063645027,-0.3496155140550986,-0.8320917133372695,-0.7719933003196027,-0.5793583414704804,-0.006877373755494596,-0.7564944180185348,3.278367408287927,-0.9082678365853999,1.7466176848974857,-0.9915824090012079,-0.7465073370626313
SIDM00783,-0.8080516480312256,-0.8590727631519509,-0.908139869478755,-0.42290446045730395,-0.8987155438557848,-0.8266270510948972,-0.8430909065328365,-0.9311987915544626,-0.7932950008649857,-0.9010851340149051,-0.21603619160179902,0.5603717486466891,-0.6750839932612214,-0.6450280079527445,-0.8139774229393898,-0.900865560894968,-0.824133500504818,-0.8168764366091104,-0.7029863094685594,-1.0480624357258994,-0.7740486560675748,-0.9928447998964678,-0.9053656141825434,-0.46217038524615217,0.3048708458953266,-0.968678369599791,-0.8693935680638814,0.4822295561195998,-0.7178523550224354,-0.6224222151051606,-0.6805081875931139,1.0667548170933379,-0.7925465880429629,3.1844879629120895,-0.793062113061902,1.827308292057578,-0.9984138653821286,-0.7849408438802193
SIDM00490,-0.8933757447362481,-0.8109479492396852,-0.8024561449911896,-0.45608523092681474,-0.747718472133107,-0.8645934057109766,-0.8341374484507762,-0.8986427426624792,-0.7648781644619816,-0.8386002693761316,0.20150497998730976,-0.1340401027570865,-0.8453574374639369,-0.8541069575501479,-0.7804354120826605,-0.8681841237178854,-0.8812113846781892,-1.0088161936079558,-0.7619003912081134,-1.008998071222526,-0.03364771889309799,-1.016044285233795,-0.9941045908448086,-0.2862582417106432,0.026553385033538924,-1.0897527667900333,-0.623713290783057,-0.7771591135034833,-0.9217249126137095,-0.7251530224190649,-0.6031854005384502,-0.001373694277386611,-0.8690855644572899,3.332099391276631,-0.8496481047848881,1.9800805919096236,-0.9719635555748333,-0.8336455920049807
SIDM01090,-0.7892650471222958,-0.7899496821633223,-0.7006632225338156,-0.013532763443255273,-0.8981297925098499,-0.8439545465221845,-0.8301661896818523,-0.7797131220574778,-0.7407514543373905,-0.8612066042563631,-0.7095772803997967,1.4488270993586454,-0.7826490326350859,-0.7800965961061453,-0.6900780650568175,-0.9879281516709231,-0.8470379378745897,-0.9227870765259364,-0.6065240197924577,-0.990289969991437,-0.8252813398793952,-0.9419582649636157,-0.8143573578785351,-0.3666615524394319,0.7207040660858745,-1.106855987562908,-0.8640632520853596,-0.5414890697811688,-0.820769442593191,-0.9183292828892422,-0.6642359798810908,-0.7707670768826098,-0.6716802638274465,3.2478616805385117,-0.7074456739819057,1.3990568843594957,-0.8532934667200905,-0.7371680398929463
SIDM00394,-0.8400273584194128,-0.8659135128960707,-0.7371219756916478,-0.06540746685877984,-0.8931417772384093,-0.7221637233845216,-0.7962087753479751,-0.5928733724565974,-0.6994739475910782,-0.8825354475096756,-0.6822879545969089,0.50904043480189,-0.8059504425215848,-0.8420566461771019,-0.8133913159997924,-0.8161976905766434,-0.8084550439326936,-0.7612896983336044,-0.6346179045771431,-0.9828905958755852,-0.9556415213174426,-0.9491088766473952,-0.8820924834438338,-0.7000186306488054,0.37495488886439016,-0.8427680455579044,-0.6419303654751322,-0.20664287544026938,-0.7361410303459816,-0.9641726857345972,-0.7499154992770979,-0.4716918005032519,-0.5963394762723299,3.2189672870603423,-0.8394416003277698,1.8609257428079484,-0.943650298938967,-0.8272215519302243
SIDM00538,-0.7421820324433618,-0.82071952716444,-0.6679810821716213,-0.09751552499472799,-0.7799272374361946,-0.697373539252513,-0.7948037262500771,-0.7885640810889271,-0.7832643428351229,-0.7943490421886258,0.9833920226057796,0.37706876886770463,-0.857391143237811,-0.7616995658751814,-0.5317470159643647,-0.674264594982456,-0.8314850106290875,-0.9602368244092256,-0.5192890488740002,-1.007808055916279,-0.9430293131438522,-1.0211978233983336,-0.9138692611895043,-0.23466708449613116,-0.5210047786853224,-0.9406624061308959,-0.9168606845024331,-0.1372860917184936,-0.720808260748733,-0.8256504337923443,-0.6715853597527431,-0.5556790788135729,-0.7003935101567634,3.3339640617720643,-0.8734615867268631,2.0187779385103317,-0.9222847235555444,-0.6743803980008092
SIDM01140,-0.8347344369611606,-0.8567358573471572,-0.6983548163028728,-0.31906400586850875,-0.9012853957847324,-0.7686122904079603,-0.9054910297109682,-0.8368702208252075,-0.8413423041674096,-0.8374119306179159,-0.6659513368339536,-0.5266850976708737,-0.6648066297373487,-0.7740861354868421,-0.809673328256555,-0.8994114450983612,-0.8884451256346422,-1.0280829602475796,-0.5620834295589451,-1.061609761948258,-0.8827939228982673,-0.9533877380951551,-0.9694377862168799,-0.6424860777498387,0.8125319870857701,-0.9704097461803208,-0.843153794868157,-0.22587707254549183,-0.842725807117817,-0.9129218334753897,-0.7340079728541411,-0.09801810189771538,-0.8736129428868868,3.2146879561699655,-0.8404202139186204,2.0352394346369502,-0.9437750465031117,-0.7417307279534325
SIDM00101,-0.810066639360829,-0.8358829988276312,-0.7919261946072381,-0.10372411879154099,-0.9554323419110026,-0.6702762962313324,-0.7724742938057851,-0.7418088156131626,-0.6786379254597981,-0.8535067299427673,-0.8221835031976085,0.465384841002378,-0.8396692485662406,-0.7116066836580128,-0.8116988071790702,-0.9624704146802373,-0.8794898531702198,-1.0251889702455037,-0.7047641015951884,-1.0878799011058615,0.05777662546532676,-1.002222884710841,-0.820546878857408,-0.8365411025619836,-0.10456470425164692,-0.9895898430450948,-0.7434136121631959,-0.1892654659889599,-0.7007986609081045,-0.8415245901917391,-0.7579524369242983,-0.29538591466507097,-0.837479866840986,3.3052808599173344,-0.9101744595522696,1.621691335533134,-1.0085453811582923,-0.7828774843096797
SIDM00114,-0.8879584283066385,-0.9143267208543823,-0.8629014917526966,0.06036219733357587,-0.7523578184906543,-0.7951394467478546,-0.8641029038678311,-0.5588307075682519,-0.7837016846760498,-0.8324646659801592,-0.7371708507785806,0.15501253749301624,-0.6680438103378571,-0.794372603224812,-0.6055488682881327,-0.8708658550591827,-0.9153414738298294,-0.9740636742766856,-0.6389289636989721,-1.0535326498742288,-0.812389151182802,-1.009208989455749,-0.740774812404734,-0.7667963495801203,-0.44668189020689314,-0.9542330506241049,-0.5560451171276888,1.2653782991189118,-0.8166013815308729,-0.962542330026988,-0.6147729039277051,-0.05912781026526208,-0.7743319262510233,3.4903460457933986,-0.8288595017163085,1.7678264002900181,-1.028645382096978,-0.872705889429667
SIDM00102,-0.7818967260231329,-0.843952557633444,-0.7559565986803455,-0.13682087725235723,-0.8539288806928189,-0.681137548726777,-0.7726389100685424,-0.8077904488696904,-0.7587040832955669,-0.38536359655993513,-0.7810371848534439,0.3913145844069324,-0.6856897696124105,-0.7939148195143286,-0.7939148195143286,-0.9510875449151761,-0.8293903113072884,-0.9588883941667042,-0.5187656569187233,-1.0604481502755059,-0.9318396164547841,-0.86565773020481,-0.9898289875276232,-0.8247403186983889,-0.387005334623941,-1.020844538765577,-0.8850569480415447,-0.48583295779903973,-0.7630586241045584,-0.895685223977263,-0.6379353400997378,-0.06700962746737632,-0.8503557840373502,3.2084752079270933,-0.8735348618502212,1.7405658091166054,-0.8947813337792356,-0.7734582009220078
SIDM01122,-0.8778761293187749,-0.9294709142947772,-0.6932735388922506,-0.25254738564821827,-0.8951095333982739,-0.8555034981660065,-0.847339981869449,-0.8297641030125518,-0.7997708285862567,-0.8624925454508234,-0.45959694224373654,-0.3737334152649449,-0.5600432342447351,-0.8761483357289792,-0.8715799077701537,-0.8603793313726349,-0.9600941066575123,-0.9992211338097319,-0.6589620179649657,-1.0825982586789402,-0.8833312531655431,-0.8774222689547819,-0.5076377339545506,-0.7826392320181687,-0.3608099111533397,-1.0809829348144109,-0.07318107737051764,-0.6705242199081372,-0.8008136785432479,-0.8922268240726744,-0.6918091719331915,0.08121568266323208,-0.7753841670919557,3.441494332523608,-0.9168250891047092,2.08240412707394,-0.9137394965690256,-0.8017778202876932
SIDM00261,-0.8281453555962967,-0.8969854066123043,-0.9049847596441708,0.1774701824932021,-0.9005843133010598,-0.7661049038531464,-0.8031648592753144,-0.8332472658924821,-0.16841406454784896,-0.2760310713325283,-0.8119938586454316,-0.4480436283439265,-0.7584386802800344,-0.8285400371379754,-0.9233302830064605,-0.8285982555733741,-0.8752970348815061,-0.93548258887473,-0.6632587661701649,-0.9214265720083147,-0.8029449301351591,-0.9657314754746104,-0.8908065406871302,0.10009036620140283,-0.0018908395259825835,-1.0541572283189902,-0.9779171486977591,-0.6556511916653346,-0.834172730048626,-0.8416108517186937,-0.6793691261294206,-0.29891083960414055,-0.7982127669173401,3.40870687294954,-0.917536370747632,2.2868993713807613,-0.982522663762337,-0.7656179611235358
SIDM00154,-0.8617497780537683,-0.8468404308997537,-0.9657978149866705,-0.37037185002156353,-0.9662505038534991,-0.8835726559394217,-0.8483721980970812,-0.7929680919479459,-0.4112815467247167,-0.8761427698471803,-0.7956391135359089,0.6992723994252854,-0.7939814825651526,-0.9257144010169656,-0.7197427947109665,-0.8117081779177336,-0.9232372173487774,-0.8714915928841888,-0.6461406007853797,-0.9821296902751679,-0.8402827706342767,-0.9091700698569206,-0.9449016833865662,-0.6498364014993047,-0.022674221044958216,-0.9670581748883418,-0.8592862695239782,-0.2776515996108367,-0.7857149051835433,-0.8588516540813996,-0.7150426212807434,-0.4947228928352437,-0.7798707151934414,3.409801638299582,-0.7910106111522408,1.6515077119387067,-0.9730088122897582,-0.8166250460422552
SIDM00104,-0.8484780555369303,-0.8295295928373688,-0.7327298639822333,-0.35203956298776673,-0.9290770523066971,-0.7401618053059752,-0.7644537945133775,-0.750941123042739,-0.7387884691849478,-0.857752374635611,-0.550772750115191,0.38213261848850777,-0.7453281021396742,-0.6676063632759917,-0.7301611412725577,-0.8247796799987545,-0.8900742345414948,-0.9834041946483236,-0.6330058223923183,-0.9839880989813802,-0.9466253505876553,-0.9719141889594142,-0.970418733268479,-0.5735198247159154,-0.005013878493837408,-0.9478842480634114,-0.8909480818204052,-0.13669433455465085,-0.7320845637423565,-0.8961647722269602,-0.6116645871823921,0.571979910399975,-0.7438884495207236,3.1181659159481216,-0.8279933859977341,2.146015175372278,-0.985746734591745,-0.8062275470856206
SIDM00267,-0.7957214228106236,-0.8162223044714678,-0.7407059504329309,0.06398637896355865,-0.8960023825231522,-0.7756324928585832,-0.7238224458195959,-0.6786684749482725,-0.7631893281732496,-0.8216087018048354,-0.7462376131289493,0.4095409324964568,-0.7824415239600863,-0.7826160049897941,-0.6309050059196898,-0.8922000021915714,-0.9206167204018308,-0.9314276522830149,-0.5703642610860377,-1.0241341825589163,-0.9520039375826087,-0.93516914219556,-0.9749106958993897,-0.8434065139944259,0.2729831793382419,-0.9473546404041336,-0.835233277514159,0.6192295765067132,-0.8033370311611454,-0.8638228738323075,-0.7058028722137519,-0.31944424849471825,-0.7656097655908359,3.6508203543386304,-0.826022341642923,1.431072816728196,-0.9885742346002856,-0.814993385529521
SIDM00100,-0.8029083728155625,-0.8206048786016403,-0.8222964879401853,-0.04776425475427686,-0.9350357280585729,-0.7571660908223043,-0.9039393347662151,-0.6702519025934545,-0.7402991135042859,-0.8464178639383627,-0.790851218783297,0.3906464407918157,-0.764869095578359,-0.7830714066294079,-0.7122272768185561,-0.9872062269641494,-0.820157218365601,-0.971261616224925,-0.6979736377572662,-0.8982200901615095,-1.0028543203672515,-1.009300947295308,-0.7644456698945122,-0.7411716659286532,-0.3477177492406388,-1.0711523815306085,-0.9106359756879265,0.3461267365858444,-0.8360342517329781,-0.901887913100836,-0.6303097891648619,0.20732541589826958,-0.7955674921883668,3.370518185575435,-0.8701262113280649,2.1938128519540445,-0.8553156773535439,-0.9168839119102122
SIDM00826,-0.8360902057371008,-0.8895991998165103,-0.8045823546153656,-0.28659472679972864,-0.822650778201302,-0.778233158154916,-0.7547072295010724,-0.8930727699354866,-0.6672056529941172,-0.8106005430700814,-0.7568784973005671,-0.055100516333364186,-0.7599563858325454,-0.7015928281164041,0.07792810833524563,-0.813261199561477,-0.8903111020368893,-0.8922781786594551,-0.6276618826535033,-1.000657913531305,-1.000317339010907,-0.93502328110022,-0.8789439155406099,-0.8057576364347638,-0.15453127340319456,-0.9849910420809774,-0.7620137443816275,0.5178443963663205,-0.863988762826456,-0.8879793135505002,-0.6780280187644822,-0.7473388574474091,-0.6126101300962967,3.121188844307742,-0.8227645183057345,1.709487596191331,-0.9241654872167387,-0.8520670095504741
