,RPE,UGT2B28,CRYL1,UGDH,UGT2A1,GUSB,DCXR,DHDH,UGT2B11,UGP2,XYLB,UGT2B10,UGT2B7,UGT2B4,UGT2A3,UGT2B17,UGT2B15
SIDM00098,1.301185810837635,-0.7462067028726946,-0.23798174168728178,1.4971914582999855,-0.8054738668397816,2.1653612037530734,1.4340862242889265,-0.635550498904541,-0.9517058947572912,2.812116772324952,-0.5494763814056774,-0.9251896255100607,-0.8151828600220804,-0.952093668044057,-0.9413226056959203,-1.0222583418128588,-0.8677929741973631
SIDM00225,1.043082752920426,-0.7935943453579798,0.8171603174184086,1.4281644008858436,-0.7953921310965556,2.3886076711604267,1.5302445175302626,-0.5614569103168996,-0.945337935446959,3.361163416851113,-0.5359687591762934,-0.982039469252121,-0.754449150059479,-0.8992858571919354,-0.9912903365422944,-1.0644024116214899,-0.9380475839249166
SIDM00846,1.1658440577466977,-0.6994579543065258,-0.26644842779715705,1.2398511608869143,-0.7923227529603447,2.258560623568958,1.593164953959581,-0.7027173177711241,-0.9222445487325805,2.4539402155216927,-0.8561403069309684,-0.8913127877581521,-0.7870954370870136,-1.0510938497626263,-0.9547479165268341,-1.002096718771684,-0.9574370899735438
SIDM00291,1.2264637551084632,-0.8424237828065982,1.4938129149950834,0.8869247984445334,-0.8765000181759927,2.2190662787965545,1.9606124712381874,-0.7084762753207381,-1.0043674735253176,2.334642037609081,0.32656135242415163,-0.7293496388721521,-0.832943332842469,-0.9679703636768383,-0.9311365797528557,-1.0507438304324197,-0.9711558988318769
SIDM00520,0.9973294374698495,-0.8439004859579495,0.3842429391086718,0.7856850356383809,-0.787650250581698,2.0767773766885274,1.3214490609748897,-0.8285582098349494,-0.9048549296027879,2.7415274221025223,-0.6872219833173852,-0.8210466425134307,-0.5963948515682339,-0.9289567653492521,-0.9993698764303643,-1.0457188286413166,-0.7916510585013975
SIDM00003,1.224468386233222,-0.842863571334719,0.895273524456263,0.8107325142874778,-0.8521872642486024,2.029703242430621,1.6004990059952147,-0.5350420721027317,-0.8558132568956126,2.838676157899047,-0.3487173165557618,-0.8180382443412909,0.9786392985454025,-0.9070486738668441,-0.9163647929601066,-0.980226690895956,-0.8021889460367159
SIDM00136,1.0271844098046052,-0.7841512308553751,0.7996845267809719,1.511433954741451,-0.826009192600707,2.196124782454679,1.4923541198987005,-0.7141086854164186,-0.9100708476160055,2.79412217808116,-0.7340846657576743,-0.8102448073182247,-0.7387563956006166,-0.9606642770870718,-0.9270723867110274,-1.0666225894941048,-0.7358603953429557
SIDM01155,1.0548911836401182,-0.9111893962893866,0.1795172828052016,1.5047684317971475,-0.825002712491636,2.3213598964902773,1.5728303519792508,-0.7907680627013005,-1.0642161797905,2.8362717796927908,-0.7630689910117788,-0.9589686671647454,-0.7814136194175367,-0.9989817995439144,-0.9425439615661786,-1.0216233249121427,-0.8582816177113044
SIDM00224,1.2562136892142481,-0.7847538670920299,0.9043215147196847,0.7210397927069653,-0.7841900330013235,1.8608371612091912,1.3843854654838794,-0.5952387931030759,-0.9330778098876744,3.0975267385318697,-0.5935775149494997,-0.776996473750707,-0.7983596650833782,-0.9006048103984529,-0.8917977852994857,-0.9975788159336644,-0.8499012219206994
SIDM00783,1.181810126922999,-0.8563349385401041,1.050450104210841,1.4171822904604041,-0.8279361924005672,1.7659904388971224,1.9531942853091755,0.5376043326581021,-0.9878948936152601,2.4871877670147566,-0.7984374867803005,-0.928351254999872,-0.868463133612253,-1.0305500693969691,-0.9622665672830875,-1.0749289135382132,-0.9076182501500137
SIDM00490,0.8124677299460628,-0.8713347252735192,1.0022706380888595,1.4304651943294953,-0.8027181552868691,2.5198985286230404,1.4993490558763984,-0.6575871205104455,-0.8862851550538784,2.812317207764597,-0.7749454392779763,-0.8114500734131298,-0.8923993435326821,-0.9437596466361535,-0.9501379735298777,-1.0320471941556182,-0.9160722388246149
SIDM01090,0.8118395910909415,-0.924016148283278,1.256729922416478,1.1186294807695576,-0.8250779791139621,1.9802791176635803,1.702340866632321,-0.44952246568016857,-1.0717893607495679,2.1792116786847076,-0.33180420493306273,-0.7966897061472887,-0.9275460383870789,-0.9708061109573043,-0.8702663976170956,-1.0148366197153063,-0.8398910353686605
SIDM00394,0.6198743519023874,-0.94882350948154,0.49375486419616177,0.8506144569944639,-0.84766862699277,2.561641780692538,1.58894946454197,-0.21051503754832493,-0.9549157051016732,2.776422671770975,-0.7865156752421941,-0.7832830538151887,-0.8494940598129181,-0.9072965117983038,-0.9654374357192714,-0.964797276637937,-0.8409007858948206
SIDM00538,0.4530365205156446,-0.6493491205891984,0.5433966100345353,2.6240220827246428,-0.8646439699011033,1.7423127241185834,1.606187134612863,-0.2632337988571366,-0.9351311445093881,2.906587096297384,-0.5892810223745073,-0.8721733938829516,-0.807480261373322,-0.9830220749985682,-0.8997855549059016,-0.9552191115404352,-0.830848380583325
SIDM01140,1.0442198586692555,-0.7256120331975966,-0.43653562399448703,1.0895613365272618,-0.8417396975465128,1.8326611307038447,1.885544481720697,-0.5555247057320676,-0.9465145470684634,3.0545621730327097,-0.7385527168212109,-0.8457216956598695,-0.8545906200805021,-0.9546767905430819,-1.0071679161879967,-0.9742966239112462,-0.861642413178452
SIDM00101,1.013335664824284,-0.8331539007934171,0.608230100149109,1.0097218132708652,-0.8483610743690564,2.4484808110551493,1.4016401933436666,-0.6956974057239801,-0.9045498839639131,2.7011211002895115,-0.7004832144253694,-0.8022941178653427,-0.7956560597509251,-0.9441076265740588,-0.9599664922941477,-1.0680895640395724,-0.8587787185442944
SIDM00114,0.9307803614311416,-0.8089516935038272,0.17844631823182922,1.1110557553579845,-0.8576414502059251,2.041682458375211,1.419178773251595,-0.2454750234538582,-1.071768811203672,2.6608338447807216,-0.702319918699325,-0.8488432669073167,-0.926365458204412,-0.9184289321404353,-0.9553113797573294,-0.9467355457420803,-0.7570825256011017
SIDM00102,1.0872820621340504,-0.7415396324587721,0.6048165024719191,0.5836837193619151,-0.8450878698247278,1.963214547591632,1.2870476175586942,-0.5617159893959552,-0.9186025456556134,2.732756082026257,-0.658044223238625,-0.9543875254490131,-0.8118772177606169,-0.9923503995927493,-0.8662314864751014,-0.9981775532989938,-0.7365161869125472
SIDM01122,1.0215443418129078,-0.8205306396801413,0.8277096229159994,1.0745330398442121,-0.7850831316114399,2.3722759736867256,1.6543630845906976,-0.45530031144230004,-0.9404980097463561,2.6350077849900364,-0.663790568629323,-0.8412549104981346,-0.7975163089696029,-0.9529050336439372,-0.8949709362224939,-1.026032843558213,-0.8627610593645498
SIDM00261,0.6186209428841779,-0.7116558669013338,-0.3425250605790844,0.40532558613806113,-0.8822176827937425,2.238379861035243,1.1218806245539714,-0.8644914126135306,-0.9575789039257798,2.2707829419544687,-0.8819477603612836,-0.9016554228983782,-0.6256486586303052,-0.9697026205965816,-0.9615573371886001,-1.0468674071712363,-0.7462538923783995
SIDM00154,1.1157293378961133,-0.7424093531060381,0.31427914818375435,0.9686965611271467,-0.9115687122343862,2.0570221985658357,1.8548723202033428,-0.7074655414716272,-1.0112051270941385,2.8641817497378157,-0.8451375979389486,-0.8348531685740771,-0.84898420014709,-0.9955678405618225,-0.884092390289661,-1.0312036628157377,-0.8172887510244776
SIDM00104,0.5224357152738646,-0.7001548569642463,0.9117068338387694,1.0656602676130384,-0.8206671263427643,1.9977627656347643,1.3257854744691635,-0.7127559277027566,-0.9347155335226122,2.727600333491576,-0.8032886065032068,-0.7415009778717653,-0.7823015667752531,-1.0059209495485177,-0.8681208572629051,-1.0258812548210126,-0.8687403488523596
SIDM00267,1.3225605580177267,-0.8073921045127487,0.7078828715047112,2.5898823659279286,-0.7898446685593649,2.2297552481660743,1.3204949248298954,0.7468203609108567,-0.6665764573500818,2.649793701816896,-0.6582379254330066,0.025778105896613657,-0.4391488066652705,-0.6481102167343702,-0.9290365473625297,-1.0490565065208604,1.3343511077126122
SIDM00100,1.031200271866461,-0.7205758405219103,0.27660304704309874,1.3103233915085242,-0.8325933332220125,1.877161318925719,1.9669878250866675,0.1720233436788861,-0.9435996693164955,2.9776362271741252,-0.7469702601638298,-0.8587514585925092,-0.890855496469778,-0.9494439591385695,-0.9944490288324309,-0.949239837774137,-0.8353256157370869
SIDM00826,0.5380266561483774,-0.7536701236565676,1.8654386855621232,1.63716747664144,-0.8732603316734093,1.8072149599063307,1.2991895496300696,-0.31852590355613236,-0.9385147535414445,2.8649907623696436,-0.7208484663138444,-0.8074371894098908,-0.6036343104757917,-0.7856928320528062,-0.7566638797102153,-1.0339165070561889,-0.7589500408908941
SIDM00310,1.1450116139371591,-0.6526468180344195,0.039527539209874465,1.1298789754417573,-0.8902673351617983,1.7738934111712543,1.4553269408798422,-0.6417789777475996,-1.0133963804747768,2.861118423797003,-0.7623595623885011,-0.8099396698318624,-0.8363809053482987,-0.9641670041203577,-0.9120807093597649,-1.0443005894309516,-0.8309805030704902
SIDM00482,1.3325742552081126,-0.7264317597400469,0.08257215831240394,1.1958739025498843,-0.7294669038161717,2.013240205143961,1.4228597408010184,-0.7499393858556481,-0.9856965812547336,2.5991848118943808,-0.6450731652787212,-0.753843716526819,0.7996317670894256,-0.9487276541292705,-0.4236558508655716,-0.8390084388208796,-0.7048433577567648
SIDM01247,0.8879993395433354,-0.6699005859555628,-0.7239720433345234,0.5315071986675792,-0.7573522561155349,1.850356994249417,1.048448071105104,-0.3512245296961938,-0.9705489416196039,3.1531863748236395,-0.7730804248026196,-0.688402773749996,-0.8342903413713568,-0.8870153538871248,-0.9046975192190857,-0.5848912136799765,-0.6942238071346849
SIDM00817,1.0115692844812656,-0.7139145974747094,1.3265345468426415,1.0935388364238428,-0.9015659417727394,2.592703776005525,1.3429033630483234,-0.700970789368984,-1.0047608924539537,2.7005950894210113,-0.752758611895684,-0.8030630269417958,-0.6569331123522133,-0.9939674697782447,-0.8500862988518213,-1.0593756324587096,-0.7431125512021259
SIDM00448,0.5576942137821167,-0.8474698386526595,-0.12423362086805205,0.9259456313567125,-0.8159074807025718,2.5704783176345827,2.0394654971789796,-0.6131149541488711,-0.9660339091433889,2.793346462445947,-0.6637947065041281,-0.9201475789406489,0.3212747226698494,-0.8225190927384978,-0.8963553544837121,-1.026508679915798,-0.4946740712892266
SIDM00086,1.375560995818357,-0.7382092506870203,0.13091313721560768,1.4820575519265493,-0.841663135217808,2.3403786937326845,-0.0530321106616719,-0.7274033781048301,-0.888975990018275,2.784668901775931,-0.6961820411451075,-0.8196295507959752,1.7329052344838916,-0.9445372544925423,-0.8827880701610884,-1.0676531016259725,-0.8515445976549217
SIDM00466,1.2282236786318566,-0.7823233929090333,0.3785512670195635,0.6314265773930821,-0.9307415599787997,2.1048740520165197,2.3117170082115446,1.154086812076819,-1.0756671973133607,2.801845790896772,-0.8356634219410355,-0.7790910740846272,1.0778947052780277,-1.0007837121162737,-0.9767479363350954,-1.0876027075056476,-0.9031549655520166
SIDM01132,0.7099552509555556,-0.8071702340924647,-0.7812651941584209,1.0446734563726283,-0.7526956932334549,2.8312623804785084,1.7889459181792227,-0.7045065930990039,-0.969728448843313,2.902950678891591,-0.6871941117658663,-0.8357261385150022,-0.8775060049668308,-1.0494689443771732,-0.9086792983624753,-1.086522797528832,-0.7507620024620065
SIDM00465,1.1036580582864706,-0.6705734382848614,0.023546391735557604,1.7080234633924734,-0.7792720076728252,1.5477663887655189,1.193503737312933,-0.6856851747609678,-0.9174686640172045,2.5471056152707128,-0.8036903174067165,-0.8279587768237516,2.0065951168009404,-0.9555223420136131,-0.8876441791784825,-1.0578520415466115,-0.704646824213341
SIDM00565,0.855332599791449,-0.7098883130759691,-0.4333237210978803,0.8255942743278291,-0.7974510930290603,1.599578458025383,1.4349475444799478,-0.6624199457169033,-0.9998704806504496,3.0241004958754734,-0.7274553251015692,-0.8407287558722617,-0.8087371155240645,-1.0183805332115126,-0.9730545880118577,-1.0827552859690912,-0.6437609876412935
SIDM01092,0.7783524520370833,-0.8854315822442422,0.8001153602044483,1.0408409943906585,-0.8906606502685456,2.0851903990644023,0.6534607476644071,-0.714446788453179,-1.0725585781236353,2.7152523112064006,-0.7199165064968076,-0.8066157424507676,-0.15237769380732102,-0.969579536841213,-0.8808893591129429,0.9177190455748694,-0.578260739934602
SIDM00218,0.221616978348196,-0.7928639383391717,0.47562899755581695,1.1951945468852823,-0.7653968424896416,2.020519680298352,1.4686767555724938,-0.7021814267419153,-1.0203485595199393,2.529026216431237,-0.7387534337843416,-0.6901504477786041,-0.6111355792187492,-0.9807843358558203,-0.9633822198357304,-1.0439357984618298,-0.22640996236443867
SIDM00044,0.8193771655451937,-0.7181433256265883,-0.32060491311487727,1.330941476100639,-0.8066495102244384,1.8752313809724468,1.0614360560857763,-0.5912901267511723,-1.018647190544445,2.6038634154772593,-0.6998005959703715,-0.7773443826554131,-0.9218470055578889,-0.9454042746403105,-0.8865556776465466,-1.1282076080383094,-0.8882446599498556
SIDM00362,0.9304977343460527,-0.8290779017526053,-0.7255234972429337,0.7721750771129642,-0.644416014305576,2.216776217843222,1.5388789398032936,-0.612717588534745,-0.9945342589156125,2.8101883436087265,-0.6388275715876419,-0.7065667238902794,-0.7617533950801543,-0.9209333722281805,-0.8475047756990627,-1.0048290223121668,-0.5946518320844624
SIDM00813,0.6394508728270852,-0.8047916871642915,0.8597017402974422,0.74909870235299,-0.8349664921536895,2.3583217747215577,1.2005627679782018,-0.6212627511468716,-1.0041100203228268,2.7032264738538627,-0.672066087765705,-0.8675184300566476,0.8920602927548901,-0.9717257807674582,-0.555978396916262,1.1877163448837451,-0.4370468926714894
SIDM00364,0.9682255414069187,-0.7557866486642503,-0.012721940571946921,1.14259482492923,-0.7835105573551308,2.5269062399492723,0.9761338685699958,-0.6291892217422952,-1.0450661370396985,2.50577153790191,-0.6563108749984558,-0.8152742642293178,-0.748202050945409,-0.890590808563973,-0.8674232922816685,-1.0423026603955634,-0.6899556546466712
SIDM00792,0.9089938139343021,-0.8701189174351829,1.3250683284672278,2.466849875026602,-0.8505250474405759,2.379526313391183,1.7072941585108345,-0.6940838657291556,-0.9493331000333519,2.7945358479419844,-0.7804936809503666,-0.7742169993322233,-0.6879704493990632,-0.9488343389696245,-0.9149533092926232,-1.012241559607119,-0.3131897187876033
SIDM00241,0.8704930604264643,-0.843098205883169,0.640772682948708,0.7830473218003676,-0.8241559608830764,2.6341117394766904,2.5210346153447967,-0.7359889974632705,-0.9862975704173645,2.9748387584448444,-0.6876829137023168,-0.9272880575008976,-0.7983739808518637,-0.9791343272965424,-0.9528180408703745,-1.0359632193487847,-0.7506714946564522
SIDM00091,1.3573741343150911,-0.796561808292967,0.5798301147526064,1.7638354099334423,-0.8648980632611968,2.4127937508271544,1.4810747101947612,0.013595858522810245,-1.0428862136718433,2.948622230807086,-0.8389957509829618,-0.7927292589006777,-0.8666037311461066,-0.9483461733168397,-0.9313743633343767,-1.0836757189240003,-0.696225439552436
SIDM00427,1.109150566845592,-0.7859573023119835,0.9312753723106992,0.9149110355867027,-0.8329830042964947,2.230760046177651,1.2843707407810163,-0.7584900894125539,-1.0602474413139595,2.295317119343305,-0.7545714591527813,-0.8401759461315296,-0.8556720183405606,-0.9515690078610329,-0.885231757771504,-1.0545478872952891,-0.700283656756699
SIDM00758,0.7464091874514027,-0.7691848077139262,1.0218246292598503,1.6804028219069178,-0.8322331092222179,2.2807309174139507,1.5945906217526709,-0.8208868140271092,-0.946645278443003,3.0348910972930505,-0.7313174900855332,-0.7419612000900853,-0.8308303168963244,-0.9329497206359167,-0.8836195325377336,-1.072265856940255,-0.7498696677125238
SIDM00612,0.9538885584385609,-0.8261193992027729,0.21634866503523062,1.1233142274066965,-0.786009249643826,2.2180364697849804,1.6994368272061278,-0.7564956392529224,-1.0309751313156594,2.8012565182179707,-0.7473167364736587,-0.9260418468629765,-0.8049708777632321,-0.9550523396476219,-0.9814779258194111,-1.0587034366853632,-0.7597372366950692
SIDM00553,1.2219616803421296,-0.8129845381668505,1.1493171277406844,0.9816608863647505,-0.7866817768908344,2.813240105221464,1.9856797830458965,-0.5374068609486886,-0.9345551892412728,2.6342336689243138,-0.3810691834573383,-0.7946849870610325,-0.8303768528502425,-0.9242221883134468,-0.8684701249517276,-1.0589142114814223,-0.7006537989194982
SIDM00343,0.8745682736127078,-0.9221440399736064,0.959943431812176,0.9383747305310978,-0.7918437981517162,2.5148661284821,1.956831567244794,-0.7211691279018645,-1.0168773500880754,2.6502477569213196,-0.7375293477090905,-0.8007858856965416,-0.8306814820197962,-0.967644661805127,-0.8998622214635204,-1.0584142561386434,-0.9448189691939016
SIDM00543,0.5870735866505526,-0.8029410017220586,1.3793752394818168,0.6536695517781691,-0.8041999073209064,2.901323161527373,1.5732858050464575,-0.6585791696855171,-0.9617015534822891,2.7038914526154576,-0.2552103166224593,-0.8385773412889324,-0.8221435295434728,-0.9189097090338073,-0.8988355851770679,-1.0730923705242534,-0.5649001156122315
SIDM00537,0.9907239475186665,-0.5471967255919292,1.5840440484548253,1.5786077504729943,-0.8259882509251781,2.056030295622343,1.551761419630654,-0.6730073340462333,-0.9273739354882522,2.7970224696531845,-0.3790459773559771,-0.485575298539717,-0.6293128850295798,-0.9731743283912622,-0.8809884495370114,1.5265924843579022,1.3367813677119695
SIDM00332,0.7345921061495496,-0.7480818195641297,1.0077841934389296,1.8217572995291385,-0.8143305608113134,1.77124150177492,1.975928296480924,-0.45355058136374876,-0.8646397578589226,2.611983886910487,-0.625448377264287,-0.8240326785884673,-0.7562817881798343,-0.9279375196892871,-0.8439271179706762,-1.0350242501447544,-0.24932503984482507
SIDM00299,1.3082722623492506,-0.7496913349050173,0.19408541697868567,1.61291345286022,-0.7705750347334032,1.9143223476534632,1.5621910332692575,-0.6380881615396106,-0.9450526190098303,2.943822746828771,-0.7189916474590381,-0.9172700712785168,-0.7161770164408858,-0.9837396971908212,-0.9008690732551509,-1.050854741803727,-0.8335258783917293
SIDM00308,0.7982228256451342,-0.8036090250263241,0.2064208819808862,0.27832093408837305,-0.8267243146349963,2.1324239626782666,2.117806534082985,-0.5456440565167057,-0.9222084620340685,2.4934089509223485,-0.7766649324610244,-0.8469078454075093,-0.8122501792082559,-1.0125501109622874,-0.8951283590593723,-1.0349547827902816,-0.8143971016785199
SIDM00227,1.1039799056991586,-0.5776900726701375,0.126798280244404,1.2864405998425625,-0.7072308238692713,1.6380171153272374,1.639987437620115,-0.6645423372874868,-0.8604531334270674,2.894033040136862,-0.7186271974771745,-0.7952092462492495,-0.739892773002022,-0.7920264137127317,-0.9360644593955685,-1.0341283615433268,-0.20943319166561386
SIDM00294,0.9125197430685744,-0.7950857925745608,-0.31457274402276586,0.6547422301296537,-0.6883150946738883,2.392869516319091,2.0785872737442133,-0.39574895998487747,-1.0440934498582128,2.287709024615287,-0.7408972751182897,-0.829910739676462,-0.9334753808179403,-0.9105978033891372,-0.912864105036535,-1.0366357128907926,-0.6823750809624088
SIDM00677,0.7357380769856022,-0.7408877738332263,1.7800941709618963,1.2229849102591948,-0.8662890979937921,2.124988227489899,1.7478548147100055,-0.6936350477128926,-1.0216261194895682,2.8001723632372926,-0.7687702462835565,-0.9005709213283463,-0.7937301646105611,-0.9640998571050484,-0.9297402044986227,-1.0091667650884804,0.13179354340854293
SIDM01220,0.9223608577262586,-0.8058579643478525,0.08423617706791055,1.8464902631832016,-0.7942198889640314,2.5104972936293355,2.1331630123745726,-0.709127447915122,-0.9770601244117899,3.1240432316027014,-0.7643854831073783,-0.8570633312092052,-0.8175559468628101,-0.9056626776817138,-0.9070466803765457,-1.0009441856696248,-0.7203919642417009
SIDM01259,1.0700089050624488,-0.8122485972450532,-0.7957149261658883,1.1286699387528878,-0.8558809738230557,2.6113689798498596,1.9815086570385478,0.0366566268930476,-0.9634915302486975,2.760341151760469,-0.8042673897700441,-0.7431088150483793,-0.7904399669524496,-0.9498018032387642,-0.912981799214234,-0.9441232747017375,-0.853038558088733
SIDM00680,0.9519416858913339,-0.6975174935871888,1.4091909247577374,1.4280625597246102,-0.8202555871231066,2.2435780222064894,1.5675953132068285,-0.3749400574671831,-0.9213101063105141,2.597821866698221,-0.5606853983603695,-0.347062358640704,-0.5443099575905747,-0.9203156192745349,-0.9204319617473401,-0.7581890824722785,1.0586435701907189
SIDM00346,0.6738836338146634,-0.8994522301969589,0.3497995927179946,0.59388772090348,-0.7421590713949933,1.972194988893852,2.054844839292477,-0.46521166090845845,-0.9861936506018123,2.6159334641485406,-0.5235088978012297,-0.8958175340943538,-0.7182415839817541,-0.8930704736535261,-0.9088551585047712,-1.0322078631925433,-0.6944440150924867
SIDM00129,0.8204451583907226,-0.574386129776836,0.7886966754910857,0.9929453287680191,-0.7549894951108781,2.5551209606856777,2.041279389199131,-0.5003777839550211,-0.9578571310518152,2.0166415170453886,-0.19387731689760992,-0.8186804867059597,-0.27631972222638257,-1.013124080556523,-0.8822960134706004,-1.053922986897062,-0.897173703717822
SIDM00627,0.837026249493815,-0.6616415667681284,1.0277960608198686,0.9400569731047026,-0.8295945398378088,2.2876039421037695,1.8943478085148084,0.41981361594148403,-1.0645291614850032,2.847830554373151,-0.8454924708686312,-0.8290066684595768,-0.8278604549675881,-0.9467258378417885,-0.9879587570549809,-1.048289590817087,-0.5993722343108605
SIDM00293,0.6432050656189873,-0.8961330563718972,-0.30014113507584717,0.3854240340774501,-0.8202124438619298,2.3910453047861338,2.399889482138305,-0.6389342662944015,-1.0991510906268445,2.552325771929278,-0.7204776052201174,-0.7478054283936513,-1.0293766603014303,-0.9813983597858824,-0.9477867088172506,-1.0814501272281283,-0.7632257808766119
SIDM00274,0.865930156335307,-0.9078310976861407,0.003945871967003397,2.2053336760674127,-0.773244406745449,2.2583359000312475,1.6656549280235888,1.1940002381318282,-0.8406285102415495,2.9823168355171514,-0.765120968926954,-0.6932237812436586,2.2080958853853647,-0.916645725279735,0.25962366674701337,-1.0900971635425867,-0.30228285310129316
SIDM00544,0.8982298979245309,-0.8100156526193879,-0.7642708522276936,1.3287981882675517,-0.6561457255935017,2.3145285379137865,1.9428338030696937,-0.611264574698503,-0.9332343492203902,2.0493403787574427,-0.6841087450580062,-0.7927406763211627,-0.8793032040675701,-0.9803664517754682,-0.8559542576255148,-1.0218226380292688,-0.7523297815665138
SIDM01006,0.7768967888307401,-0.8009682965442122,-0.15976997106695065,0.9874535998242033,-0.848077759320302,3.0845808820941767,1.9627887205195247,-0.7806286365019374,-1.0358406194936463,2.4477113199000544,-0.7711917210329474,-0.6262362550117306,-0.9325213334643958,-0.9327590639021651,-0.9263716124254869,0.9604956964482783,-0.5450569526016659
SIDM00302,1.0820075990940565,-0.8685087742651934,0.13691466418336426,1.5226428735237123,-0.870673671321009,1.794800863039622,1.4986057283083003,-0.7694871084958753,-1.0720285052836678,2.9294429381946245,-0.7746466010247631,-0.9008027346553361,-0.9587867716027368,-0.9351142561455159,-0.9158135041789166,-1.0256136224606196,-0.7345315597163122
SIDM00549,0.9572932845208909,-0.7378017280405916,0.3097116483989285,0.9809646902231712,-0.8170165114326872,2.4888564232223938,1.985607496597401,-0.6600993299971813,-1.095810310739767,2.7440284766822427,-0.7179929006750296,-0.8001483939083686,-0.7622963027862267,-0.9390894887430429,-0.8985821830498343,-1.0354093946170038,-0.7961825577755401
SIDM00292,1.0384698247374564,-0.7804018233896748,0.3958943612123418,0.5005464823586439,-0.8651505404124903,2.4469452503988567,2.5346271774830296,-0.3710845965745805,-1.0108587752355636,2.4243390529968734,-0.8280088190750047,-0.8986984849257041,-0.9748198966648494,-0.9977777346474798,-0.9684960850257104,-1.072723423028543,-0.8529135817323851
SIDM00623,0.7232720482191496,-0.8243666372112242,0.25350402879716416,0.16883674129049667,-0.8410501174385849,2.130890843134851,1.3941201541922261,-0.7447427331618656,-0.9505280862210275,2.329127648779846,-0.81574879989049,-0.8062445239209858,-0.6762632826358068,-0.9715015072060749,-0.8640950000872921,-0.8648092461508414,-0.7227835434902672
